district,property_type,property_subtype,area,floor,price_per_sqm,total_price,build_year,transaction_date,property_condition,has_elevator,has_parking,green_ratio,plot_ratio
曲江新区,住宅,普通住宅,109.65,29,15570.16,170.73,2005,2021-10,良,True,False,0.4,3.17
雁塔区,商铺,社区商铺,126.39,6,14149.45,178.83,2000,2021-10,中,False,True,0.33,4.3
高新区,商铺,临街商铺,267.3,1,24175.43,646.22,2011,2023-09,中,False,False,0.36,2.58
碑林区,写字楼,甲级写字楼,240.33,20,29455.91,707.9,2005,2020-11,中,True,True,0.38,2.54
雁塔区,写字楼,乙级写字楼,642.56,4,21338.2,1371.11,2006,2023-04,差,False,True,0.44,2.52
高新区,写字楼,甲级写字楼,523.9,1,46246.22,2422.82,2020,2022-07,差,False,False,0.36,4.35
长安区,住宅,中档小区,115.14,13,13311.12,153.27,2009,2021-05,优,True,False,0.37,2.29
曲江新区,住宅,高档小区,174.83,11,35975.3,628.96,2014,2019-08,优,True,False,0.29,3.12
曲江新区,商铺,商场商铺,105.43,2,49798.07,525.0,2020,2021-11,优,False,False,0.26,3.05
新城区,商铺,社区商铺,41.57,4,14963.29,62.21,2005,2022-09,中,False,True,0.4,4.29
经开区,写字楼,普通写字楼,168.37,24,12525.03,210.88,1993,2021-03,中,True,True,0.3,2.9
莲湖区,商铺,社区商铺,64.59,8,17595.8,113.66,1995,2022-12,差,True,False,0.29,2.36
长安区,写字楼,甲级写字楼,688.98,25,23648.79,1629.36,1996,2020-05,优,False,False,0.27,1.84
经开区,写字楼,乙级写字楼,609.36,6,12980.47,790.98,1990,2022-07,良,False,False,0.42,2.1
高新区,住宅,普通住宅,100.62,27,15634.2,157.31,2011,2020-09,优,False,True,0.3,2.8
新城区,住宅,普通住宅,110.21,2,14728.06,162.32,2003,2022-10,良,False,True,0.3,1.76
灞桥区,写字楼,乙级写字楼,703.74,6,14865.24,1046.13,1999,2020-11,良,False,False,0.44,1.78
曲江新区,商铺,商场商铺,100.09,33,48870.78,489.13,2022,2023-02,中,True,True,0.33,2.57
莲湖区,写字楼,乙级写字楼,358.11,3,15880.82,568.7,1996,2021-01,中,False,False,0.4,2.05
碑林区,写字楼,普通写字楼,324.01,5,20075.4,650.47,2011,2019-02,良,False,False,0.35,2.37
曲江新区,住宅,普通住宅,86.96,4,16678.3,145.03,2013,2020-07,中,False,False,0.26,3.49
雁塔区,住宅,普通住宅,99.71,1,9859.57,98.31,1991,2019-11,良,False,True,0.43,3.5
新城区,住宅,高档小区,148.91,17,17336.36,258.16,1990,2020-03,差,False,False,0.34,2.3
雁塔区,住宅,普通住宅,104.56,4,16841.49,176.09,2023,2023-10,优,False,True,0.27,2.84
长安区,写字楼,普通写字楼,119.59,6,10134.98,121.2,2005,2019-02,优,False,True,0.33,1.56
灞桥区,商铺,临街商铺,236.53,1,20468.05,484.13,2018,2022-07,良,False,False,0.34,2.75
长安区,住宅,高档小区,91.92,5,14950.21,137.42,1991,2019-08,良,False,True,0.33,3.8
碑林区,写字楼,甲级写字楼,956.94,5,33232.23,3180.12,2019,2022-12,良,False,True,0.28,2.07
长安区,住宅,高档小区,181.71,15,17808.62,323.6,1997,2023-09,良,True,True,0.42,1.89
曲江新区,写字楼,乙级写字楼,102.85,3,33266.52,342.16,2019,2022-07,中,False,False,0.33,2.91
莲湖区,写字楼,乙级写字楼,363.25,9,23081.27,838.43,2005,2020-10,差,False,True,0.27,2.57
新城区,写字楼,甲级写字楼,819.25,6,24535.26,2010.05,1990,2020-08,优,False,False,0.4,3.38
未央区,住宅,普通住宅,117.33,1,9677.19,113.54,2011,2022-01,中,False,True,0.41,1.7
经开区,写字楼,普通写字楼,78.81,6,8645.55,68.13,2000,2023-10,优,False,True,0.29,4.17
高新区,写字楼,乙级写字楼,535.9,19,24023.17,1287.39,2001,2019-02,优,True,True,0.44,3.85
长安区,写字楼,普通写字楼,252.6,29,11445.45,289.11,2017,2020-06,差,False,False,0.41,1.82
高新区,商铺,临街商铺,282.88,9,29044.96,821.61,2012,2020-11,差,False,False,0.26,3.49
长安区,商铺,商场商铺,78.44,13,23597.23,185.1,1995,2022-07,良,True,False,0.28,4.12
经开区,写字楼,甲级写字楼,488.21,16,19356.32,944.99,1997,2020-10,中,True,False,0.44,1.9
新城区,商铺,社区商铺,102.19,29,22764.62,232.63,2023,2023-09,良,True,True,0.35,2.54
新城区,写字楼,普通写字楼,499.61,31,19176.22,958.06,1990,2021-12,良,True,False,0.29,2.73
碑林区,住宅,普通住宅,89.5,3,12530.03,112.15,2011,2022-06,良,False,True,0.4,3.85
莲湖区,住宅,中档小区,73.73,2,16738.15,123.4,1991,2022-06,中,False,True,0.4,3.39
碑林区,写字楼,普通写字楼,203.54,28,23702.23,482.43,2002,2021-11,差,False,False,0.42,1.64
曲江新区,住宅,高档小区,187.23,2,23412.54,438.36,1998,2021-03,差,False,False,0.41,4.16
莲湖区,商铺,商场商铺,48.98,29,22016.94,107.84,2007,2021-12,优,True,True,0.26,3.28
新城区,写字楼,乙级写字楼,445.1,29,19710.77,877.33,1997,2022-11,优,False,True,0.43,4.42
灞桥区,商铺,商场商铺,126.77,5,25641.57,325.05,2021,2021-10,优,False,True,0.37,3.02
未央区,住宅,中档小区,145.12,12,12725.72,184.68,2022,2022-10,良,False,False,0.34,2.7
雁塔区,住宅,高档小区,91.77,25,18373.97,168.61,2000,2020-05,良,True,False,0.28,3.93
碑林区,写字楼,甲级写字楼,458.91,29,43925.16,2015.77,2013,2023-02,中,True,False,0.3,2.14
高新区,商铺,商场商铺,189.65,3,37241.71,706.29,2001,2021-02,优,False,True,0.35,2.37
曲江新区,写字楼,甲级写字楼,860.99,31,35380.93,3046.26,1999,2023-05,差,False,False,0.26,2.75
未央区,写字楼,普通写字楼,235.26,5,11842.78,278.62,2001,2023-05,差,False,True,0.45,2.7
未央区,写字楼,甲级写字楼,931.24,2,30168.11,2809.36,2007,2023-06,良,False,True,0.36,4.03
雁塔区,住宅,高档小区,191.06,3,16825.26,321.46,2011,2023-12,优,False,False,0.31,1.97
灞桥区,写字楼,普通写字楼,443.72,11,15211.4,674.96,2018,2023-10,良,True,True,0.38,3.37
新城区,商铺,社区商铺,79.4,33,14592.24,115.87,2002,2019-09,良,True,True,0.38,3.47
未央区,住宅,普通住宅,80.8,20,15987.93,129.18,2019,2023-02,差,True,True,0.26,2.57
雁塔区,住宅,普通住宅,104.07,13,18064.24,187.99,2021,2021-06,良,True,True,0.3,2.59
高新区,商铺,临街商铺,254.77,2,27897.76,710.76,2003,2023-09,差,False,True,0.38,4.18
经开区,写字楼,乙级写字楼,124.15,2,11885.78,147.57,1996,2021-03,差,False,False,0.29,4.08
长安区,住宅,高档小区,95.18,30,13095.74,124.64,2010,2023-10,优,False,False,0.26,2.61
未央区,写字楼,普通写字楼,158.63,4,13388.19,212.37,2001,2021-10,良,False,True,0.34,3.76
高新区,商铺,社区商铺,51.46,3,19941.86,102.62,2007,2020-03,差,False,False,0.34,2.06
雁塔区,商铺,商场商铺,105.27,23,34458.56,362.76,2021,2022-05,优,False,False,0.42,2.02
高新区,写字楼,普通写字楼,458.61,12,26221.55,1202.54,2009,2023-02,中,True,True,0.42,1.65
曲江新区,住宅,高档小区,191.89,5,28064.12,538.52,2017,2019-11,中,False,False,0.44,3.58
经开区,写字楼,甲级写字楼,801.6,1,23016.24,1844.98,1995,2019-12,差,False,False,0.29,2.17
新城区,写字楼,甲级写字楼,931.45,24,29574.8,2754.76,2012,2023-01,差,False,False,0.27,3.18
曲江新区,住宅,普通住宅,95.42,14,16709.12,159.43,1997,2023-01,中,False,False,0.42,1.73
长安区,商铺,临街商铺,243.37,5,13383.5,325.71,2011,2020-10,良,False,True,0.33,3.43
未央区,住宅,中档小区,116.1,29,10010.18,116.21,1999,2020-01,良,True,False,0.43,2.81
曲江新区,商铺,商场商铺,45.88,31,35261.94,161.79,2001,2023-12,良,False,False,0.45,2.89
经开区,写字楼,普通写字楼,114.21,30,9321.02,106.45,1999,2021-03,差,False,True,0.34,2.33
未央区,商铺,临街商铺,73.85,1,23199.98,171.32,2019,2021-12,优,False,True,0.41,2.98
高新区,写字楼,甲级写字楼,450.06,14,28390.19,1277.73,2003,2019-09,差,True,True,0.3,4.28
雁塔区,写字楼,乙级写字楼,657.0,24,25288.94,1661.49,1992,2022-01,优,True,False,0.42,4.5
长安区,商铺,临街商铺,127.72,3,20866.78,266.51,2021,2021-04,优,False,True,0.39,1.65
未央区,商铺,临街商铺,170.12,5,22760.46,387.19,2011,2020-08,良,False,True,0.27,4.15
碑林区,写字楼,甲级写字楼,809.34,15,34789.0,2815.61,1998,2023-11,差,True,False,0.36,3.54
莲湖区,住宅,中档小区,84.04,1,12519.84,105.21,1997,2021-04,优,False,False,0.38,2.09
灞桥区,商铺,商场商铺,60.43,2,14190.12,85.75,1995,2019-06,优,False,False,0.27,3.03
雁塔区,住宅,高档小区,194.46,1,16816.06,327.0,2013,2021-11,差,False,False,0.42,2.41
雁塔区,商铺,商场商铺,157.62,16,33199.59,523.28,2000,2019-08,中,True,False,0.35,2.14
长安区,写字楼,普通写字楼,263.33,11,13037.35,343.31,2009,2023-02,良,False,True,0.38,1.71
曲江新区,商铺,社区商铺,140.18,11,29404.99,412.2,2013,2023-10,差,True,True,0.29,3.51
经开区,商铺,临街商铺,222.46,31,20065.7,446.39,2019,2020-12,中,False,True,0.38,3.96
莲湖区,写字楼,甲级写字楼,392.35,2,26376.18,1034.87,2011,2021-08,优,False,False,0.33,4.13
经开区,写字楼,甲级写字楼,813.84,25,21131.91,1719.79,2021,2023-07,差,True,True,0.45,2.14
莲湖区,住宅,高档小区,198.26,4,17168.58,340.39,1991,2021-02,差,False,True,0.3,1.61
雁塔区,商铺,商场商铺,86.43,32,36729.74,317.46,2001,2020-08,优,True,False,0.43,2.44
灞桥区,写字楼,普通写字楼,228.52,20,10888.67,248.83,1996,2022-02,良,True,False,0.32,2.57
未央区,住宅,中档小区,136.25,4,14040.1,191.29,2012,2022-10,差,False,False,0.26,2.32
高新区,商铺,临街商铺,54.03,31,31930.07,172.52,1992,2021-10,差,False,True,0.32,1.67
雁塔区,住宅,中档小区,147.75,29,21957.6,324.43,2013,2019-09,中,False,False,0.39,2.04
莲湖区,商铺,临街商铺,169.39,25,18694.43,316.67,1999,2023-01,良,False,False,0.35,4.49
雁塔区,写字楼,乙级写字楼,447.49,23,27485.89,1229.97,2004,2023-11,中,False,False,0.32,3.38
莲湖区,商铺,商场商铺,76.28,24,24871.61,189.71,1994,2023-05,差,True,True,0.27,3.09
碑林区,住宅,中档小区,140.12,17,27962.38,391.82,2019,2023-02,差,True,True,0.32,3.03
高新区,商铺,商场商铺,145.99,13,36140.47,527.61,2008,2020-09,中,False,True,0.33,1.57
莲湖区,住宅,普通住宅,106.25,1,13190.4,140.14,2016,2023-12,中,False,False,0.37,2.66
雁塔区,商铺,社区商铺,109.29,2,19653.99,214.8,2022,2022-06,优,False,False,0.28,2.25
经开区,住宅,普通住宅,118.31,4,8443.15,99.89,2004,2021-05,差,False,True,0.26,3.67
灞桥区,写字楼,普通写字楼,224.64,9,9867.87,221.68,1993,2020-03,优,True,True,0.34,2.05
未央区,住宅,高档小区,163.14,15,15872.47,258.94,1997,2022-07,良,False,False,0.26,4.1
曲江新区,商铺,临街商铺,112.8,3,34182.54,385.57,2013,2021-06,差,False,True,0.41,2.89
碑林区,写字楼,普通写字楼,403.99,29,21419.74,865.34,2020,2020-04,优,False,False,0.34,3.33
灞桥区,住宅,中档小区,146.83,4,9493.93,139.4,2010,2020-05,优,False,True,0.4,2.12
雁塔区,商铺,社区商铺,148.19,21,20300.18,300.82,2009,2021-09,良,True,False,0.26,3.09
曲江新区,写字楼,甲级写字楼,541.27,25,34940.41,1891.23,2017,2023-11,优,False,False,0.34,4.22
碑林区,写字楼,乙级写字楼,730.27,24,27822.85,2031.83,2000,2021-11,差,True,False,0.44,2.32
灞桥区,商铺,商场商铺,159.58,4,19026.84,303.64,1990,2019-07,差,False,False,0.3,1.62
莲湖区,写字楼,甲级写字楼,969.91,5,26858.2,2605.0,2005,2021-10,优,False,True,0.29,2.69
长安区,商铺,社区商铺,67.41,20,11149.08,75.16,1990,2019-11,良,True,True,0.31,1.71
高新区,写字楼,普通写字楼,278.78,6,20367.91,567.81,2019,2023-10,优,False,False,0.36,2.85
灞桥区,住宅,普通住宅,61.55,6,10413.64,64.1,2016,2019-02,良,False,False,0.37,2.86
未央区,商铺,商场商铺,190.67,8,29864.16,569.42,2001,2021-10,良,False,True,0.43,2.53
新城区,住宅,中档小区,86.07,19,12901.46,111.04,2001,2020-10,中,False,False,0.29,1.83
经开区,住宅,普通住宅,72.64,5,8691.52,63.14,2001,2023-08,中,False,False,0.41,2.73
雁塔区,商铺,商场商铺,143.63,2,35802.35,514.24,1991,2021-06,优,False,True,0.37,3.2
雁塔区,写字楼,普通写字楼,115.4,29,18263.79,210.76,2013,2022-06,优,True,False,0.29,2.94
灞桥区,住宅,高档小区,92.81,4,17457.76,162.03,2007,2020-01,中,False,False,0.44,3.7
高新区,商铺,商场商铺,138.23,18,25882.6,357.78,1990,2020-09,良,True,True,0.41,2.54
曲江新区,商铺,商场商铺,158.52,33,27881.27,441.97,1999,2020-10,良,True,False,0.27,1.52
经开区,住宅,高档小区,184.49,2,12453.82,229.76,2001,2019-10,差,False,False,0.42,2.25
新城区,写字楼,甲级写字楼,510.15,24,25684.38,1310.29,2006,2022-08,中,True,True,0.39,1.81
新城区,商铺,临街商铺,89.49,17,28335.41,253.58,2007,2022-06,差,False,False,0.36,2.41
碑林区,商铺,临街商铺,75.45,27,51779.93,390.69,2022,2023-06,良,True,False,0.36,2.82
经开区,商铺,社区商铺,93.45,3,19233.41,179.74,2016,2023-03,差,False,True,0.27,4.3
新城区,商铺,社区商铺,144.45,13,20415.19,294.89,2010,2021-06,优,True,True,0.29,2.48
曲江新区,商铺,商场商铺,44.84,25,33637.46,150.84,2016,2023-01,中,False,True,0.32,1.8
曲江新区,住宅,中档小区,89.66,16,18312.31,164.18,1991,2021-06,良,False,False,0.44,1.84
灞桥区,住宅,高档小区,128.33,24,17210.65,220.86,2000,2020-06,良,True,True,0.32,1.74
曲江新区,住宅,高档小区,159.26,30,26155.88,416.55,2000,2023-10,差,False,False,0.43,1.52
雁塔区,写字楼,甲级写字楼,295.34,24,29218.08,862.94,2001,2019-02,中,True,True,0.36,2.52
莲湖区,商铺,商场商铺,103.94,30,37506.56,389.84,2010,2020-04,差,False,False,0.33,3.93
灞桥区,住宅,中档小区,106.47,7,12951.5,137.9,2010,2020-06,良,False,False,0.36,2.22
长安区,住宅,普通住宅,101.34,29,13557.87,137.4,2011,2023-08,良,False,True,0.3,2.15
高新区,写字楼,乙级写字楼,749.75,1,29639.51,2222.22,2011,2023-09,中,False,True,0.4,3.74
莲湖区,写字楼,甲级写字楼,596.19,1,27814.28,1658.25,2003,2019-04,良,False,True,0.44,4.26
灞桥区,住宅,中档小区,108.45,31,10205.21,110.68,2019,2020-04,差,False,False,0.3,1.89
经开区,写字楼,甲级写字楼,576.66,13,20033.33,1155.24,2002,2022-11,中,False,True,0.42,2.32
经开区,住宅,中档小区,135.88,12,9205.55,125.08,1995,2019-02,差,False,True,0.37,4.46
雁塔区,住宅,中档小区,139.37,21,25898.08,360.95,2020,2020-01,中,False,False,0.3,3.74
曲江新区,写字楼,甲级写字楼,359.24,4,30554.04,1097.62,2007,2019-07,中,False,True,0.43,3.98
未央区,写字楼,甲级写字楼,898.47,5,30285.07,2721.01,2012,2022-11,中,False,False,0.38,2.95
未央区,住宅,普通住宅,77.43,6,10920.94,84.56,2016,2023-05,良,False,False,0.33,2.13
长安区,商铺,社区商铺,98.05,13,14325.62,140.46,2017,2022-01,差,True,True,0.44,1.76
碑林区,写字楼,甲级写字楼,452.98,30,41199.19,1866.26,2015,2021-12,良,True,False,0.32,1.53
新城区,住宅,高档小区,186.41,33,17953.56,334.67,2011,2022-12,良,True,False,0.38,2.8
新城区,写字楼,乙级写字楼,148.77,28,16090.46,239.38,1999,2020-08,中,True,True,0.37,2.17
长安区,商铺,社区商铺,101.82,2,11505.11,117.14,1993,2021-11,优,False,False,0.44,2.0
高新区,住宅,中档小区,76.98,14,20732.88,159.6,2018,2023-10,优,False,False,0.29,2.86
灞桥区,商铺,商场商铺,151.94,1,16601.33,252.24,1990,2022-07,良,False,True,0.41,4.07
莲湖区,住宅,中档小区,100.15,5,20910.35,209.41,2019,2023-03,良,False,True,0.39,3.88
经开区,住宅,高档小区,120.28,13,14732.52,177.2,1991,2019-06,中,False,False,0.26,1.65
莲湖区,写字楼,普通写字楼,151.05,1,15067.71,227.59,2005,2021-08,差,False,False,0.43,4.32
长安区,住宅,中档小区,132.31,6,12886.68,170.51,2004,2019-06,差,False,False,0.35,1.84
长安区,住宅,高档小区,180.4,25,16961.9,305.98,2017,2019-10,优,True,False,0.36,1.8
灞桥区,住宅,中档小区,105.67,2,12087.19,127.73,2001,2020-08,良,False,True,0.41,3.9
曲江新区,住宅,普通住宅,111.39,4,15918.97,177.32,1990,2022-07,良,False,False,0.38,2.34
长安区,住宅,高档小区,105.27,16,10859.27,114.31,1993,2021-03,优,False,False,0.33,2.44
未央区,住宅,中档小区,141.81,8,13212.99,187.38,1994,2023-03,差,False,False,0.4,4.08
经开区,商铺,临街商铺,96.96,13,22548.9,218.64,2002,2023-05,良,True,False,0.43,3.31
长安区,住宅,高档小区,162.42,3,19856.56,322.51,2018,2021-09,良,False,True,0.33,3.42
新城区,写字楼,普通写字楼,103.9,6,15162.97,157.54,2015,2022-01,良,False,False,0.37,1.83
未央区,写字楼,乙级写字楼,376.35,23,22046.22,829.72,2013,2023-01,良,True,False,0.41,2.28
莲湖区,商铺,社区商铺,80.13,26,19480.38,156.11,1994,2019-01,良,False,True,0.44,2.26
未央区,住宅,普通住宅,119.09,4,8447.99,100.61,2016,2021-11,差,False,False,0.36,2.76
长安区,住宅,普通住宅,64.32,33,10778.58,69.33,2011,2021-02,中,True,False,0.45,1.86
灞桥区,写字楼,普通写字楼,142.18,8,16194.9,230.26,2021,2022-04,中,True,False,0.25,3.35
长安区,商铺,商场商铺,65.14,4,17719.66,115.42,2001,2021-02,差,False,True,0.33,1.58
曲江新区,商铺,商场商铺,71.66,6,37283.39,267.19,2016,2021-06,差,False,True,0.29,3.9
未央区,住宅,中档小区,139.74,29,12664.89,176.97,1997,2023-03,差,False,False,0.33,3.06
新城区,住宅,普通住宅,110.08,2,10270.1,113.05,2006,2019-04,良,False,True,0.38,4.06
经开区,住宅,普通住宅,117.69,5,13778.93,162.16,2019,2023-11,中,False,True,0.45,1.94
灞桥区,商铺,临街商铺,269.65,2,19209.23,517.98,2019,2020-06,差,False,True,0.26,3.24
经开区,写字楼,乙级写字楼,100.5,5,17692.5,177.81,1991,2021-07,中,False,True,0.43,2.63
未央区,写字楼,普通写字楼,482.51,10,16365.72,789.67,1994,2019-06,差,False,True,0.4,1.61
莲湖区,写字楼,甲级写字楼,631.05,11,31096.05,1962.32,2002,2023-05,差,True,False,0.4,3.77
莲湖区,住宅,普通住宅,111.01,7,10746.17,119.29,1990,2022-04,良,False,True,0.35,4.08
碑林区,写字楼,普通写字楼,466.49,20,30817.19,1437.59,2010,2019-10,优,False,False,0.42,4.38
灞桥区,住宅,普通住宅,114.67,13,8347.69,95.72,2022,2023-07,中,True,False,0.33,3.64
碑林区,住宅,中档小区,143.64,21,26465.75,380.16,2016,2019-05,差,False,True,0.39,2.55
碑林区,住宅,高档小区,162.42,6,20979.46,340.74,1995,2023-08,优,False,True,0.36,2.71
曲江新区,住宅,普通住宅,94.19,32,18963.11,178.61,2012,2021-05,中,True,False,0.26,1.96
长安区,写字楼,乙级写字楼,164.96,33,10245.05,169.0,2000,2021-06,良,False,False,0.43,3.21
碑林区,写字楼,乙级写字楼,463.23,10,30600.08,1417.49,2016,2023-09,良,True,True,0.27,2.53
莲湖区,商铺,临街商铺,277.68,27,23662.39,657.06,2004,2019-09,优,True,False,0.44,2.11
新城区,商铺,临街商铺,277.63,18,19299.77,535.82,2011,2019-03,中,False,False,0.38,4.03
莲湖区,住宅,中档小区,77.49,22,13276.38,102.88,2014,2022-06,良,True,False,0.27,3.12
高新区,商铺,社区商铺,60.74,22,24796.77,150.62,1996,2021-11,优,True,False,0.45,2.78
灞桥区,住宅,高档小区,185.5,1,14244.55,264.23,1994,2023-01,优,False,False,0.28,3.52
雁塔区,住宅,高档小区,186.63,7,17155.89,320.18,2005,2022-11,差,False,False,0.29,2.5
曲江新区,住宅,普通住宅,72.59,21,10422.41,75.66,2000,2023-06,优,True,True,0.27,3.22
长安区,商铺,商场商铺,107.81,12,25286.11,272.6,1991,2023-01,良,False,False,0.38,1.85
新城区,商铺,社区商铺,146.55,21,15502.64,227.19,1991,2020-09,差,True,False,0.34,3.62
长安区,商铺,临街商铺,105.35,1,19582.01,206.3,1993,2022-04,中,False,False,0.41,2.63
曲江新区,写字楼,普通写字楼,84.44,3,15631.3,131.99,1996,2019-11,中,False,False,0.32,3.74
经开区,商铺,商场商铺,127.37,26,24143.75,307.52,2000,2023-01,优,True,False,0.29,2.2
长安区,商铺,临街商铺,95.06,27,22166.8,210.71,2012,2019-03,差,False,False,0.39,3.31
长安区,住宅,普通住宅,119.09,21,7427.18,88.45,1999,2020-02,优,False,True,0.43,2.9
曲江新区,商铺,临街商铺,56.89,3,31804.82,180.92,2004,2022-02,差,False,False,0.38,4.04
莲湖区,写字楼,甲级写字楼,750.57,14,22440.09,1684.29,2006,2022-10,良,False,True,0.44,3.08
灞桥区,写字楼,普通写字楼,304.21,25,9674.19,294.3,2004,2019-05,中,False,True,0.41,1.84
未央区,商铺,商场商铺,51.37,4,30878.65,158.62,2006,2020-09,优,False,True,0.38,3.61
新城区,写字楼,乙级写字楼,270.61,3,18690.49,505.78,2009,2022-02,中,False,False,0.39,2.64
新城区,写字楼,甲级写字楼,466.68,9,32758.25,1528.78,2014,2022-11,良,False,False,0.38,4.3
曲江新区,商铺,商场商铺,68.52,21,52256.54,358.07,2021,2022-04,优,True,True,0.3,3.2
新城区,住宅,高档小区,94.76,26,20135.76,190.81,2019,2021-06,中,False,False,0.4,1.68
经开区,商铺,社区商铺,141.69,33,16471.94,233.39,2017,2022-05,优,False,False,0.36,4.3
高新区,商铺,社区商铺,67.77,9,23356.75,158.28,2010,2023-02,优,False,True,0.35,3.2
灞桥区,写字楼,乙级写字楼,498.08,29,14561.69,725.29,2004,2021-08,差,False,True,0.42,2.93
莲湖区,住宅,中档小区,143.28,21,14761.39,211.5,2001,2023-11,差,False,True,0.33,2.25
雁塔区,商铺,临街商铺,251.71,29,32776.72,825.04,2006,2022-11,良,False,False,0.38,4.18
经开区,商铺,临街商铺,273.86,24,13105.99,358.92,1998,2019-04,优,False,False,0.37,1.83
新城区,商铺,商场商铺,76.44,17,41708.84,318.82,2016,2021-11,差,True,True,0.42,3.33
经开区,商铺,临街商铺,294.38,2,15211.97,447.81,1992,2021-05,优,False,False,0.37,3.33
经开区,写字楼,乙级写字楼,383.71,12,12700.93,487.35,2009,2019-10,中,False,True,0.38,2.89
未央区,商铺,商场商铺,72.81,28,20379.74,148.39,2006,2022-03,差,True,True,0.27,3.94
未央区,写字楼,甲级写字楼,848.45,22,25304.22,2146.93,2000,2023-09,中,True,True,0.29,1.68
雁塔区,写字楼,甲级写字楼,815.39,29,29485.87,2404.25,1995,2019-06,差,False,True,0.44,2.29
长安区,写字楼,普通写字楼,328.08,16,14641.42,480.36,1992,2021-06,优,False,True,0.41,3.11
高新区,写字楼,甲级写字楼,601.33,7,33929.58,2040.29,2015,2020-10,优,False,True,0.32,3.02
新城区,住宅,中档小区,81.07,10,22292.75,180.73,2017,2022-11,中,False,False,0.4,2.16
雁塔区,住宅,普通住宅,119.54,20,13847.4,165.54,2011,2020-10,中,False,False,0.4,3.19
莲湖区,写字楼,乙级写字楼,292.98,5,23370.6,684.71,1995,2020-10,差,False,False,0.37,4.15
经开区,商铺,商场商铺,74.13,22,31387.69,232.68,2012,2021-01,优,True,True,0.34,4.14
未央区,写字楼,普通写字楼,328.4,7,11249.06,369.42,2012,2020-03,中,False,False,0.42,3.95
长安区,写字楼,甲级写字楼,853.41,17,22274.84,1900.96,2004,2022-02,差,True,True,0.44,3.15
碑林区,写字楼,普通写字楼,146.1,19,18532.44,270.75,1996,2020-07,中,False,False,0.44,1.98
经开区,住宅,普通住宅,114.27,18,7371.93,84.24,1993,2022-11,差,False,True,0.34,2.64
曲江新区,住宅,中档小区,111.54,14,22339.32,249.16,1991,2020-05,优,False,True,0.33,3.58
曲江新区,住宅,普通住宅,82.73,25,16596.39,137.3,2000,2022-03,良,True,False,0.32,3.44
