district,enterprise_type,register_date,registered_capital,employee_count,development_stage,is_active,annual_revenue,annual_profit,patent_count,rd_investment_ratio,has_foreign_investment,is_listed,tax_contribution
长安区,商贸服务,2023-06-13,3952.73,85,成长期,True,10180.88,1378.15,0,0.0437,True,True,1061.38
经开区,制造业,2022-06-15,17495.76,106,成长期,True,39502.29,5206.98,2,0.0283,True,True,4366.31
高新区,科技企业,2019-11-13,3505.33,145,初创期,True,5132.37,-255.7,13,0.0587,True,False,517.86
碑林区,文化创意,2023-09-27,1677.04,11,初创期,True,2015.26,6.86,14,0.1336,True,False,295.83
莲湖区,商贸服务,2020-09-18,2956.34,73,初创期,False,3307.51,-117.21,2,0.0129,True,False,476.37
碑林区,文化创意,2020-11-20,1230.44,15,转型期,True,2916.02,224.73,2,0.0768,True,False,147.22
长安区,制造业,2020-08-25,6263.86,1033,初创期,True,4781.09,-106.93,3,0.038,False,False,489.12
长安区,商贸服务,2022-06-28,2227.91,24,成长期,False,3807.7,411.94,2,0.0256,True,False,252.28
雁塔区,科技企业,2023-04-23,8867.88,273,成长期,True,23032.92,3546.5,14,0.0808,False,False,3183.21
经开区,科技企业,2020-11-14,9496.48,361,初创期,True,10038.14,-1913.4,7,0.1054,True,False,719.3
长安区,制造业,2023-12-08,18460.91,1318,成长期,False,29732.78,4337.08,0,0.0321,False,True,3290.5
高新区,科技企业,2021-08-30,5605.31,465,成长期,False,12404.49,1416.99,17,0.0893,True,False,1660.1
经开区,制造业,2023-08-25,14021.26,1512,成长期,True,41418.8,4377.71,2,0.0285,True,True,4791.64
经开区,科技企业,2021-02-14,4088.91,279,初创期,True,3648.46,-124.13,4,0.0984,False,False,490.0
碑林区,金融服务,2020-05-10,2940.31,55,初创期,True,1573.49,113.0,3,0.0126,True,False,183.19
莲湖区,商贸服务,2020-02-04,2584.78,185,初创期,True,2467.72,104.0,2,0.0176,False,False,347.91
长安区,科技企业,2019-09-26,4385.18,481,成长期,True,9969.43,1177.38,16,0.0569,True,False,1347.07
碑林区,金融服务,2021-04-09,10706.86,144,成长期,False,19171.7,3799.36,3,0.0239,True,False,1566.39
雁塔区,科技企业,2020-06-08,2337.28,488,成熟期,False,9403.86,2395.15,3,0.0696,True,False,582.67
经开区,科技企业,2022-04-12,9697.14,70,成长期,True,22849.3,4187.33,9,0.0846,True,True,2575.01
雁塔区,科技企业,2022-12-04,1464.25,430,成长期,True,3993.12,593.04,17,0.0723,False,False,253.34
莲湖区,商贸服务,2021-06-14,621.24,195,成长期,True,1339.06,267.8,3,0.0292,False,False,83.37
经开区,制造业,2023-05-21,15149.37,1040,初创期,True,20574.73,1957.93,3,0.0378,True,True,3057.44
新城区,商贸服务,2019-09-16,214.75,31,成长期,True,578.66,82.03,4,0.0357,False,False,41.33
碑林区,金融服务,2019-05-07,29275.08,291,成长期,True,56053.94,10878.11,4,0.0193,False,True,7464.68
碑林区,商贸服务,2019-01-24,638.43,108,成长期,True,1407.7,183.59,2,0.0343,True,False,122.56
曲江新区,科技企业,2020-01-29,7919.74,312,成长期,True,15635.26,2690.24,17,0.0707,True,True,2147.56
莲湖区,商贸服务,2023-08-17,3814.45,45,成长期,True,9918.74,1160.65,0,0.0458,True,False,497.88
莲湖区,金融服务,2019-08-10,4803.85,60,初创期,True,2694.17,231.61,0,0.0158,False,False,157.45
灞桥区,科技企业,2019-06-07,8134.31,466,转型期,True,19986.02,2184.94,12,0.1319,False,False,2596.63
新城区,商贸服务,2020-08-06,4182.36,163,初创期,True,6218.56,440.44,4,0.0125,False,False,493.79
新城区,商贸服务,2020-03-10,3259.35,114,成长期,True,6135.93,754.72,4,0.0282,True,False,870.88
碑林区,商贸服务,2023-01-02,4025.33,122,初创期,True,4332.9,-488.35,1,0.0492,True,False,281.02
长安区,制造业,2022-03-23,950.07,1710,成熟期,True,4076.53,628.34,5,0.0464,True,False,333.76
曲江新区,文化创意,2020-10-26,526.49,14,初创期,False,638.53,-72.19,9,0.0764,False,False,44.27
新城区,商贸服务,2023-08-22,69.43,170,初创期,True,77.81,-8.75,2,0.0215,True,False,6.98
雁塔区,金融服务,2020-11-11,37934.48,46,初创期,True,19178.83,-859.87,5,0.0235,True,True,2840.11
碑林区,文化创意,2019-12-27,851.66,28,初创期,True,682.17,-78.64,10,0.1035,True,False,59.82
新城区,制造业,2023-07-26,13342.12,1974,成熟期,True,48859.01,11828.88,3,0.0365,False,False,4055.31
高新区,科技企业,2020-10-24,2376.78,490,成长期,True,6302.89,905.65,12,0.1024,False,False,454.93
碑林区,文化创意,2020-11-13,881.55,47,成熟期,True,3559.81,795.81,13,0.1451,False,False,252.74
经开区,制造业,2021-05-23,5676.13,1306,成长期,True,10270.1,1399.73,2,0.0456,True,True,678.92
碑林区,金融服务,2020-03-22,48490.63,226,成熟期,True,153726.81,30302.23,0,0.0146,False,False,21107.42
经开区,科技企业,2023-12-05,7488.59,328,成长期,True,14545.38,2597.89,10,0.098,False,True,1274.22
碑林区,金融服务,2021-10-26,38387.65,46,成长期,True,58690.72,10454.96,5,0.0335,True,False,2959.57
经开区,商贸服务,2022-03-24,4619.1,33,初创期,True,4644.5,0.03,4,0.0352,False,False,392.46
碑林区,金融服务,2020-04-13,12641.73,70,初创期,True,12204.84,77.48,3,0.027,False,False,1156.48
新城区,商贸服务,2023-11-06,55.41,73,成熟期,True,227.47,64.17,5,0.0146,False,False,13.44
经开区,金融服务,2020-04-15,25678.89,132,成熟期,True,103698.64,29591.73,0,0.0362,True,False,6627.98
未央区,制造业,2023-11-02,14174.63,1176,成熟期,True,56974.35,15017.87,4,0.0238,False,True,5637.29
经开区,科技企业,2019-12-18,6085.24,142,成长期,True,10882.18,1439.59,20,0.141,True,True,1211.59
碑林区,文化创意,2020-01-15,475.12,36,成长期,True,983.77,149.81,13,0.0942,True,False,139.96
高新区,金融服务,2019-08-08,7891.69,131,成长期,True,21769.27,2503.51,3,0.0148,False,False,1943.18
新城区,金融服务,2022-06-02,30527.83,299,成长期,True,69370.53,13614.19,4,0.0285,False,False,9040.04
碑林区,金融服务,2019-09-19,41047.67,252,成熟期,True,138075.58,23783.49,3,0.0324,False,False,10606.77
长安区,文化创意,2020-05-17,1405.62,11,初创期,True,1690.11,-13.31,7,0.1221,False,False,226.14
新城区,商贸服务,2019-02-01,2043.12,49,初创期,True,1097.55,-167.92,4,0.0263,False,False,83.97
高新区,科技企业,2022-10-01,4649.82,204,初创期,False,4765.69,-519.8,9,0.1291,True,False,618.33
碑林区,文化创意,2019-03-28,1322.13,32,初创期,True,987.59,-186.75,1,0.0581,True,False,125.95
长安区,制造业,2019-11-12,1939.56,797,成长期,True,5727.58,1074.77,5,0.0482,True,False,690.42
碑林区,商贸服务,2023-12-22,4566.76,132,转型期,True,10458.66,936.61,2,0.0228,False,False,1493.59
雁塔区,金融服务,2021-02-07,13684.17,44,成长期,True,33140.75,6111.51,3,0.0129,False,True,3633.71
莲湖区,商贸服务,2023-09-03,4247.81,90,初创期,False,4513.05,125.41,3,0.0377,False,False,439.19
碑林区,金融服务,2019-11-16,35236.59,196,成长期,True,55499.68,10419.98,0,0.0244,True,False,8165.65
碑林区,商贸服务,2020-12-07,793.12,95,成长期,True,2363.32,272.67,0,0.0244,True,False,228.27
新城区,金融服务,2020-04-28,39546.53,76,初创期,True,57904.31,-9841.98,0,0.0219,True,True,5344.78
新城区,科技企业,2020-09-04,3986.25,372,初创期,True,2055.57,-379.61,11,0.0886,True,False,182.05
经开区,科技企业,2022-01-25,281.8,36,成熟期,True,968.29,245.8,14,0.1139,True,False,80.96
高新区,科技企业,2020-09-24,9599.88,335,成长期,True,24231.04,2560.14,5,0.138,False,False,2574.54
未央区,制造业,2021-07-10,9078.9,1606,成熟期,True,41029.37,11397.59,2,0.0244,False,False,3682.82
莲湖区,制造业,2020-06-07,5081.31,1665,成长期,True,9411.78,1747.38,5,0.0108,True,False,1266.63
雁塔区,文化创意,2019-08-12,1937.29,91,初创期,True,1802.97,3.08,14,0.0511,True,False,210.07
新城区,商贸服务,2021-03-15,4393.93,38,成熟期,True,21959.8,4313.27,1,0.0312,False,True,1199.28
雁塔区,文化创意,2019-08-18,1131.5,38,成长期,False,3191.89,320.71,18,0.124,False,False,292.79
经开区,科技企业,2023-03-13,9597.26,302,成长期,True,14939.56,1817.65,8,0.1174,False,True,1989.35
高新区,科技企业,2021-04-27,1880.69,134,成熟期,False,7062.66,1534.34,9,0.1294,False,False,916.81
未央区,制造业,2023-03-14,5163.32,136,初创期,True,3231.32,80.22,1,0.03,True,False,194.11
未央区,商贸服务,2021-08-20,3134.6,145,初创期,True,3649.63,-486.44,0,0.0181,True,False,417.58
曲江新区,商贸服务,2019-07-11,2746.79,106,成长期,True,7071.45,800.57,0,0.0265,False,False,851.74
雁塔区,科技企业,2022-02-14,9811.62,54,成熟期,True,47789.24,11736.0,5,0.1091,True,False,2912.81
碑林区,文化创意,2021-07-24,628.15,31,成长期,True,1655.7,272.86,1,0.1043,True,False,84.57
碑林区,文化创意,2020-09-28,532.79,5,成熟期,True,2598.77,676.02,20,0.098,False,False,316.73
新城区,文化创意,2019-05-21,1077.48,55,初创期,True,1428.59,4.0,7,0.0738,True,False,76.9
碑林区,文化创意,2021-05-18,916.41,74,成长期,True,1542.84,270.4,15,0.1165,True,False,155.44
经开区,科技企业,2021-10-14,8278.54,395,成长期,False,13412.0,1853.83,8,0.0778,False,False,1409.65
经开区,制造业,2020-03-01,5812.53,178,成熟期,True,23037.78,5450.77,3,0.0446,True,False,1899.54
雁塔区,科技企业,2023-12-11,1823.93,303,成长期,True,4434.36,707.32,2,0.1059,True,False,439.05
未央区,文化创意,2021-12-21,1693.1,62,成长期,True,4804.15,829.37,10,0.1291,False,False,719.57
莲湖区,商贸服务,2023-05-19,2119.41,130,成长期,True,5493.02,866.91,0,0.0217,False,False,416.38
雁塔区,科技企业,2021-11-18,6291.02,105,成熟期,True,19928.37,3653.35,4,0.1051,True,True,2273.88
碑林区,文化创意,2022-08-21,938.12,10,成长期,True,2416.55,440.6,4,0.0646,False,False,143.42
新城区,制造业,2023-02-10,688.01,712,转型期,True,1746.76,117.27,4,0.017,True,False,229.81
莲湖区,商贸服务,2022-02-21,2053.72,165,转型期,True,5480.68,298.19,1,0.0202,True,False,712.51
雁塔区,文化创意,2019-01-27,592.54,25,成长期,True,936.43,112.1,9,0.0521,False,False,124.25
新城区,商贸服务,2020-06-21,56.02,62,成长期,True,141.23,24.34,5,0.0207,True,False,16.61
未央区,科技企业,2019-10-02,5215.73,477,初创期,True,4973.85,-101.84,17,0.1143,False,False,563.76
灞桥区,科技企业,2022-09-30,9661.99,50,成熟期,True,37689.71,8354.24,4,0.0674,True,True,1998.66
新城区,商贸服务,2021-07-15,3049.39,48,成熟期,True,14343.55,3285.74,4,0.023,False,False,853.84
曲江新区,文化创意,2020-02-01,897.6,75,初创期,False,1310.67,129.4,15,0.1298,True,False,88.52
雁塔区,文化创意,2023-12-06,392.59,82,成长期,True,1144.83,168.55,12,0.0882,False,False,90.91
经开区,文化创意,2022-11-10,677.85,76,成熟期,False,3292.4,933.92,14,0.055,True,False,368.19
莲湖区,商贸服务,2023-03-02,3612.21,164,初创期,True,2386.63,58.27,2,0.0138,True,False,344.29
曲江新区,文化创意,2023-12-22,1071.01,72,初创期,False,716.28,-40.47,19,0.1039,False,False,69.01
碑林区,金融服务,2022-08-29,20666.93,261,成长期,True,38649.79,6936.0,5,0.0454,True,True,3966.57
经开区,科技企业,2023-03-03,319.92,196,初创期,True,162.05,-3.62,9,0.1327,True,False,24.03
高新区,科技企业,2023-12-21,8927.22,334,成熟期,True,33138.61,5208.27,10,0.0501,False,True,3683.83
高新区,金融服务,2019-04-17,49773.54,144,初创期,False,36107.46,-4182.33,3,0.0427,False,True,3500.63
碑林区,文化创意,2023-09-04,721.44,6,初创期,True,767.14,31.83,17,0.0766,True,False,49.32
曲江新区,科技企业,2023-02-06,2151.6,445,初创期,True,1434.42,-102.38,9,0.1137,False,False,202.95
曲江新区,文化创意,2021-04-22,823.79,77,初创期,True,451.18,-67.6,13,0.1261,False,False,55.87
碑林区,商贸服务,2020-04-26,4064.51,198,成熟期,True,15827.17,2978.01,3,0.023,False,False,2210.15
高新区,科技企业,2022-08-09,2226.24,453,成长期,True,6148.23,1073.68,18,0.0798,False,False,397.62
新城区,金融服务,2019-06-24,37817.67,20,初创期,True,35251.99,892.69,0,0.0107,False,False,3814.64
新城区,金融服务,2023-08-25,28271.83,171,转型期,True,95672.5,11910.38,5,0.0312,True,False,12384.3
雁塔区,文化创意,2019-09-06,1217.95,36,成熟期,True,3664.28,684.21,2,0.105,True,False,301.94
新城区,金融服务,2023-07-09,34707.48,142,成熟期,True,112449.98,33689.25,5,0.0234,False,True,12083.9
经开区,制造业,2020-09-15,11828.59,1161,成熟期,True,53536.22,8105.38,1,0.0122,False,False,3669.18
新城区,金融服务,2019-02-26,46952.69,161,初创期,True,52134.69,-10235.22,0,0.0462,False,True,6341.15
未央区,文化创意,2019-08-19,190.62,61,成长期,False,338.63,35.54,9,0.1276,True,False,45.64
莲湖区,商贸服务,2022-06-23,503.67,197,成长期,True,1436.68,278.21,4,0.0469,False,False,172.4
高新区,科技企业,2021-02-25,836.46,101,转型期,True,2514.32,182.78,11,0.099,False,False,239.29
雁塔区,科技企业,2020-01-06,5864.31,277,初创期,True,3005.67,-524.76,1,0.0665,False,False,428.05
长安区,制造业,2022-05-31,13677.08,863,转型期,True,34133.22,1865.07,5,0.0263,True,True,4667.75
雁塔区,科技企业,2019-08-25,7416.38,127,成长期,True,12658.14,1681.57,12,0.123,True,True,1216.86
长安区,制造业,2020-10-16,2198.37,1519,成长期,True,4257.76,789.43,3,0.0351,False,False,412.54
未央区,制造业,2019-08-31,1795.96,1200,成长期,True,3113.3,492.0,4,0.0419,True,False,377.1
新城区,商贸服务,2021-10-09,1161.12,85,成熟期,False,3885.98,816.8,2,0.0332,False,False,403.62
碑林区,科技企业,2021-09-12,8218.29,245,初创期,True,11428.0,-2010.31,7,0.0646,False,False,1574.53
新城区,金融服务,2023-06-29,44410.63,176,初创期,True,28984.66,-2584.84,1,0.0419,True,True,3831.09
碑林区,金融服务,2019-07-10,2361.2,78,初创期,True,3250.14,51.73,2,0.0333,False,False,340.38
碑林区,商贸服务,2023-08-29,2789.0,36,成长期,True,7019.98,964.28,2,0.0164,True,False,674.12
未央区,制造业,2019-12-26,5004.86,1863,成长期,True,12623.18,1445.17,1,0.0333,True,False,1438.62
新城区,文化创意,2020-05-13,506.87,38,初创期,False,732.81,-76.48,5,0.078,False,False,51.03
经开区,制造业,2019-10-12,4464.98,352,成长期,True,8817.46,1042.0,1,0.0334,False,False,725.52
莲湖区,商贸服务,2020-05-21,2115.66,172,成熟期,True,6766.19,1538.02,2,0.0466,False,False,984.17
碑林区,商贸服务,2020-07-16,2536.13,77,初创期,True,3508.48,82.38,0,0.0412,True,False,222.36
碑林区,商贸服务,2020-10-25,1732.83,146,初创期,True,1960.28,161.24,4,0.0317,True,False,288.76
雁塔区,文化创意,2019-06-08,706.45,43,成长期,False,1672.22,331.03,16,0.1187,False,False,84.98
碑林区,商贸服务,2022-09-05,2898.9,162,初创期,True,3999.69,-123.25,0,0.0122,False,False,440.74
高新区,金融服务,2022-07-27,8817.58,270,成熟期,True,28730.1,7426.09,2,0.037,True,False,1832.21
高新区,科技企业,2021-09-04,9378.2,219,初创期,True,8233.69,-650.07,19,0.0948,True,False,945.65
曲江新区,商贸服务,2023-09-17,1479.57,121,成长期,False,3892.44,671.45,2,0.0339,False,False,419.03
新城区,科技企业,2021-10-07,1713.45,495,转型期,False,4884.35,579.06,19,0.1153,True,False,722.74
碑林区,商贸服务,2022-01-10,1785.36,61,成熟期,True,8311.07,1630.15,5,0.0125,True,False,541.28
