date,hour,district,period_type,is_weekend,inflow,outflow,total_flow
2023-01-01,4,曲江新区,平峰,True,1.29,1.29,2.57
2023-01-01,5,新城区,平峰,True,1.59,1.59,3.19
2023-01-01,5,碑林区,平峰,True,2.65,2.65,5.3
2023-01-01,5,莲湖区,平峰,True,1.3,1.3,2.6
2023-01-01,5,雁塔区,平峰,True,1.24,1.24,2.48
2023-01-01,5,未央区,平峰,True,0.94,0.94,1.88
2023-01-01,5,灞桥区,平峰,True,0.81,0.81,1.61
2023-01-01,5,长安区,平峰,True,1.48,1.48,2.95
2023-01-01,5,高新区,平峰,True,1.14,1.14,2.28
2023-01-01,5,经开区,平峰,True,0.96,0.96,1.91
2023-01-01,5,曲江新区,平峰,True,1.46,1.46,2.92
2023-01-01,6,新城区,平峰,True,5.11,5.11,10.23
2023-01-01,6,碑林区,平峰,True,7.09,7.09,14.18
2023-01-01,6,莲湖区,平峰,True,5.76,5.76,11.52
2023-01-01,6,雁塔区,平峰,True,5.91,5.91,11.82
2023-01-01,6,未央区,平峰,True,3.76,3.76,7.52
2023-01-01,6,灞桥区,平峰,True,2.76,2.76,5.52
2023-01-01,6,长安区,平峰,True,3.75,3.75,7.49
2023-01-01,6,高新区,平峰,True,7.42,7.42,14.84
2023-01-01,6,经开区,平峰,True,3.22,3.22,6.45
2023-01-01,6,曲江新区,平峰,True,6.29,6.29,12.59
2023-01-01,7,新城区,早高峰,True,6.53,6.53,13.06
2023-01-01,7,碑林区,早高峰,True,8.89,8.89,17.78
2023-01-01,7,莲湖区,早高峰,True,6.99,6.99,13.99
2023-01-01,7,雁塔区,早高峰,True,3.57,3.57,7.13
2023-01-01,7,未央区,早高峰,True,2.82,2.82,5.63
2023-01-01,7,灞桥区,早高峰,True,3.43,3.43,6.85
2023-01-01,7,长安区,早高峰,True,3.96,3.96,7.93
2023-01-01,7,高新区,早高峰,True,4.09,4.09,8.19
2023-01-01,7,经开区,早高峰,True,3.73,3.73,7.45
2023-01-01,7,曲江新区,早高峰,True,4.11,4.11,8.23
2023-01-01,8,新城区,早高峰,True,7.9,7.9,15.81
2023-01-01,8,碑林区,早高峰,True,8.63,8.63,17.25
2023-01-01,8,莲湖区,早高峰,True,5.91,5.91,11.82
2023-01-01,8,雁塔区,早高峰,True,3.74,3.74,7.48
2023-01-01,8,未央区,早高峰,True,4.29,4.29,8.57
2023-01-01,8,灞桥区,早高峰,True,2.74,2.74,5.48
2023-01-01,8,长安区,早高峰,True,4.8,4.8,9.6
2023-01-01,8,高新区,早高峰,True,4.79,4.79,9.58
2023-01-01,8,经开区,早高峰,True,2.76,2.76,5.52
2023-01-01,8,曲江新区,早高峰,True,3.94,3.94,7.88
2023-01-01,9,新城区,早高峰,True,3.55,3.55,7.11
2023-01-01,9,碑林区,早高峰,True,7.26,7.26,14.51
2023-01-01,9,莲湖区,早高峰,True,5.34,5.34,10.68
2023-01-01,9,雁塔区,早高峰,True,3.43,3.43,6.86
2023-01-01,9,未央区,早高峰,True,3.7,3.7,7.4
2023-01-01,9,灞桥区,早高峰,True,3.03,3.03,6.06
2023-01-01,9,长安区,早高峰,True,4.38,4.38,8.76
2023-01-01,9,高新区,早高峰,True,4.91,4.91,9.82
2023-01-01,9,经开区,早高峰,True,3.09,3.09,6.17
2023-01-01,9,曲江新区,早高峰,True,6.46,6.46,12.92
2023-01-01,10,新城区,平峰,True,4.1,4.1,8.2
2023-01-01,10,碑林区,平峰,True,5.07,5.07,10.14
2023-01-01,10,莲湖区,平峰,True,5.89,5.89,11.77
2023-01-01,10,雁塔区,平峰,True,6.63,6.63,13.26
2023-01-01,10,未央区,平峰,True,4.3,4.3,8.6
2023-01-01,10,灞桥区,平峰,True,3.46,3.46,6.93
2023-01-01,10,长安区,平峰,True,4.26,4.26,8.52
2023-01-01,10,高新区,平峰,True,3.94,3.94,7.89
2023-01-01,10,经开区,平峰,True,5.67,5.67,11.34
2023-01-01,10,曲江新区,平峰,True,6.58,6.58,13.15
2023-01-01,11,新城区,平峰,True,6.37,6.37,12.74
2023-01-01,11,碑林区,平峰,True,4.71,4.71,9.42
2023-01-01,11,莲湖区,平峰,True,7.17,7.17,14.34
2023-01-01,11,雁塔区,平峰,True,5.81,5.81,11.62
2023-01-01,11,未央区,平峰,True,4.15,4.15,8.31
2023-01-01,11,灞桥区,平峰,True,2.62,2.62,5.24
2023-01-01,11,长安区,平峰,True,4.71,4.71,9.41
2023-01-01,11,高新区,平峰,True,4.4,4.4,8.8
2023-01-01,11,经开区,平峰,True,2.97,2.97,5.93
2023-01-01,11,曲江新区,平峰,True,6.8,6.8,13.6
2023-01-01,12,新城区,平峰,True,7.24,7.24,14.48
2023-01-01,12,碑林区,平峰,True,7.99,7.99,15.98
2023-01-01,12,莲湖区,平峰,True,7.82,7.82,15.65
2023-01-01,12,雁塔区,平峰,True,6.39,6.39,12.78
2023-01-01,12,未央区,平峰,True,4.03,4.03,8.06
2023-01-01,12,灞桥区,平峰,True,5.51,5.51,11.02
2023-01-01,12,长安区,平峰,True,4.68,4.68,9.36
2023-01-01,12,高新区,平峰,True,5.93,5.93,11.86
2023-01-01,12,经开区,平峰,True,6.74,6.74,13.47
2023-01-01,12,曲江新区,平峰,True,5.15,5.15,10.3
2023-01-01,13,新城区,平峰,True,8.36,8.36,16.71
2023-01-01,13,碑林区,平峰,True,7.61,7.61,15.22
2023-01-01,13,莲湖区,平峰,True,7.74,7.74,15.49
2023-01-01,13,雁塔区,平峰,True,8.54,8.54,17.09
2023-01-01,13,未央区,平峰,True,5.31,5.31,10.62
2023-01-01,13,灞桥区,平峰,True,3.42,3.42,6.83
2023-01-01,13,长安区,平峰,True,5.79,5.79,11.58
2023-01-01,13,高新区,平峰,True,6.66,6.66,13.32
2023-01-01,13,经开区,平峰,True,5.42,5.42,10.84
2023-01-01,13,曲江新区,平峰,True,4.96,4.96,9.92
2023-01-01,14,新城区,平峰,True,7.16,7.16,14.32
2023-01-01,14,碑林区,平峰,True,7.74,7.74,15.48
2023-01-01,14,莲湖区,平峰,True,6.4,6.4,12.81
2023-01-01,14,雁塔区,平峰,True,4.76,4.76,9.52
2023-01-01,14,未央区,平峰,True,3.89,3.89,7.78
2023-01-01,14,灞桥区,平峰,True,2.65,2.65,5.29
2023-01-01,14,长安区,平峰,True,4.15,4.15,8.3
2023-01-01,14,高新区,平峰,True,4.93,4.93,9.86
2023-01-01,14,经开区,平峰,True,2.88,2.88,5.76
2023-01-01,14,曲江新区,平峰,True,6.21,6.21,12.43
2023-01-01,15,新城区,平峰,True,6.76,6.76,13.52
2023-01-01,15,碑林区,平峰,True,5.57,5.57,11.14
2023-01-01,15,莲湖区,平峰,True,4.73,4.73,9.46
2023-01-01,15,雁塔区,平峰,True,6.2,6.2,12.41
2023-01-01,15,未央区,平峰,True,3.96,3.96,7.93
2023-01-01,15,灞桥区,平峰,True,2.95,2.95,5.9
2023-01-01,15,长安区,平峰,True,3.58,3.58,7.16
2023-01-01,15,高新区,平峰,True,6.07,6.07,12.14
2023-01-01,15,经开区,平峰,True,3.14,3.14,6.28
2023-01-01,15,曲江新区,平峰,True,3.29,3.29,6.58
2023-01-01,16,新城区,平峰,True,5.8,5.8,11.6
2023-01-01,16,碑林区,平峰,True,7.68,7.68,15.36
2023-01-01,16,莲湖区,平峰,True,6.65,6.65,13.3
2023-01-01,16,雁塔区,平峰,True,5.35,5.35,10.7
2023-01-01,16,未央区,平峰,True,3.04,3.04,6.08
2023-01-01,16,灞桥区,平峰,True,2.17,2.17,4.34
2023-01-01,16,长安区,平峰,True,4.03,4.03,8.06
2023-01-01,16,高新区,平峰,True,4.84,4.84,9.67
2023-01-01,16,经开区,平峰,True,3.0,3.0,5.99
2023-01-01,16,曲江新区,平峰,True,3.86,3.86,7.72
2023-01-01,17,新城区,晚高峰,True,5.95,5.95,11.89
2023-01-01,17,碑林区,晚高峰,True,8.96,8.96,17.92
2023-01-01,17,莲湖区,晚高峰,True,4.78,4.78,9.56
2023-01-01,17,雁塔区,晚高峰,True,4.61,4.61,9.22
2023-01-01,17,未央区,晚高峰,True,6.13,6.13,12.25
2023-01-01,17,灞桥区,晚高峰,True,3.1,3.1,6.19
2023-01-01,17,长安区,晚高峰,True,3.87,3.87,7.74
2023-01-01,17,高新区,晚高峰,True,5.57,5.57,11.13
2023-01-01,17,经开区,晚高峰,True,5.26,5.26,10.52
2023-01-01,17,曲江新区,晚高峰,True,6.86,6.86,13.71
2023-01-01,18,新城区,晚高峰,True,6.45,6.45,12.91
2023-01-01,18,碑林区,晚高峰,True,8.95,8.95,17.89
2023-01-01,18,莲湖区,晚高峰,True,6.78,6.78,13.55
2023-01-01,18,雁塔区,晚高峰,True,4.86,4.86,9.72
2023-01-01,18,未央区,晚高峰,True,4.23,4.23,8.46
2023-01-01,18,灞桥区,晚高峰,True,4.28,4.28,8.56
2023-01-01,18,长安区,晚高峰,True,6.38,6.38,12.76
2023-01-01,18,高新区,晚高峰,True,6.51,6.51,13.02
2023-01-01,18,经开区,晚高峰,True,4.18,4.18,8.35
2023-01-01,18,曲江新区,晚高峰,True,8.13,8.13,16.26
2023-01-01,19,新城区,晚高峰,True,7.27,7.27,14.53
2023-01-01,19,碑林区,晚高峰,True,6.52,6.52,13.04
2023-01-01,19,莲湖区,晚高峰,True,8.32,8.32,16.63
2023-01-01,19,雁塔区,晚高峰,True,5.85,5.85,11.7
2023-01-01,19,未央区,晚高峰,True,4.49,4.49,8.99
2023-01-01,19,灞桥区,晚高峰,True,2.86,2.86,5.73
2023-01-01,19,长安区,晚高峰,True,4.39,4.39,8.78
2023-01-01,19,高新区,晚高峰,True,5.82,5.82,11.63
2023-01-01,19,经开区,晚高峰,True,4.93,4.93,9.87
2023-01-01,19,曲江新区,晚高峰,True,6.08,6.08,12.15
2023-01-01,20,新城区,平峰,True,3.89,3.89,7.77
2023-01-01,20,碑林区,平峰,True,5.92,5.92,11.84
2023-01-01,20,莲湖区,平峰,True,4.67,4.67,9.33
2023-01-01,20,雁塔区,平峰,True,4.73,4.73,9.46
2023-01-01,20,未央区,平峰,True,5.25,5.25,10.51
2023-01-01,20,灞桥区,平峰,True,2.08,2.08,4.17
2023-01-01,20,长安区,平峰,True,3.15,3.15,6.31
2023-01-01,20,高新区,平峰,True,4.75,4.75,9.5
2023-01-01,20,经开区,平峰,True,2.44,2.44,4.87
2023-01-01,20,曲江新区,平峰,True,7.74,7.74,15.47
2023-01-01,21,新城区,平峰,True,5.89,5.89,11.77
2023-01-01,21,碑林区,平峰,True,8.46,8.46,16.91
2023-01-01,21,莲湖区,平峰,True,5.09,5.09,10.19
2023-01-01,21,雁塔区,平峰,True,5.23,5.23,10.47
2023-01-01,21,未央区,平峰,True,2.92,2.92,5.84
2023-01-01,21,灞桥区,平峰,True,3.54,3.54,7.07
2023-01-01,21,长安区,平峰,True,2.94,2.94,5.89
2023-01-01,21,高新区,平峰,True,3.7,3.7,7.39
2023-01-01,21,经开区,平峰,True,3.3,3.3,6.6
2023-01-01,21,曲江新区,平峰,True,4.09,4.09,8.17
2023-01-01,22,新城区,平峰,True,7.54,7.54,15.08
2023-01-01,22,碑林区,平峰,True,5.93,5.93,11.85
2023-01-01,22,莲湖区,平峰,True,5.0,5.0,10.0
2023-01-01,22,雁塔区,平峰,True,3.75,3.75,7.51
2023-01-01,22,未央区,平峰,True,3.27,3.27,6.54
2023-01-01,22,灞桥区,平峰,True,3.55,3.55,7.09
2023-01-01,22,长安区,平峰,True,4.13,4.13,8.25
2023-01-01,22,高新区,平峰,True,4.29,4.29,8.58
2023-01-01,22,经开区,平峰,True,4.0,4.0,8.0
2023-01-01,22,曲江新区,平峰,True,3.85,3.85,7.7
2023-01-01,23,新城区,平峰,True,6.81,6.81,13.63
2023-01-01,23,碑林区,平峰,True,5.44,5.44,10.89
2023-01-01,23,莲湖区,平峰,True,5.64,5.64,11.28
2023-01-01,23,雁塔区,平峰,True,5.31,5.31,10.61
2023-01-01,23,未央区,平峰,True,5.68,5.68,11.36
2023-01-01,23,灞桥区,平峰,True,4.41,4.41,8.83
2023-01-01,23,长安区,平峰,True,2.91,2.91,5.82
2023-01-01,23,高新区,平峰,True,4.35,4.35,8.71
2023-01-01,23,经开区,平峰,True,3.35,3.35,6.71
2023-01-01,23,曲江新区,平峰,True,3.63,3.63,7.27
2023-01-02,0,新城区,平峰,False,0.77,0.77,1.54
2023-01-02,0,碑林区,平峰,False,1.72,1.72,3.43
2023-01-02,0,莲湖区,平峰,False,0.79,0.79,1.57
2023-01-02,0,雁塔区,平峰,False,1.11,1.11,2.21
2023-01-02,0,未央区,平峰,False,0.76,0.76,1.52
2023-01-02,0,灞桥区,平峰,False,0.82,0.82,1.64
2023-01-02,0,长安区,平峰,False,0.9,0.9,1.8
2023-01-02,0,高新区,平峰,False,0.78,0.78,1.56
2023-01-02,0,经开区,平峰,False,0.71,0.71,1.42
2023-01-02,0,曲江新区,平峰,False,0.8,0.8,1.6
2023-01-02,1,新城区,平峰,False,1.48,1.48,2.95
2023-01-02,1,碑林区,平峰,False,1.04,1.04,2.09
2023-01-02,1,莲湖区,平峰,False,1.03,1.03,2.06
2023-01-02,1,雁塔区,平峰,False,0.89,0.89,1.79
2023-01-02,1,未央区,平峰,False,0.81,0.81,1.63
2023-01-02,1,灞桥区,平峰,False,0.69,0.69,1.39
2023-01-02,1,长安区,平峰,False,0.61,0.61,1.22
2023-01-02,1,高新区,平峰,False,0.91,0.91,1.82
2023-01-02,1,经开区,平峰,False,0.83,0.83,1.67
2023-01-02,1,曲江新区,平峰,False,0.61,0.61,1.22
2023-01-02,2,新城区,平峰,False,1.09,1.09,2.18
2023-01-02,2,碑林区,平峰,False,0.76,0.76,1.52
2023-01-02,2,莲湖区,平峰,False,1.67,1.67,3.33
2023-01-02,2,雁塔区,平峰,False,0.85,0.85,1.71
2023-01-02,2,未央区,平峰,False,0.51,0.51,1.03
2023-01-02,2,灞桥区,平峰,False,0.57,0.57,1.13
2023-01-02,2,长安区,平峰,False,0.54,0.54,1.09
2023-01-02,2,高新区,平峰,False,0.78,0.78,1.55
2023-01-02,2,经开区,平峰,False,0.65,0.65,1.29
2023-01-02,2,曲江新区,平峰,False,0.54,0.54,1.08
2023-01-02,3,新城区,平峰,False,1.23,1.23,2.47
2023-01-02,3,碑林区,平峰,False,1.17,1.17,2.34
2023-01-02,3,莲湖区,平峰,False,0.86,0.86,1.72
2023-01-02,3,雁塔区,平峰,False,0.72,0.72,1.44
2023-01-02,3,未央区,平峰,False,0.79,0.79,1.59
2023-01-02,3,灞桥区,平峰,False,0.46,0.46,0.92
2023-01-02,3,长安区,平峰,False,0.66,0.66,1.33
2023-01-02,3,高新区,平峰,False,1.06,1.06,2.13
2023-01-02,3,经开区,平峰,False,0.76,0.76,1.52
2023-01-02,3,曲江新区,平峰,False,0.7,0.7,1.39
2023-01-02,4,新城区,平峰,False,0.81,0.81,1.63
2023-01-02,4,碑林区,平峰,False,0.98,0.98,1.96
2023-01-02,4,莲湖区,平峰,False,1.21,1.21,2.42
2023-01-02,4,雁塔区,平峰,False,0.91,0.91,1.81
2023-01-02,4,未央区,平峰,False,0.63,0.63,1.26
2023-01-02,4,灞桥区,平峰,False,0.58,0.58,1.17
2023-01-02,4,长安区,平峰,False,0.66,0.66,1.33
2023-01-02,4,高新区,平峰,False,1.39,1.39,2.79
2023-01-02,4,经开区,平峰,False,0.91,0.91,1.82
2023-01-02,4,曲江新区,平峰,False,1.06,1.06,2.13
2023-01-02,5,新城区,平峰,False,0.71,0.71,1.42
2023-01-02,5,碑林区,平峰,False,0.82,0.82,1.64
2023-01-02,5,莲湖区,平峰,False,0.97,0.97,1.95
2023-01-02,5,雁塔区,平峰,False,1.27,1.27,2.54
2023-01-02,5,未央区,平峰,False,0.92,0.92,1.84
2023-01-02,5,灞桥区,平峰,False,0.65,0.65,1.29
2023-01-02,5,长安区,平峰,False,0.54,0.54,1.08
2023-01-02,5,高新区,平峰,False,0.75,0.75,1.5
2023-01-02,5,经开区,平峰,False,0.72,0.72,1.45
2023-01-02,5,曲江新区,平峰,False,1.0,1.0,1.99
2023-01-02,6,新城区,平峰,False,3.0,3.0,6.01
2023-01-02,6,碑林区,平峰,False,5.92,5.92,11.83
2023-01-02,6,莲湖区,平峰,False,4.08,4.08,8.15
2023-01-02,6,雁塔区,平峰,False,2.92,2.92,5.84
2023-01-02,6,未央区,平峰,False,3.6,3.6,7.21
2023-01-02,6,灞桥区,平峰,False,1.96,1.96,3.92
2023-01-02,6,长安区,平峰,False,2.04,2.04,4.08
2023-01-02,6,高新区,平峰,False,2.83,2.83,5.67
2023-01-02,6,经开区,平峰,False,2.69,2.69,5.37
2023-01-02,6,曲江新区,平峰,False,3.11,3.11,6.22
2023-01-02,7,新城区,早高峰,False,6.13,9.19,15.32
2023-01-02,7,碑林区,早高峰,False,7.3,10.95,18.25
2023-01-02,7,莲湖区,早高峰,False,8.44,12.67,21.11
2023-01-02,7,雁塔区,早高峰,False,9.62,14.43,24.04
2023-01-02,7,未央区,早高峰,False,8.18,12.27,20.45
2023-01-02,7,灞桥区,早高峰,False,3.45,5.17,8.62
2023-01-02,7,长安区,早高峰,False,5.37,8.05,13.41
2023-01-02,7,高新区,早高峰,False,7.34,4.89,12.23
2023-01-02,7,经开区,早高峰,False,8.16,5.44,13.59
2023-01-02,7,曲江新区,早高峰,False,5.6,8.4,13.99
2023-01-02,8,新城区,早高峰,False,8.02,12.03,20.04
2023-01-02,8,碑林区,早高峰,False,8.74,13.11,21.84
2023-01-02,8,莲湖区,早高峰,False,7.46,11.19,18.64
2023-01-02,8,雁塔区,早高峰,False,6.25,9.38,15.63
2023-01-02,8,未央区,早高峰,False,6.57,9.85,16.42
2023-01-02,8,灞桥区,早高峰,False,4.4,6.61,11.01
2023-01-02,8,长安区,早高峰,False,5.01,7.51,12.52
2023-01-02,8,高新区,早高峰,False,8.07,5.38,13.45
2023-01-02,8,经开区,早高峰,False,9.58,6.39,15.97
2023-01-02,8,曲江新区,早高峰,False,8.44,12.66,21.1
2023-01-02,9,新城区,早高峰,False,11.04,16.56,27.59
2023-01-02,9,碑林区,早高峰,False,8.15,12.22,20.37
2023-01-02,9,莲湖区,早高峰,False,8.63,12.94,21.57
2023-01-02,9,雁塔区,早高峰,False,7.24,10.86,18.1
2023-01-02,9,未央区,早高峰,False,6.52,9.78,16.31
2023-01-02,9,灞桥区,早高峰,False,5.85,8.78,14.64
2023-01-02,9,长安区,早高峰,False,7.24,10.87,18.11
2023-01-02,9,高新区,早高峰,False,10.87,7.25,18.12
2023-01-02,9,经开区,早高峰,False,7.78,5.19,12.97
2023-01-02,9,曲江新区,早高峰,False,6.63,9.94,16.56
2023-01-02,10,新城区,平峰,False,3.54,3.54,7.08
2023-01-02,10,碑林区,平峰,False,3.75,3.75,7.5
2023-01-02,10,莲湖区,平峰,False,3.36,3.36,6.73
2023-01-02,10,雁塔区,平峰,False,2.35,2.35,4.69
2023-01-02,10,未央区,平峰,False,2.02,2.02,4.04
2023-01-02,10,灞桥区,平峰,False,2.79,2.79,5.58
2023-01-02,10,长安区,平峰,False,3.5,3.5,7.01
2023-01-02,10,高新区,平峰,False,3.58,3.58,7.16
2023-01-02,10,经开区,平峰,False,3.77,3.77,7.53
2023-01-02,10,曲江新区,平峰,False,3.04,3.04,6.09
2023-01-02,11,新城区,平峰,False,3.68,3.68,7.36
2023-01-02,11,碑林区,平峰,False,3.62,3.62,7.23
2023-01-02,11,莲湖区,平峰,False,5.67,5.67,11.35
2023-01-02,11,雁塔区,平峰,False,2.49,2.49,4.98
2023-01-02,11,未央区,平峰,False,2.73,2.73,5.46
2023-01-02,11,灞桥区,平峰,False,2.19,2.19,4.37
2023-01-02,11,长安区,平峰,False,3.63,3.63,7.25
2023-01-02,11,高新区,平峰,False,2.12,2.12,4.23
2023-01-02,11,经开区,平峰,False,3.61,3.61,7.22
2023-01-02,11,曲江新区,平峰,False,3.77,3.77,7.54
2023-01-02,12,新城区,平峰,False,3.31,3.31,6.61
2023-01-02,12,碑林区,平峰,False,5.49,5.49,10.98
2023-01-02,12,莲湖区,平峰,False,5.96,5.96,11.91
2023-01-02,12,雁塔区,平峰,False,3.55,3.55,7.11
2023-01-02,12,未央区,平峰,False,3.46,3.46,6.91
2023-01-02,12,灞桥区,平峰,False,2.31,2.31,4.63
2023-01-02,12,长安区,平峰,False,2.86,2.86,5.73
2023-01-02,12,高新区,平峰,False,4.45,4.45,8.9
2023-01-02,12,经开区,平峰,False,2.82,2.82,5.64
2023-01-02,12,曲江新区,平峰,False,5.71,5.71,11.42
2023-01-02,13,新城区,平峰,False,6.25,6.25,12.51
2023-01-02,13,碑林区,平峰,False,3.9,3.9,7.8
2023-01-02,13,莲湖区,平峰,False,5.13,5.13,10.26
2023-01-02,13,雁塔区,平峰,False,3.77,3.77,7.55
2023-01-02,13,未央区,平峰,False,3.17,3.17,6.34
2023-01-02,13,灞桥区,平峰,False,2.74,2.74,5.48
2023-01-02,13,长安区,平峰,False,3.11,3.11,6.23
2023-01-02,13,高新区,平峰,False,3.09,3.09,6.19
2023-01-02,13,经开区,平峰,False,2.36,2.36,4.72
2023-01-02,13,曲江新区,平峰,False,3.45,3.45,6.9
2023-01-02,14,新城区,平峰,False,3.18,3.18,6.37
2023-01-02,14,碑林区,平峰,False,4.24,4.24,8.48
2023-01-02,14,莲湖区,平峰,False,3.18,3.18,6.35
2023-01-02,14,雁塔区,平峰,False,2.03,2.03,4.06
2023-01-02,14,未央区,平峰,False,2.77,2.77,5.53
2023-01-02,14,灞桥区,平峰,False,3.03,3.03,6.06
2023-01-02,14,长安区,平峰,False,2.58,2.58,5.16
2023-01-02,14,高新区,平峰,False,3.51,3.51,7.02
2023-01-02,14,经开区,平峰,False,1.85,1.85,3.71
2023-01-02,14,曲江新区,平峰,False,2.81,2.81,5.61
2023-01-02,15,新城区,平峰,False,4.15,4.15,8.3
2023-01-02,15,碑林区,平峰,False,5.84,5.84,11.68
2023-01-02,15,莲湖区,平峰,False,2.53,2.53,5.05
2023-01-02,15,雁塔区,平峰,False,4.6,4.6,9.2
2023-01-02,15,未央区,平峰,False,3.26,3.26,6.52
2023-01-02,15,灞桥区,平峰,False,2.61,2.61,5.22
2023-01-02,15,长安区,平峰,False,2.34,2.34,4.68
2023-01-02,15,高新区,平峰,False,3.22,3.22,6.44
2023-01-02,15,经开区,平峰,False,3.1,3.1,6.2
2023-01-02,15,曲江新区,平峰,False,2.91,2.91,5.82
2023-01-02,16,新城区,平峰,False,3.01,3.01,6.02
2023-01-02,16,碑林区,平峰,False,6.43,6.43,12.86
2023-01-02,16,莲湖区,平峰,False,3.88,3.88,7.76
2023-01-02,16,雁塔区,平峰,False,1.97,1.97,3.94
2023-01-02,16,未央区,平峰,False,3.22,3.22,6.44
2023-01-02,16,灞桥区,平峰,False,1.83,1.83,3.67
2023-01-02,16,长安区,平峰,False,2.44,2.44,4.88
2023-01-02,16,高新区,平峰,False,3.29,3.29,6.58
2023-01-02,16,经开区,平峰,False,2.99,2.99,5.98
2023-01-02,16,曲江新区,平峰,False,3.99,3.99,7.97
2023-01-02,17,新城区,晚高峰,False,8.22,5.48,13.69
2023-01-02,17,碑林区,晚高峰,False,13.54,9.03,22.56
2023-01-02,17,莲湖区,晚高峰,False,10.32,6.88,17.21
2023-01-02,17,雁塔区,晚高峰,False,8.31,5.54,13.84
2023-01-02,17,未央区,晚高峰,False,7.01,4.68,11.69
2023-01-02,17,灞桥区,晚高峰,False,6.31,4.21,10.52
2023-01-02,17,长安区,晚高峰,False,5.0,3.34,8.34
2023-01-02,17,高新区,晚高峰,False,5.08,7.61,12.69
2023-01-02,17,经开区,晚高峰,False,4.88,7.33,12.21
2023-01-02,17,曲江新区,晚高峰,False,5.56,3.71,9.27
2023-01-02,18,新城区,晚高峰,False,8.14,5.42,13.56
2023-01-02,18,碑林区,晚高峰,False,7.88,5.26,13.14
2023-01-02,18,莲湖区,晚高峰,False,6.92,4.61,11.53
2023-01-02,18,雁塔区,晚高峰,False,7.47,4.98,12.45
2023-01-02,18,未央区,晚高峰,False,5.96,3.97,9.94
2023-01-02,18,灞桥区,晚高峰,False,5.47,3.65,9.12
2023-01-02,18,长安区,晚高峰,False,5.57,3.71,9.29
2023-01-02,18,高新区,晚高峰,False,3.57,5.36,8.94
2023-01-02,18,经开区,晚高峰,False,4.43,6.65,11.08
2023-01-02,18,曲江新区,晚高峰,False,8.2,5.46,13.66
2023-01-02,19,新城区,晚高峰,False,8.52,5.68,14.2
