district,entity_type,facility_area,enterprise_count,occupancy_rate,service_types,project_field,total_funding,success_rate,patent_applications,talent_count,industry_cooperation,annual_events,govt_support,establishment_date
碑林区,众创空间,4369.63,20,0.92,"['联合办公', '创业培训']",电子商务,17021.15,0.25,16,97,15,10,839.57,2020-12-13
雁塔区,众创空间,1029.2,10,0.7,"['创业培训', '资源对接', '联合办公']",智能制造,45555.8,0.32,15,40,7,9,297.36,2019-07-17
雁塔区,众创空间,2483.78,31,0.82,"['资源对接', '联合办公', '创业培训']",人工智能,66794.27,0.32,28,113,13,16,721.4,2023-10-13
莲湖区,科技园区,194665.7,253,0.75,"['研发支持', '知识产权', '人才服务']",人工智能,954243.33,0.16,462,1512,13,12,320.69,2020-07-20
高新区,科技园区,102102.19,250,0.69,"['产业集群', '研发支持', '人才服务']",电子商务,414911.47,0.47,253,1875,12,12,688.38,2020-11-05
经开区,孵化器,6914.17,73,0.9,"['场地服务', '创业辅导', '政策咨询', '投融资服务']",生物医药,448583.27,0.3,97,544,15,22,426.84,2022-09-26
碑林区,众创空间,2009.27,41,0.83,"['联合办公', '资源对接']",文创设计,21267.26,0.23,77,266,20,7,675.3,2019-09-01
高新区,科技园区,108497.34,158,0.9,"['产业集群', '知识产权', '研发支持']",新能源,568355.58,0.43,270,701,19,10,944.22,2019-06-17
长安区,孵化器,9477.72,80,0.62,"['创业辅导', '政策咨询']",人工智能,198778.74,0.34,80,343,14,5,990.85,2020-12-11
高新区,科技园区,198076.39,499,0.64,"['人才服务', '知识产权']",电子商务,963672.24,0.47,781,2582,20,9,940.75,2019-10-10
经开区,科技园区,89995.87,185,0.63,"['人才服务', '研发支持', '产业集群', '知识产权']",文创设计,190844.22,0.38,332,698,11,18,201.63,2022-04-02
经开区,孵化器,11936.39,97,0.84,"['创业辅导', '投融资服务', '场地服务']",生物医药,170192.88,0.3,85,758,15,15,511.03,2019-08-09
高新区,科技园区,135220.87,284,0.71,"['知识产权', '人才服务', '研发支持', '产业集群']",电子商务,281822.45,0.47,186,2009,20,17,641.8,2020-11-24
经开区,孵化器,7158.81,85,0.72,"['投融资服务', '政策咨询', '场地服务']",电子商务,86840.36,0.42,112,454,12,12,863.15,2019-12-08
长安区,科技园区,185002.67,434,0.7,"['人才服务', '产业集群']",电子商务,1299620.76,0.42,702,2712,15,21,238.64,2021-11-05
经开区,科技园区,155508.91,281,0.75,"['知识产权', '研发支持']",智能制造,1340086.37,0.34,218,1796,6,20,573.39,2023-06-05
经开区,孵化器,9534.23,48,0.76,"['创业辅导', '投融资服务']",文创设计,92475.47,0.38,71,271,10,14,373.05,2023-10-14
经开区,孵化器,16355.42,86,0.62,"['场地服务', '政策咨询', '投融资服务', '创业辅导']",新能源,220632.47,0.38,92,404,12,8,469.64,2019-04-10
雁塔区,科技园区,165918.54,413,0.8,"['研发支持', '产业集群']",新能源,563882.25,0.36,485,2072,5,14,872.37,2021-05-29
灞桥区,众创空间,4191.52,36,0.62,"['资源对接', '联合办公']",人工智能,164017.9,0.2,24,125,9,7,230.31,2019-02-13
高新区,孵化器,11215.09,96,0.75,"['政策咨询', '投融资服务', '场地服务', '创业辅导']",人工智能,332367.2,0.38,190,711,15,21,257.89,2020-10-07
经开区,孵化器,12067.9,60,0.74,"['投融资服务', '政策咨询']",文创设计,34893.39,0.38,85,443,20,18,425.43,2019-01-14
新城区,众创空间,2965.26,13,0.67,"['创业培训', '资源对接']",智能制造,68797.86,0.16,6,49,14,9,113.83,2020-12-21
长安区,科技园区,171839.07,296,0.91,"['研发支持', '产业集群']",人工智能,823616.44,0.34,174,1127,17,12,781.74,2020-09-06
长安区,科技园区,147071.31,430,0.77,"['产业集群', '研发支持', '人才服务']",智能制造,2698502.65,0.34,470,3361,20,4,522.99,2020-01-21
碑林区,众创空间,4832.93,16,0.74,"['联合办公', '资源对接']",新能源,53901.04,0.23,32,48,15,12,873.3,2023-07-06
经开区,孵化器,18362.18,99,0.68,"['投融资服务', '政策咨询', '场地服务', '创业辅导']",文创设计,46642.13,0.38,196,346,20,10,904.74,2022-07-06
高新区,科技园区,188310.93,120,0.68,"['研发支持', '人才服务', '知识产权']",智能制造,390716.3,0.38,175,400,13,9,560.96,2019-06-11
高新区,科技园区,70989.42,372,0.9,"['人才服务', '产业集群', '研发支持']",新能源,916449.81,0.43,666,1369,16,5,107.99,2022-01-22
碑林区,众创空间,2205.58,37,0.72,"['创业培训', '联合办公']",新能源,72964.85,0.23,37,189,17,22,580.94,2022-04-07
经开区,孵化器,6795.5,98,0.78,"['投融资服务', '创业辅导', '政策咨询']",生物医药,613344.31,0.3,136,673,15,20,867.89,2021-12-18
莲湖区,孵化器,5022.59,38,0.68,"['政策咨询', '场地服务']",新能源,32670.87,0.18,53,238,6,7,340.1,2022-07-23
长安区,科技园区,190763.19,320,0.76,"['研发支持', '人才服务']",文创设计,181556.23,0.38,330,1803,6,10,547.81,2020-11-16
雁塔区,众创空间,3032.88,37,0.81,"['创业培训', '资源对接']",智能制造,331834.69,0.32,34,295,11,10,134.02,2021-05-28
新城区,众创空间,3761.69,46,0.64,"['创业培训', '联合办公', '资源对接']",人工智能,74076.12,0.16,68,161,17,17,182.28,2020-03-12
经开区,科技园区,61125.78,356,0.77,"['研发支持', '产业集群', '人才服务', '知识产权']",新能源,1295819.56,0.38,343,2374,6,14,892.63,2022-03-10
曲江新区,孵化器,6379.05,36,0.82,"['创业辅导', '政策咨询']",电子商务,29364.73,0.38,42,268,19,7,286.89,2021-10-10
新城区,众创空间,3328.49,13,0.84,"['创业培训', '联合办公']",生物医药,16838.08,0.14,17,57,17,23,431.91,2019-09-15
雁塔区,众创空间,1245.23,33,0.67,"['资源对接', '创业培训']",生物医药,124236.86,0.28,18,182,8,18,441.1,2022-06-22
雁塔区,众创空间,4627.04,41,0.92,"['联合办公', '资源对接']",智能制造,331761.5,0.32,66,272,14,13,575.31,2021-01-18
高新区,孵化器,19085.59,36,0.8,"['场地服务', '创业辅导', '投融资服务', '政策咨询']",生物医药,233804.99,0.33,38,233,14,22,820.9,2023-01-25
曲江新区,众创空间,4906.25,49,0.82,"['资源对接', '联合办公', '创业培训']",人工智能,235679.15,0.3,59,161,19,10,611.94,2019-11-06
雁塔区,科技园区,106107.24,444,0.7,"['研发支持', '人才服务', '知识产权']",人工智能,1063862.47,0.32,609,2759,13,14,773.31,2019-04-12
曲江新区,孵化器,11783.47,69,0.7,"['政策咨询', '投融资服务', '场地服务', '创业辅导']",智能制造,487928.36,0.3,123,445,15,20,704.02,2020-09-02
长安区,科技园区,187920.51,396,0.69,"['知识产权', '产业集群', '研发支持', '人才服务']",新能源,681473.33,0.38,376,1535,20,8,164.74,2023-11-04
长安区,科技园区,73439.07,281,0.88,"['人才服务', '研发支持']",文创设计,499785.83,0.38,419,1624,18,24,743.02,2020-08-07
经开区,科技园区,141262.59,168,0.82,"['人才服务', '知识产权']",生物医药,1001497.7,0.3,186,766,10,6,776.11,2020-04-28
新城区,众创空间,3225.52,32,0.85,"['联合办公', '创业培训', '资源对接']",电子商务,49869.22,0.2,31,207,5,18,234.5,2019-04-24
曲江新区,孵化器,9232.73,93,0.82,"['创业辅导', '政策咨询', '投融资服务']",电子商务,257973.94,0.38,158,574,10,14,144.19,2021-06-18
高新区,科技园区,147504.34,128,0.78,"['研发支持', '产业集群', '知识产权']",生物医药,876826.57,0.33,77,530,5,6,543.71,2019-09-15
碑林区,众创空间,4304.39,17,0.94,"['资源对接', '联合办公', '创业培训']",文创设计,23143.7,0.23,12,135,17,10,878.81,2023-11-07
高新区,孵化器,14778.6,95,0.67,"['创业辅导', '场地服务']",人工智能,248804.04,0.38,55,308,17,21,409.37,2023-09-19
雁塔区,众创空间,1962.07,15,0.63,"['资源对接', '创业培训', '联合办公']",人工智能,50860.04,0.32,9,114,13,12,464.43,2020-11-15
经开区,科技园区,147550.22,318,0.78,"['产业集群', '知识产权', '人才服务', '研发支持']",生物医药,934625.02,0.3,587,2407,10,15,388.91,2023-10-26
经开区,科技园区,121813.56,105,0.89,"['研发支持', '产业集群']",文创设计,133929.45,0.38,139,392,19,16,934.76,2022-11-16
经开区,孵化器,17835.32,33,0.6,"['政策咨询', '投融资服务', '场地服务']",人工智能,101205.25,0.34,46,99,20,14,514.13,2020-03-18
新城区,众创空间,2236.09,24,0.85,"['资源对接', '创业培训']",新能源,86530.68,0.18,46,89,6,13,142.75,2022-04-07
新城区,众创空间,4339.39,26,0.67,"['资源对接', '联合办公']",新能源,122209.1,0.18,30,131,15,14,180.11,2020-12-08
长安区,科技园区,195696.83,102,0.74,"['产业集群', '研发支持', '人才服务']",新能源,397270.62,0.38,77,452,14,16,588.58,2023-11-18
曲江新区,孵化器,5238.79,96,0.62,"['创业辅导', '投融资服务', '场地服务']",文创设计,38452.26,0.34,50,505,15,14,331.15,2023-02-10
长安区,科技园区,126493.5,308,0.62,"['研发支持', '知识产权', '人才服务']",生物医药,2451751.84,0.3,260,1836,6,14,700.2,2020-01-30
碑林区,众创空间,2850.05,49,0.72,"['联合办公', '资源对接']",智能制造,404500.76,0.2,44,314,11,4,937.55,2023-07-05
曲江新区,孵化器,9120.5,77,0.77,"['创业辅导', '政策咨询', '投融资服务', '场地服务']",电子商务,101674.6,0.38,146,434,16,18,240.8,2023-07-27
高新区,孵化器,15375.86,87,0.73,"['创业辅导', '政策咨询', '场地服务', '投融资服务']",人工智能,227184.83,0.38,50,409,16,5,327.29,2022-08-08
高新区,科技园区,129987.15,379,0.89,"['知识产权', '研发支持', '人才服务']",电子商务,564656.23,0.47,607,1339,20,11,391.33,2023-05-24
高新区,孵化器,15442.76,98,0.92,"['政策咨询', '创业辅导', '场地服务']",智能制造,236009.43,0.38,104,612,11,14,111.34,2021-09-16
高新区,孵化器,15928.84,60,0.94,"['政策咨询', '场地服务']",生物医药,293601.77,0.33,61,222,15,13,600.89,2021-01-19
碑林区,众创空间,1829.76,27,0.77,"['创业培训', '资源对接']",新能源,87847.64,0.23,42,110,12,4,107.54,2021-11-11
长安区,众创空间,1422.98,24,0.71,"['创业培训', '资源对接', '联合办公']",智能制造,148733.44,0.34,34,142,20,6,795.7,2019-03-14
碑林区,众创空间,1249.17,13,0.65,"['资源对接', '创业培训', '联合办公']",文创设计,14844.04,0.23,26,100,18,16,280.54,2022-10-18
长安区,科技园区,94833.84,413,0.65,"['知识产权', '产业集群', '研发支持']",新能源,2292230.38,0.38,786,1943,6,18,419.93,2023-11-04
经开区,孵化器,13897.73,95,0.92,"['场地服务', '政策咨询']",人工智能,180403.69,0.34,58,290,9,16,143.18,2021-10-27
碑林区,众创空间,4258.83,45,0.78,"['创业培训', '联合办公']",电子商务,125242.47,0.25,76,212,16,12,987.61,2021-09-02
高新区,科技园区,97133.72,208,0.7,"['人才服务', '知识产权', '产业集群', '研发支持']",新能源,939969.25,0.43,179,1148,14,10,900.97,2023-02-03
曲江新区,孵化器,19165.73,49,0.88,"['投融资服务', '政策咨询', '创业辅导']",文创设计,54941.22,0.34,43,333,11,9,975.19,2022-06-30
经开区,科技园区,157760.79,103,0.68,"['人才服务', '产业集群', '研发支持', '知识产权']",文创设计,131646.4,0.38,203,713,12,7,121.57,2020-01-15
长安区,科技园区,81545.04,112,0.92,"['人才服务', '产业集群']",文创设计,114246.52,0.38,172,756,12,13,251.28,2023-01-08
高新区,孵化器,8283.71,78,0.62,"['政策咨询', '场地服务']",电子商务,133103.5,0.47,142,332,20,14,696.53,2021-11-27
雁塔区,众创空间,3064.47,25,0.94,"['创业培训', '资源对接']",人工智能,64865.85,0.32,15,134,9,4,377.32,2023-04-29
新城区,众创空间,1960.88,29,0.65,"['联合办公', '资源对接', '创业培训']",新能源,23536.16,0.18,40,186,15,4,461.47,2020-06-01
碑林区,众创空间,1692.82,13,0.92,"['资源对接', '联合办公', '创业培训']",人工智能,39070.23,0.2,23,85,14,5,766.96,2020-11-25
新城区,众创空间,1111.82,45,0.94,"['资源对接', '联合办公', '创业培训']",人工智能,65469.85,0.16,25,318,6,16,688.34,2022-07-05
新城区,众创空间,1315.62,29,0.84,"['联合办公', '创业培训']",智能制造,236232.08,0.16,14,122,20,7,489.25,2023-10-14
高新区,孵化器,9743.99,84,0.68,"['投融资服务', '创业辅导']",智能制造,566355.48,0.38,88,465,7,14,608.67,2020-03-07
雁塔区,众创空间,1344.0,50,0.63,"['资源对接', '创业培训', '联合办公']",人工智能,103253.96,0.32,82,238,11,7,688.47,2023-04-02
曲江新区,孵化器,13076.78,43,0.7,"['创业辅导', '投融资服务']",文创设计,48505.98,0.34,84,141,20,8,562.51,2020-10-13
高新区,孵化器,11966.86,80,0.63,"['创业辅导', '政策咨询', '场地服务']",生物医药,589977.08,0.33,64,573,13,15,882.41,2023-10-02
新城区,众创空间,2139.69,38,0.72,"['资源对接', '联合办公', '创业培训']",文创设计,72307.46,0.18,32,177,17,18,373.1,2020-10-30
经开区,孵化器,7279.71,39,0.88,"['创业辅导', '政策咨询', '场地服务']",人工智能,104210.98,0.34,27,162,12,14,392.53,2023-06-29
雁塔区,众创空间,1274.63,36,0.77,"['联合办公', '资源对接']",文创设计,53073.61,0.36,66,137,5,16,767.32,2022-02-14
高新区,科技园区,63846.9,356,0.79,"['研发支持', '产业集群', '知识产权', '人才服务']",电子商务,697354.17,0.47,220,2339,9,22,435.42,2022-02-26
高新区,科技园区,177194.51,323,0.65,"['研发支持', '产业集群']",生物医药,1634957.83,0.33,438,1604,18,23,137.39,2022-03-01
新城区,众创空间,1134.14,36,0.69,"['资源对接', '联合办公', '创业培训']",人工智能,65813.39,0.16,45,182,17,20,121.28,2023-12-05
曲江新区,孵化器,12497.76,53,0.71,"['创业辅导', '政策咨询', '场地服务', '投融资服务']",生物医药,107145.04,0.26,80,246,6,23,285.74,2023-05-26
新城区,众创空间,2749.51,15,0.6,"['联合办公', '创业培训', '资源对接']",生物医药,26189.36,0.14,23,86,14,4,695.49,2020-03-17
经开区,孵化器,9540.3,52,0.72,"['场地服务', '创业辅导']",智能制造,429540.73,0.34,44,165,6,14,797.5,2020-11-24
灞桥区,孵化器,9854.33,44,0.66,"['政策咨询', '创业辅导', '场地服务']",文创设计,56126.14,0.23,37,267,10,18,936.12,2022-06-27
高新区,科技园区,197706.76,127,0.88,"['产业集群', '知识产权', '人才服务']",文创设计,40211.2,0.43,120,459,6,12,296.27,2019-01-17
高新区,孵化器,7787.75,51,0.64,"['场地服务', '创业辅导', '投融资服务', '政策咨询']",人工智能,123963.13,0.38,47,228,7,15,479.43,2020-10-05
长安区,科技园区,56455.4,153,0.6,"['人才服务', '知识产权', '产业集群']",文创设计,226752.3,0.38,112,631,12,19,528.74,2019-01-01
经开区,孵化器,14544.06,96,0.66,"['投融资服务', '创业辅导', '政策咨询', '场地服务']",电子商务,154905.74,0.42,172,554,20,15,343.55,2023-05-01
雁塔区,众创空间,1165.62,22,0.88,"['资源对接', '联合办公']",新能源,105317.67,0.36,30,107,20,19,596.79,2021-06-10
碑林区,众创空间,4150.6,49,0.86,"['创业培训', '联合办公', '资源对接']",电子商务,39130.71,0.25,32,388,13,21,682.76,2021-07-19
新城区,科技园区,192028.11,426,0.9,"['知识产权', '人才服务']",人工智能,1517752.39,0.16,540,3040,12,17,301.06,2023-05-10
高新区,孵化器,8180.47,35,0.76,"['政策咨询', '场地服务', '投融资服务']",人工智能,115243.17,0.38,54,265,11,8,185.91,2019-04-08
高新区,孵化器,10969.12,58,0.65,"['创业辅导', '场地服务', '政策咨询']",文创设计,11740.23,0.43,48,430,5,4,936.18,2022-11-18
长安区,科技园区,139046.66,475,0.82,"['产业集群', '知识产权']",电子商务,1028760.75,0.42,490,2004,12,11,925.97,2020-08-15
碑林区,众创空间,4388.41,31,0.94,"['资源对接', '创业培训']",电子商务,42722.22,0.25,62,103,7,4,845.06,2020-04-20
曲江新区,孵化器,14408.02,67,0.67,"['场地服务', '政策咨询', '投融资服务', '创业辅导']",人工智能,179988.83,0.3,98,272,20,13,165.22,2021-07-18
碑林区,众创空间,4602.18,36,0.87,"['资源对接', '联合办公']",人工智能,44744.54,0.2,22,192,11,23,419.25,2019-03-14
经开区,孵化器,19060.0,51,0.78,"['场地服务', '投融资服务']",新能源,277297.33,0.38,64,203,15,17,697.46,2019-06-29
长安区,科技园区,183918.19,224,0.66,"['研发支持', '产业集群']",电子商务,587994.32,0.42,415,1461,6,23,971.44,2019-11-24
高新区,孵化器,12078.43,70,0.77,"['投融资服务', '创业辅导']",生物医药,419536.53,0.33,78,344,8,12,380.75,2019-09-28
高新区,孵化器,14416.01,69,0.67,"['创业辅导', '政策咨询']",电子商务,25918.29,0.47,42,450,14,5,702.12,2023-01-21
新城区,众创空间,3704.39,28,0.92,"['联合办公', '资源对接']",智能制造,170705.57,0.16,41,145,8,13,820.68,2021-06-07
雁塔区,众创空间,2303.92,22,0.6,"['联合办公', '创业培训']",文创设计,41467.08,0.36,17,126,18,23,258.13,2023-12-27
高新区,孵化器,14576.56,52,0.82,"['场地服务', '政策咨询', '创业辅导']",电子商务,54025.26,0.47,84,341,6,9,445.81,2022-05-21
曲江新区,众创空间,4720.3,31,0.78,"['创业培训', '联合办公', '资源对接']",文创设计,38756.03,0.34,29,163,12,24,494.81,2022-11-20
长安区,科技园区,191619.15,359,0.75,"['知识产权', '人才服务', '研发支持']",电子商务,924383.76,0.42,448,2453,11,5,193.44,2019-11-20
雁塔区,众创空间,1925.57,16,0.83,"['联合办公', '创业培训']",智能制造,133002.6,0.32,20,77,13,6,593.91,2021-02-18
新城区,众创空间,2676.5,14,0.78,"['创业培训', '资源对接']",电子商务,13881.55,0.2,19,92,13,14,444.27,2021-03-17
经开区,孵化器,16328.44,91,0.69,"['场地服务', '政策咨询', '投融资服务']",生物医药,258439.77,0.3,160,591,12,15,892.25,2021-11-28
高新区,科技园区,74230.55,471,0.74,"['研发支持', '知识产权', '人才服务', '产业集群']",生物医药,2766997.64,0.33,738,3302,12,11,756.32,2021-12-25
高新区,科技园区,143251.63,200,0.75,"['知识产权', '产业集群', '研发支持', '人才服务']",文创设计,195414.67,0.43,398,1466,15,7,859.7,2020-03-24
碑林区,众创空间,3113.49,23,0.77,"['联合办公', '创业培训', '资源对接']",新能源,93683.44,0.23,26,96,7,11,865.85,2020-03-08
曲江新区,孵化器,18528.45,57,0.77,"['创业辅导', '政策咨询', '投融资服务', '场地服务']",智能制造,213285.76,0.3,56,411,17,23,100.86,2019-11-09
灞桥区,众创空间,3751.94,19,0.94,"['创业培训', '资源对接', '联合办公']",文创设计,30004.45,0.23,35,131,19,4,575.85,2020-08-21
新城区,众创空间,2760.43,45,0.6,"['联合办公', '资源对接', '创业培训']",人工智能,63794.37,0.16,61,233,20,6,822.9,2020-07-02
雁塔区,众创空间,2172.25,16,0.77,"['创业培训', '联合办公', '资源对接']",生物医药,41428.51,0.28,21,112,11,5,356.5,2020-04-01
新城区,众创空间,4173.47,46,0.8,"['资源对接', '联合办公', '创业培训']",新能源,119742.17,0.18,60,280,11,6,723.42,2019-10-27
曲江新区,孵化器,10320.78,38,0.6,"['场地服务', '投融资服务', '创业辅导']",智能制造,181964.39,0.3,68,195,8,12,228.64,2020-03-05
新城区,众创空间,3531.35,31,0.68,"['创业培训', '联合办公', '资源对接']",电子商务,70054.32,0.2,62,231,5,19,519.67,2021-09-15
经开区,孵化器,10471.0,83,0.84,"['创业辅导', '投融资服务', '场地服务', '政策咨询']",新能源,482571.44,0.38,129,635,10,23,710.35,2023-05-25
长安区,科技园区,162842.06,410,0.86,"['人才服务', '研发支持', '产业集群']",智能制造,2274729.77,0.34,564,1458,6,16,273.19,2019-02-21
新城区,众创空间,4477.85,44,0.88,"['资源对接', '创业培训']",文创设计,67312.42,0.18,49,345,16,23,515.0,2023-05-08
未央区,孵化器,12934.23,32,0.68,"['投融资服务', '场地服务', '创业辅导', '政策咨询']",文创设计,13237.63,0.32,40,227,16,23,838.67,2019-11-14
经开区,科技园区,171891.08,180,0.68,"['研发支持', '产业集群', '人才服务', '知识产权']",生物医药,561625.78,0.3,153,1007,6,13,996.98,2020-05-21
雁塔区,科技园区,59772.75,344,0.65,"['知识产权', '研发支持']",智能制造,3125378.66,0.32,437,1354,18,14,414.35,2019-11-21
雁塔区,众创空间,1434.93,16,0.68,"['创业培训', '联合办公']",新能源,91570.39,0.36,26,68,19,8,168.9,2023-03-30
经开区,孵化器,19589.13,81,0.69,"['投融资服务', '政策咨询', '场地服务', '创业辅导']",新能源,347263.5,0.38,162,363,9,18,581.15,2019-06-25
长安区,科技园区,113320.62,448,0.85,"['产业集群', '人才服务', '知识产权']",智能制造,723621.11,0.34,427,2440,8,23,240.24,2022-11-23
高新区,孵化器,10060.03,92,0.64,"['场地服务', '政策咨询']",人工智能,456260.2,0.38,132,634,20,22,155.65,2022-09-03
新城区,众创空间,4532.77,27,0.74,"['联合办公', '创业培训', '资源对接']",生物医药,146438.41,0.14,47,132,20,21,952.98,2023-09-11
高新区,孵化器,9942.02,76,0.68,"['投融资服务', '场地服务']",文创设计,39138.11,0.43,47,276,6,21,177.57,2021-02-27
新城区,众创空间,4754.95,33,0.73,"['资源对接', '创业培训']",智能制造,42681.93,0.16,21,143,17,6,890.6,2022-03-02
未央区,孵化器,11689.01,94,0.87,"['场地服务', '政策咨询', '投融资服务']",文创设计,83803.51,0.32,66,306,5,21,438.42,2019-09-02
经开区,孵化器,15125.33,98,0.7,"['场地服务', '投融资服务']",智能制造,552756.62,0.34,92,549,19,19,863.02,2022-02-12
长安区,科技园区,102398.07,256,0.92,"['产业集群', '人才服务']",生物医药,1301511.19,0.3,144,842,18,11,521.57,2022-07-23
碑林区,众创空间,4441.94,44,0.82,"['联合办公', '创业培训', '资源对接']",智能制造,48528.84,0.2,41,178,7,11,723.21,2023-09-17
高新区,孵化器,6441.75,69,0.93,"['投融资服务', '创业辅导', '场地服务']",新能源,298609.93,0.43,85,352,13,15,270.37,2020-05-27
长安区,科技园区,112004.66,463,0.68,"['人才服务', '产业集群', '研发支持']",新能源,2625976.73,0.38,386,2297,6,11,185.14,2023-07-06
长安区,科技园区,139224.8,409,0.82,"['研发支持', '人才服务']",人工智能,722273.23,0.34,252,2551,15,19,375.56,2022-07-01
经开区,科技园区,170997.67,463,0.72,"['知识产权', '研发支持']",生物医药,723610.39,0.3,446,1756,11,20,606.41,2022-02-22
长安区,众创空间,2473.72,16,0.73,"['创业培训', '资源对接', '联合办公']",智能制造,77407.18,0.34,22,61,12,5,746.28,2020-08-16
经开区,科技园区,185199.1,410,0.91,"['知识产权', '研发支持', '人才服务', '产业集群']",新能源,717135.44,0.38,498,3250,10,17,302.57,2020-06-08
经开区,科技园区,171481.99,285,0.79,"['产业集群', '知识产权', '人才服务', '研发支持']",生物医药,1115064.86,0.3,524,1962,6,22,361.12,2023-12-19
新城区,众创空间,3235.81,40,0.72,"['联合办公', '创业培训']",电子商务,42113.61,0.2,38,158,8,6,996.27,2021-04-26
长安区,科技园区,138708.08,211,0.62,"['知识产权', '研发支持', '产业集群']",人工智能,137763.3,0.34,398,1452,19,12,907.43,2022-05-02
高新区,孵化器,15269.77,37,0.92,"['场地服务', '政策咨询', '投融资服务']",智能制造,121904.19,0.38,27,243,13,9,737.03,2022-11-10
未央区,孵化器,17009.52,97,0.88,"['创业辅导', '场地服务']",电子商务,276699.63,0.35,151,408,12,5,827.24,2020-05-16
未央区,众创空间,3084.45,11,0.86,"['资源对接', '创业培训']",电子商务,7679.97,0.35,7,48,12,9,935.19,2023-07-02
高新区,孵化器,16558.62,43,0.75,"['投融资服务', '场地服务']",智能制造,201075.52,0.38,26,178,19,14,921.73,2023-05-16
经开区,孵化器,6686.19,94,0.85,"['创业辅导', '政策咨询', '投融资服务', '场地服务']",人工智能,298923.75,0.34,169,563,12,22,610.58,2019-08-28
长安区,科技园区,75360.85,332,0.95,"['知识产权', '产业集群', '研发支持']",文创设计,220659.83,0.38,563,2034,17,12,276.84,2021-05-19
经开区,科技园区,102688.05,359,0.63,"['研发支持', '产业集群']",文创设计,697189.34,0.38,439,2326,20,4,149.83,2023-11-19
新城区,众创空间,4773.04,17,0.75,"['创业培训', '联合办公']",电子商务,6734.8,0.2,11,82,20,5,521.52,2019-08-14
曲江新区,孵化器,14574.53,96,0.61,"['投融资服务', '场地服务', '创业辅导', '政策咨询']",文创设计,108103.02,0.34,100,431,6,17,341.62,2021-09-06
碑林区,众创空间,1442.42,16,0.76,"['创业培训', '资源对接', '联合办公']",生物医药,85701.67,0.17,13,127,16,14,842.08,2019-01-17
莲湖区,科技园区,134933.16,451,0.65,"['产业集群', '知识产权', '研发支持', '人才服务']",人工智能,940572.79,0.16,797,1513,19,23,658.92,2019-01-26
