date,district,station,PM2.5,PM10,SO2,NO2,CO,O3,AQI,noise_level,area_type,water_quality,green_coverage,waste_treatment_rate,sewage_treatment_rate
2023-01-08,雁塔区,大雁塔站,27.76,50.54,14.57,23.72,1.12,64.75,45,79.4,交通干线,I类,0.45,0.972,0.978
2023-01-08,雁塔区,小雁塔站,51.33,61.7,27.99,47.59,1.12,106.89,77,72.6,工业区,II类,0.45,0.963,0.947
2023-01-08,未央区,未央宫站,42.53,119.24,10.6,22.78,2.49,100.12,100,70.0,交通干线,I类,0.41,0.963,0.968
2023-01-08,未央区,开发区站,27.03,113.45,32.21,52.32,1.4,76.53,91,57.2,商业区,III类,0.41,0.964,0.966
2023-01-08,灞桥区,灞桥站,56.86,68.14,9.27,59.07,1.2,137.83,85,62.0,商业区,II类,0.43,0.962,0.976
2023-01-08,灞桥区,纺织城站,37.98,80.26,16.71,75.62,0.62,56.7,91,55.0,商业区,III类,0.43,0.971,0.973
2023-01-08,长安区,郭杜站,40.94,150.4,6.43,47.88,1.94,85.21,120,79.9,交通干线,V类,0.48,0.953,0.952
2023-01-08,长安区,大学城站,63.2,112.19,40.77,78.17,1.17,48.54,95,47.1,居住区,III类,0.48,0.971,0.968
2023-01-08,高新区,科技路站,74.22,49.62,16.88,70.09,2.7,106.95,111,55.2,居住区,III类,0.42,0.952,0.973
2023-01-08,高新区,高新西站,56.67,103.06,25.29,50.37,2.39,143.85,96,63.2,商业区,III类,0.42,0.967,0.975
2023-01-08,高新区,丈八站,54.88,61.69,36.01,43.09,0.95,175.0,105,70.9,工业区,V类,0.42,0.973,0.962
2023-01-08,经开区,经开站,69.38,118.78,25.88,78.59,2.43,140.35,104,46.7,居住区,IV类,0.4,0.979,0.965
2023-01-08,经开区,浐灞站,73.24,68.91,22.51,72.92,2.28,97.9,110,67.5,工业区,V类,0.4,0.981,0.974
2023-01-08,曲江新区,曲江站,25.78,72.17,13.27,66.91,2.63,55.06,105,65.2,交通干线,III类,0.5,0.962,0.943
2023-01-08,曲江新区,芙蓉园站,29.35,159.81,19.26,54.33,1.46,106.78,128,69.6,交通干线,IV类,0.5,0.986,0.954
2023-01-09,新城区,民乐站,28.34,139.4,18.29,100.18,3.63,231.5,145,67.6,工业区,II类,0.4,0.975,0.954
2023-01-09,新城区,长乐站,103.13,220.96,25.27,68.23,2.96,221.2,177,69.0,商业区,V类,0.4,0.986,0.972
2023-01-09,碑林区,小寨站,60.88,89.84,9.8,45.65,2.97,146.71,119,71.4,工业区,I类,0.38,0.957,0.957
2023-01-09,碑林区,文艺路站,35.16,100.04,36.48,32.31,2.82,164.98,113,76.0,交通干线,II类,0.38,0.956,0.945
2023-01-09,莲湖区,北院门站,29.66,79.52,32.55,108.38,3.52,66.46,141,69.3,交通干线,I类,0.35,0.954,0.95
2023-01-09,莲湖区,红庙坡站,110.13,76.81,49.59,79.32,2.52,191.39,165,61.6,商业区,V类,0.35,0.953,0.955
2023-01-09,雁塔区,大雁塔站,35.55,98.2,38.4,41.98,1.38,194.11,116,55.9,居住区,IV类,0.45,0.963,0.94
2023-01-09,雁塔区,小雁塔站,98.42,218.63,43.99,41.14,3.56,223.38,175,54.9,居住区,I类,0.45,0.961,0.96
2023-01-09,未央区,未央宫站,48.83,194.57,7.82,112.87,0.89,87.86,156,65.6,工业区,I类,0.41,0.952,0.975
2023-01-09,未央区,开发区站,61.0,167.37,7.9,30.06,2.42,105.69,134,67.5,商业区,IV类,0.41,0.978,0.98
2023-01-09,灞桥区,灞桥站,91.13,146.99,12.07,39.0,1.44,233.66,140,65.2,工业区,IV类,0.43,0.963,0.94
2023-01-09,灞桥区,纺织城站,80.43,87.63,26.47,55.77,3.33,93.77,133,66.7,交通干线,II类,0.43,0.986,0.967
2023-01-09,长安区,郭杜站,85.2,173.88,35.78,55.75,3.41,218.56,139,73.2,工业区,II类,0.48,0.958,0.979
2023-01-09,长安区,大学城站,53.56,126.08,50.03,74.37,0.84,218.17,131,67.7,交通干线,V类,0.48,0.99,0.951
2023-01-09,高新区,科技路站,31.0,84.35,32.94,72.79,2.94,138.03,118,55.4,居住区,III类,0.42,0.957,0.959
2023-01-09,高新区,高新西站,53.67,102.63,55.39,91.7,2.78,127.83,111,74.0,工业区,III类,0.42,0.958,0.96
2023-01-09,高新区,丈八站,41.31,88.84,25.47,56.18,1.15,69.39,71,69.8,工业区,IV类,0.42,0.97,0.94
2023-01-09,经开区,经开站,66.0,78.82,16.41,94.83,2.88,71.18,115,65.2,工业区,V类,0.4,0.952,0.967
2023-01-09,经开区,浐灞站,77.06,181.81,22.25,97.12,1.29,114.05,145,57.0,商业区,III类,0.4,0.967,0.944
2023-01-09,曲江新区,曲江站,60.25,88.95,11.32,59.54,1.21,61.06,90,78.6,交通干线,IV类,0.5,0.984,0.974
2023-01-09,曲江新区,芙蓉园站,50.83,224.44,46.65,71.9,0.91,135.85,180,57.8,居住区,V类,0.5,0.972,0.954
2023-01-10,新城区,民乐站,26.71,78.68,15.41,113.52,2.08,212.28,136,69.7,工业区,I类,0.4,0.964,0.948
2023-01-10,新城区,长乐站,38.28,210.81,56.47,50.76,0.79,235.33,169,55.4,商业区,IV类,0.4,0.968,0.942
2023-01-10,碑林区,小寨站,23.63,52.34,15.18,107.08,1.11,112.9,128,65.0,商业区,IV类,0.38,0.969,0.95
2023-01-10,碑林区,文艺路站,47.11,205.99,42.94,111.7,1.21,152.72,165,58.4,居住区,I类,0.38,0.953,0.951
2023-01-10,莲湖区,北院门站,27.87,169.03,41.83,63.64,2.04,158.11,135,47.1,居住区,V类,0.35,0.98,0.959
2023-01-10,莲湖区,红庙坡站,106.32,142.61,37.71,85.89,1.59,156.04,159,71.6,交通干线,IV类,0.35,0.976,0.979
2023-01-10,雁塔区,大雁塔站,53.21,87.64,14.75,60.66,0.92,118.05,80,65.8,工业区,V类,0.45,0.974,0.968
2023-01-10,雁塔区,小雁塔站,30.68,65.73,7.79,81.12,3.81,74.13,152,62.9,商业区,III类,0.45,0.979,0.979
2023-01-10,未央区,未央宫站,65.6,131.4,51.36,115.07,3.21,139.09,138,57.6,居住区,I类,0.41,0.98,0.951
2023-01-10,未央区,开发区站,113.13,184.41,26.22,93.94,1.24,102.93,170,72.2,工业区,IV类,0.41,0.989,0.956
2023-01-10,灞桥区,灞桥站,78.13,62.87,38.07,87.65,1.16,240.89,145,49.0,居住区,IV类,0.43,0.974,0.945
2023-01-10,灞桥区,纺织城站,51.91,142.8,29.73,71.31,3.52,121.34,141,65.8,交通干线,IV类,0.43,0.988,0.97
2023-01-10,长安区,郭杜站,99.82,122.55,61.4,70.61,2.94,229.46,150,68.4,工业区,I类,0.48,0.974,0.974
2023-01-10,长安区,大学城站,96.31,200.56,13.82,105.88,3.61,75.35,160,70.1,工业区,I类,0.48,0.971,0.962
2023-01-10,高新区,科技路站,26.64,82.57,23.33,100.34,3.28,191.28,131,68.1,商业区,IV类,0.42,0.982,0.946
2023-01-10,高新区,高新西站,60.43,208.59,23.58,39.25,1.42,113.46,167,68.1,工业区,III类,0.42,0.984,0.953
2023-01-10,高新区,丈八站,37.38,217.12,51.78,110.44,1.38,71.19,174,75.0,交通干线,V类,0.42,0.971,0.975
