qc_id,po_id,material_id,supplier_id,inspection_date,total_quantity,inspected_quantity,defect_quantity,defect_rate,defect_type,severity,action_taken,inspector
QC000044,PO000044,MAT043,SUP005,2022-01-20,25,25,0,0.0015,无,无,接收,Inspector-1
QC000045,PO000045,MAT013,SUP020,2022-01-28,100,100,0,0.0002,无,无,接收,Inspector-3
QC000046,PO000046,MAT014,SUP010,2022-01-21,50,50,0,0.003,无,无,接收,Inspector-5
QC000047,PO000047,MAT015,SUP005,2022-01-23,140,100,0,0.0017,无,无,接收,Inspector-3
QC000048,PO000048,MAT026,SUP006,2022-01-19,200,37,0,0.0021,无,无,接收,Inspector-4
QC000049,PO000049,MAT029,SUP001,2022-02-05,115,36,0,0.0006,无,无,接收,Inspector-3
QC000050,PO000050,MAT037,SUP006,2022-01-17,81,81,0,0.0005,无,无,接收,Inspector-4
QC000051,PO000051,MAT001,SUP005,2022-01-22,200,37,0,0.0011,无,无,接收,Inspector-1
QC000052,PO000052,MAT008,SUP010,2022-01-20,138,59,0,0.0012,无,无,接收,Inspector-5
QC000053,PO000053,MAT014,SUP010,2022-01-27,20,20,0,0.0039,无,无,接收,Inspector-4
QC000054,PO000054,MAT019,SUP007,2022-02-04,150,67,0,0.0049,无,无,接收,Inspector-3
QC000055,PO000055,MAT021,SUP005,2022-01-23,120,55,0,0.0029,无,无,接收,Inspector-3
QC000056,PO000056,MAT036,SUP006,2022-01-19,100,100,0,0.0024,无,无,接收,Inspector-3
QC000057,PO000057,MAT044,SUP007,2022-02-02,100,100,0,0.001,无,无,接收,Inspector-3
QC000058,PO000058,MAT045,SUP005,2022-01-23,100,100,0,0.0025,无,无,接收,Inspector-3
QC000059,PO000059,MAT050,SUP009,2022-02-07,175,83,0,0.004,无,无,接收,Inspector-3
QC000060,PO000060,MAT027,SUP005,2022-01-25,100,100,0,0.0049,无,无,接收,Inspector-5
QC000061,PO000061,MAT034,SUP014,2022-02-11,100,100,0,0.0038,无,无,接收,Inspector-1
QC000062,PO000062,MAT043,SUP005,2022-01-23,20,20,0,0.0035,无,无,接收,Inspector-1
QC000063,PO000063,MAT046,SUP005,2022-02-01,300,65,0,0.0003,无,无,接收,Inspector-5
QC000064,PO000064,MAT002,SUP006,2022-01-19,279,64,0,0.0012,无,无,接收,Inspector-4
QC000065,PO000065,MAT011,SUP011,2022-01-25,60,60,5,0.0863,标签错误,低,特殊批准使用,Inspector-1
QC000066,PO000066,MAT022,SUP008,2022-02-10,41,41,0,0.0023,无,无,接收,Inspector-1
QC000067,PO000067,MAT036,SUP006,2022-01-18,305,74,0,0.0014,无,无,接收,Inspector-3
QC000068,PO000068,MAT038,SUP010,2022-01-23,91,91,0,0.0048,无,无,接收,Inspector-3
QC000069,PO000069,MAT001,SUP005,2022-01-30,100,100,0,0.0012,无,无,接收,Inspector-1
QC000070,PO000070,MAT015,SUP005,2022-01-29,120,66,0,0.0019,无,无,接收,Inspector-3
QC000071,PO000071,MAT018,SUP014,2022-02-04,80,80,0,0.0028,无,无,接收,Inspector-4
QC000072,PO000072,MAT019,SUP009,2022-02-14,400,60,0,0.0008,无,无,接收,Inspector-3
QC000073,PO000073,MAT026,SUP016,2022-02-05,100,100,0,0.0043,无,无,接收,Inspector-1
QC000074,PO000074,MAT032,SUP002,2022-02-03,290,42,0,0.0009,无,无,接收,Inspector-1
QC000075,PO000075,MAT033,SUP011,2022-01-30,200,93,0,0.0008,无,无,接收,Inspector-3
QC000076,PO000076,MAT044,SUP007,2022-02-15,50,50,4,0.0864,包装破损,中,特殊批准使用,Inspector-1
QC000077,PO000077,MAT045,SUP005,2022-01-25,200,85,0,0.0012,无,无,接收,Inspector-3
QC000078,PO000078,MAT014,SUP006,2022-01-22,70,70,0,0.0013,无,无,接收,Inspector-5
QC000079,PO000079,MAT027,SUP005,2022-01-29,190,85,0,0.0038,无,无,接收,Inspector-5
QC000080,PO000080,MAT034,SUP014,2022-02-09,200,42,0,0.0045,无,无,接收,Inspector-3
QC000081,PO000081,MAT001,SUP005,2022-02-02,100,100,0,0.0002,无,无,接收,Inspector-1
QC000082,PO000082,MAT004,SUP005,2022-01-31,200,52,0,0.0037,无,无,接收,Inspector-5
QC000083,PO000083,MAT005,SUP005,2022-01-30,300,38,0,0.0007,无,无,接收,Inspector-5
QC000084,PO000084,MAT006,SUP016,2022-02-11,300,94,1,0.0047,轻微外观瑕疵,低,特殊批准使用,Inspector-2
QC000085,PO000085,MAT022,SUP008,2022-02-04,36,36,0,0.0018,无,无,接收,Inspector-2
QC000086,PO000086,MAT039,SUP020,2022-02-12,182,66,0,0.002,无,无,接收,Inspector-4
QC000087,PO000087,MAT044,SUP001,2022-02-14,50,50,0,0.0028,无,无,接收,Inspector-4
QC000088,PO000088,MAT007,SUP003,2022-02-04,100,100,0,0.0012,无,无,接收,Inspector-5
QC000089,PO000089,MAT008,SUP010,2022-02-01,200,91,0,0.0021,无,无,接收,Inspector-1
QC000090,PO000090,MAT014,SUP006,2022-01-24,40,40,0,0.0034,无,无,接收,Inspector-4
QC000091,PO000091,MAT025,SUP001,2022-02-13,50,50,0,0.0048,无,无,接收,Inspector-4
QC000092,PO000092,MAT026,SUP016,2022-02-09,95,95,0,0.0029,无,无,接收,Inspector-3
QC000093,PO000093,MAT034,SUP014,2022-02-04,300,50,0,0.0027,无,无,接收,Inspector-3
QC000094,PO000094,MAT049,SUP001,2022-02-15,50,50,0,0.0002,无,无,接收,Inspector-2
QC000095,PO000095,MAT001,SUP005,2022-02-01,100,100,0,0.0048,无,无,接收,Inspector-4
QC000096,PO000096,MAT003,SUP018,2022-01-27,77,77,0,0.0002,无,无,接收,Inspector-2
QC000097,PO000097,MAT009,SUP019,2022-01-28,250,76,0,0.0023,无,无,接收,Inspector-3
QC000098,PO000098,MAT013,SUP016,2022-02-13,180,48,0,0.0029,无,无,接收,Inspector-5
QC000099,PO000099,MAT019,SUP001,2022-02-09,340,73,1,0.0031,轻微尺寸偏差,低,特殊批准使用,Inspector-4
QC000100,PO000100,MAT023,SUP012,2022-01-30,100,100,0,0.0045,无,无,接收,Inspector-4
QC000101,PO000101,MAT024,SUP005,2022-02-01,300,61,0,0.0027,无,无,接收,Inspector-5
QC000102,PO000102,MAT043,SUP005,2022-01-29,40,40,0,0.0035,无,无,接收,Inspector-1
QC000103,PO000103,MAT044,SUP007,2022-02-07,100,100,0,0.001,无,无,接收,Inspector-5
QC000104,PO000104,MAT045,SUP005,2022-01-29,100,100,0,0.0011,无,无,接收,Inspector-1
QC000105,PO000105,MAT047,SUP015,2022-01-24,95,95,3,0.0375,材质问题,低,特殊批准使用,Inspector-2
QC000106,PO000106,MAT014,SUP006,2022-01-27,55,55,0,0.0023,无,无,接收,Inspector-1
QC000107,PO000107,MAT018,SUP010,2022-01-30,220,36,0,0.0012,无,无,接收,Inspector-4
QC000108,PO000108,MAT022,SUP008,2022-02-09,19,19,0,0.0343,尺寸偏差,高,退回,Inspector-2
QC000109,PO000109,MAT038,SUP006,2022-01-29,100,100,0,0.0011,无,无,接收,Inspector-1
QC000110,PO000110,MAT045,SUP005,2022-02-03,100,100,0,0.0015,无,无,接收,Inspector-3
QC000111,PO000111,MAT046,SUP005,2022-01-29,270,44,0,0.0004,无,无,接收,Inspector-2
QC000112,PO000112,MAT048,SUP007,2022-02-06,220,55,0,0.0019,无,无,接收,Inspector-5
QC000113,PO000113,MAT001,SUP005,2022-02-01,100,100,0,0.0043,无,无,接收,Inspector-3
QC000114,PO000114,MAT011,SUP011,2022-02-02,100,100,0,0.0037,无,无,接收,Inspector-3
QC000115,PO000115,MAT015,SUP005,2022-02-06,340,88,0,0.0027,无,无,接收,Inspector-3
QC000116,PO000116,MAT021,SUP005,2022-02-07,220,53,0,0.0025,无,无,接收,Inspector-1
QC000117,PO000117,MAT026,SUP016,2022-02-11,100,100,0,0.0012,无,无,接收,Inspector-3
QC000118,PO000118,MAT031,SUP001,2022-02-18,150,98,4,0.0288,功能缺陷,低,供应商返工,Inspector-4
QC000119,PO000119,MAT034,SUP014,2022-02-06,200,60,0,0.0023,无,无,接收,Inspector-5
QC000120,PO000120,MAT036,SUP006,2022-01-28,150,96,0,0.0001,无,无,接收,Inspector-3
QC000121,PO000121,MAT037,SUP006,2022-01-26,158,75,0,0.001,无,无,接收,Inspector-5
QC000122,PO000122,MAT050,SUP009,2022-02-13,80,80,6,0.0752,标签错误,低,退回,Inspector-4
QC000123,PO000123,MAT002,SUP010,2022-01-29,283,84,1,0.0044,轻微外观瑕疵,低,特殊批准使用,Inspector-2
QC000124,PO000124,MAT027,SUP005,2022-02-03,120,73,0,0.0021,无,无,接收,Inspector-4
QC000125,PO000125,MAT029,SUP001,2022-02-16,80,80,0,0.0013,无,无,接收,Inspector-4
QC000126,PO000126,MAT043,SUP005,2022-02-01,40,40,0,0.0018,无,无,接收,Inspector-1
QC000127,PO000127,MAT001,SUP005,2022-02-02,100,100,0,0.0021,无,无,接收,Inspector-3
QC000128,PO000128,MAT010,SUP011,2022-02-05,140,71,0,0.0008,无,无,接收,Inspector-2
QC000129,PO000129,MAT013,SUP020,2022-02-11,160,62,0,0.0034,无,无,接收,Inspector-4
QC000130,PO000130,MAT022,SUP008,2022-02-11,51,51,0,0.0016,无,无,接收,Inspector-3
QC000131,PO000131,MAT030,SUP016,2022-02-18,107,32,0,0.0029,无,无,接收,Inspector-3
QC000132,PO000132,MAT007,SUP003,2022-02-25,100,100,0,0.0021,无,无,接收,Inspector-5
QC000133,PO000133,MAT022,SUP008,2022-02-13,13,13,0,0.0046,无,无,接收,Inspector-2
QC000134,PO000134,MAT036,SUP006,2022-01-29,315,79,1,0.0042,轻微外观瑕疵,低,特殊批准使用,Inspector-3
QC000135,PO000135,MAT044,SUP007,2022-02-20,46,46,0,0.0033,无,无,接收,Inspector-5
QC000136,PO000136,MAT050,SUP009,2022-02-17,56,56,3,0.0697,标签错误,低,退回,Inspector-5
QC000137,PO000137,MAT005,SUP005,2022-02-10,60,60,0,0.0043,无,无,接收,Inspector-3
QC000138,PO000138,MAT008,SUP010,2022-02-02,193,32,0,0.0046,无,无,接收,Inspector-3
QC000139,PO000139,MAT021,SUP005,2022-02-03,140,75,0,0.0021,无,无,接收,Inspector-2
QC000140,PO000140,MAT022,SUP008,2022-02-14,12,12,1,0.0936,包装破损,低,供应商返工,Inspector-3
QC000141,PO000141,MAT027,SUP005,2022-02-13,290,96,0,0.0023,无,无,接收,Inspector-1
QC000142,PO000142,MAT028,SUP017,2022-02-11,191,68,0,0.0015,无,无,接收,Inspector-4
QC000143,PO000143,MAT032,SUP019,2022-02-01,278,85,9,0.0342,包装破损,中,折价接收,Inspector-1
QC000144,PO000144,MAT033,SUP013,2022-02-17,320,84,0,0.0004,无,无,接收,Inspector-2
QC000145,PO000145,MAT034,SUP014,2022-02-22,200,65,0,0.0044,无,无,接收,Inspector-1
QC000146,PO000146,MAT044,SUP007,2022-02-20,100,100,0,0.0025,无,无,接收,Inspector-5
QC000147,PO000147,MAT049,SUP007,2022-02-10,90,90,0,0.0031,无,无,接收,Inspector-3
QC000148,PO000148,MAT050,SUP009,2022-02-13,55,55,0,0.0016,无,无,接收,Inspector-1
QC000149,PO000149,MAT001,SUP005,2022-02-08,100,100,0,0.003,无,无,接收,Inspector-4
QC000150,PO000150,MAT005,SUP005,2022-02-11,40,40,0,0.0001,无,无,接收,Inspector-1
QC000151,PO000151,MAT011,SUP011,2022-02-07,60,60,0,0.0016,无,无,接收,Inspector-2
QC000152,PO000152,MAT015,SUP005,2022-02-10,60,60,0,0.0017,无,无,接收,Inspector-3
QC000153,PO000153,MAT019,SUP009,2022-02-13,150,32,0,0.0013,无,无,接收,Inspector-4
QC000154,PO000154,MAT023,SUP012,2022-02-09,114,33,0,0.0023,无,无,接收,Inspector-5
QC000155,PO000155,MAT025,SUP001,2022-02-23,70,70,0,0.0009,无,无,接收,Inspector-3
QC000156,PO000156,MAT038,SUP006,2022-02-01,100,100,0,0.0,无,无,接收,Inspector-2
QC000157,PO000157,MAT039,SUP016,2022-02-19,200,76,0,0.0009,无,无,接收,Inspector-3
QC000158,PO000158,MAT040,SUP002,2022-02-12,90,90,1,0.0162,尺寸偏差,高,折价接收,Inspector-3
QC000159,PO000159,MAT001,SUP005,2022-02-07,100,100,0,0.0029,无,无,接收,Inspector-3
QC000160,PO000160,MAT011,SUP004,2022-02-06,109,83,0,0.0043,无,无,接收,Inspector-5
QC000161,PO000161,MAT022,SUP008,2022-02-23,46,46,0,0.0006,无,无,接收,Inspector-5
QC000162,PO000162,MAT045,SUP005,2022-02-15,200,100,0,0.0047,无,无,接收,Inspector-5
QC000163,PO000163,MAT046,SUP005,2022-02-14,260,31,0,0.0019,无,无,接收,Inspector-5
QC000164,PO000164,MAT003,SUP003,2022-02-25,36,36,0,0.0046,无,无,接收,Inspector-4
QC000165,PO000165,MAT007,SUP003,2022-02-15,191,36,0,0.0044,无,无,接收,Inspector-2
QC000166,PO000166,MAT013,SUP020,2022-02-12,160,73,0,0.0032,无,无,接收,Inspector-2
QC000167,PO000167,MAT024,SUP005,2022-02-07,200,91,0,0.0023,无,无,接收,Inspector-3
QC000168,PO000168,MAT044,SUP001,2022-02-25,271,42,0,0.0022,无,无,接收,Inspector-3
QC000169,PO000169,MAT047,SUP015,2022-02-01,45,45,0,0.0027,无,无,接收,Inspector-1
QC000170,PO000170,MAT001,SUP005,2022-02-13,100,100,0,0.0042,无,无,接收,Inspector-5
QC000171,PO000171,MAT014,SUP010,2022-02-08,60,60,5,0.0964,外观不符,中,特殊批准使用,Inspector-3
QC000172,PO000172,MAT019,SUP001,2022-02-26,237,57,1,0.0047,轻微外观瑕疵,低,特殊批准使用,Inspector-3
QC000173,PO000173,MAT034,SUP014,2022-02-23,100,100,0,0.0025,无,无,接收,Inspector-5
QC000174,PO000174,MAT036,SUP006,2022-02-03,190,64,0,0.0022,无,无,接收,Inspector-3
QC000175,PO000175,MAT050,SUP009,2022-02-14,60,60,0,0.0021,无,无,接收,Inspector-1
QC000176,PO000176,MAT008,SUP014,2022-02-17,100,100,0,0.0018,无,无,接收,Inspector-5
QC000177,PO000177,MAT011,SUP004,2022-02-10,60,60,0,0.0048,无,无,接收,Inspector-1
QC000178,PO000178,MAT012,SUP004,2022-02-07,50,50,0,0.0019,无,无,接收,Inspector-2
QC000179,PO000179,MAT014,SUP006,2022-02-03,63,63,0,0.0008,无,无,接收,Inspector-2
QC000180,PO000180,MAT015,SUP005,2022-02-11,160,86,0,0.0014,无,无,接收,Inspector-4
QC000181,PO000181,MAT026,SUP006,2022-02-06,300,63,0,0.0027,无,无,接收,Inspector-5
QC000182,PO000182,MAT042,SUP009,2022-02-13,120,88,7,0.0632,清洁度不足,低,供应商返工,Inspector-4
QC000183,PO000183,MAT001,SUP005,2022-02-13,100,100,0,0.0014,无,无,接收,Inspector-1
QC000184,PO000184,MAT009,SUP015,2022-02-04,100,100,0,0.004,无,无,接收,Inspector-1
QC000185,PO000185,MAT034,SUP014,2022-02-19,100,100,0,0.0011,无,无,接收,Inspector-5
QC000186,PO000186,MAT044,SUP001,2022-03-06,100,100,2,0.0252,材质问题,低,供应商返工,Inspector-3
QC000187,PO000187,MAT045,SUP005,2022-02-14,100,100,0,0.0045,无,无,接收,Inspector-2
QC000188,PO000188,MAT046,SUP005,2022-02-14,300,69,0,0.0021,无,无,接收,Inspector-1
QC000189,PO000189,MAT047,SUP019,2022-02-10,100,100,0,0.0043,无,无,接收,Inspector-3
QC000190,PO000190,MAT048,SUP007,2022-02-21,240,89,0,0.0037,无,无,接收,Inspector-1
QC000191,PO000191,MAT003,SUP012,2022-02-17,30,30,0,0.0028,无,无,接收,Inspector-4
QC000192,PO000192,MAT005,SUP005,2022-02-11,100,100,0,0.0018,无,无,接收,Inspector-1
QC000193,PO000193,MAT018,SUP010,2022-02-10,100,100,0,0.0043,无,无,接收,Inspector-5
QC000194,PO000194,MAT021,SUP005,2022-02-20,120,95,0,0.005,无,无,接收,Inspector-5
QC000195,PO000195,MAT027,SUP005,2022-02-15,100,100,0,0.0036,无,无,接收,Inspector-1
QC000196,PO000196,MAT046,SUP005,2022-02-13,230,66,0,0.0043,无,无,接收,Inspector-5
QC000197,PO000197,MAT050,SUP009,2022-02-25,180,96,0,0.0003,无,无,接收,Inspector-5
QC000198,PO000198,MAT001,SUP005,2022-02-15,200,48,0,0.0042,无,无,接收,Inspector-2
QC000199,PO000199,MAT002,SUP014,2022-02-22,300,80,0,0.0026,无,无,接收,Inspector-4
QC000200,PO000200,MAT008,SUP014,2022-02-28,196,79,0,0.003,无,无,接收,Inspector-1
QC000201,PO000201,MAT013,SUP020,2022-02-20,80,80,0,0.0021,无,无,接收,Inspector-4
QC000202,PO000202,MAT014,SUP006,2022-02-08,90,90,0,0.0015,无,无,接收,Inspector-1
QC000203,PO000203,MAT022,SUP008,2022-02-22,36,36,0,0.0008,无,无,接收,Inspector-4
QC000204,PO000204,MAT023,SUP012,2022-02-21,286,72,0,0.0009,无,无,接收,Inspector-1
QC000205,PO000205,MAT032,SUP017,2022-02-21,290,97,1,0.0038,轻微尺寸偏差,低,特殊批准使用,Inspector-2
QC000206,PO000206,MAT033,SUP013,2022-02-25,120,45,0,0.0043,无,无,接收,Inspector-2
QC000207,PO000207,MAT034,SUP014,2022-03-06,200,76,0,0.0045,无,无,接收,Inspector-1
QC000208,PO000208,MAT036,SUP006,2022-02-07,355,35,0,0.0013,无,无,接收,Inspector-1
QC000209,PO000209,MAT004,SUP005,2022-02-20,150,91,0,0.0039,无,无,接收,Inspector-2
QC000210,PO000210,MAT030,SUP016,2022-02-27,144,46,0,0.0015,无,无,接收,Inspector-3
QC000211,PO000211,MAT038,SUP006,2022-02-09,200,71,0,0.0023,无,无,接收,Inspector-4
QC000212,PO000212,MAT039,SUP020,2022-02-21,93,93,2,0.0263,清洁度不足,中,供应商返工,Inspector-1
QC000213,PO000213,MAT003,SUP012,2022-02-16,80,80,4,0.0575,外观不符,高,供应商返工,Inspector-5
QC000214,PO000214,MAT018,SUP010,2022-02-11,260,36,0,0.0018,无,无,接收,Inspector-5
QC000215,PO000215,MAT019,SUP001,2022-03-02,400,61,16,0.0403,清洁度不足,低,供应商返工,Inspector-3
QC000216,PO000216,MAT020,SUP003,2022-03-02,98,98,2,0.0212,尺寸偏差,中,折价接收,Inspector-5
QC000217,PO000217,MAT027,SUP005,2022-02-18,210,87,0,0.0006,无,无,接收,Inspector-3
QC000218,PO000218,MAT044,SUP001,2022-03-02,100,100,0,0.0016,无,无,接收,Inspector-3
QC000219,PO000219,MAT046,SUP005,2022-02-14,280,63,0,0.0022,无,无,接收,Inspector-3
QC000220,PO000220,MAT047,SUP019,2022-02-13,200,60,0,0.0026,无,无,接收,Inspector-3
QC000221,PO000221,MAT001,SUP005,2022-02-18,200,86,0,0.0001,无,无,接收,Inspector-2
QC000222,PO000222,MAT011,SUP011,2022-02-19,160,94,0,0.0021,无,无,接收,Inspector-5
QC000223,PO000223,MAT015,SUP005,2022-02-23,100,100,0,0.0041,无,无,接收,Inspector-1
QC000224,PO000224,MAT022,SUP008,2022-02-26,36,36,0,0.0031,无,无,接收,Inspector-4
QC000225,PO000225,MAT025,SUP007,2022-02-28,50,50,0,0.0031,无,无,接收,Inspector-3
QC000226,PO000226,MAT031,SUP009,2022-03-02,94,94,0,0.0028,无,无,接收,Inspector-3
QC000227,PO000227,MAT037,SUP006,2022-02-09,156,45,0,0.0014,无,无,接收,Inspector-4
QC000228,PO000228,MAT045,SUP005,2022-02-18,100,100,0,0.0013,无,无,接收,Inspector-3
QC000229,PO000229,MAT002,SUP014,2022-02-25,400,99,1,0.003,轻微尺寸偏差,低,特殊批准使用,Inspector-5
QC000230,PO000230,MAT009,SUP015,2022-02-12,189,35,0,0.0023,无,无,接收,Inspector-5
QC000231,PO000231,MAT013,SUP020,2022-02-22,120,71,0,0.0015,无,无,接收,Inspector-3
QC000232,PO000232,MAT014,SUP010,2022-02-13,27,27,0,0.0003,无,无,接收,Inspector-5
QC000233,PO000233,MAT015,SUP005,2022-02-22,160,41,0,0.0012,无,无,接收,Inspector-3
QC000234,PO000234,MAT022,SUP008,2022-02-25,40,40,0,0.0011,无,无,接收,Inspector-3
QC000235,PO000235,MAT027,SUP005,2022-02-17,250,38,0,0.0039,无,无,接收,Inspector-3
QC000236,PO000236,MAT036,SUP006,2022-02-14,580,33,1,0.0025,轻微外观瑕疵,低,特殊批准使用,Inspector-5
QC000237,PO000237,MAT039,SUP016,2022-03-01,100,100,0,0.0001,无,无,接收,Inspector-4
QC000238,PO000238,MAT045,SUP005,2022-02-23,200,95,0,0.003,无,无,接收,Inspector-1
QC000239,PO000239,MAT046,SUP005,2022-02-19,180,47,0,0.0006,无,无,接收,Inspector-4
QC000240,PO000240,MAT021,SUP005,2022-02-17,120,43,0,0.003,无,无,接收,Inspector-3
QC000241,PO000241,MAT033,SUP013,2022-03-01,300,56,0,0.0009,无,无,接收,Inspector-3
QC000242,PO000242,MAT036,SUP006,2022-02-12,100,100,4,0.0482,杂质混入,低,供应商返工,Inspector-3
QC000243,PO000243,MAT043,SUP005,2022-02-22,60,60,0,0.002,无,无,接收,Inspector-1
QC000244,PO000244,MAT050,SUP009,2022-03-03,230,36,0,0.0,无,无,接收,Inspector-5
QC000245,PO000245,MAT001,SUP005,2022-02-24,100,100,0,0.0044,无,无,接收,Inspector-2
QC000246,PO000246,MAT008,SUP010,2022-02-20,100,100,0,0.0049,无,无,接收,Inspector-3
QC000247,PO000247,MAT023,SUP012,2022-02-23,640,70,1,0.0019,轻微外观瑕疵,低,特殊批准使用,Inspector-3
QC000248,PO000248,MAT026,SUP006,2022-02-16,200,75,0,0.0038,无,无,接收,Inspector-2
QC000249,PO000249,MAT029,SUP001,2022-03-07,79,79,2,0.0283,尺寸偏差,高,供应商返工,Inspector-3
QC000250,PO000250,MAT034,SUP014,2022-03-09,100,100,0,0.0016,无,无,接收,Inspector-2
QC000251,PO000251,MAT038,SUP010,2022-02-25,91,91,4,0.0447,包装破损,低,供应商返工,Inspector-2
QC000252,PO000252,MAT043,SUP005,2022-02-20,40,40,0,0.0035,无,无,接收,Inspector-1
QC000253,PO000253,MAT044,SUP001,2022-03-01,100,100,0,0.0044,无,无,接收,Inspector-4
QC000254,PO000254,MAT046,SUP005,2022-02-23,260,73,0,0.0004,无,无,接收,Inspector-5
QC000255,PO000255,MAT001,SUP005,2022-02-20,100,100,0,0.0043,无,无,接收,Inspector-3
QC000256,PO000256,MAT002,SUP006,2022-02-15,200,80,8,0.0424,外观不符,中,供应商返工,Inspector-4
QC000257,PO000257,MAT015,SUP005,2022-02-27,120,96,0,0.004,无,无,接收,Inspector-4
QC000258,PO000258,MAT016,SUP008,2022-03-03,144,76,0,0.0004,无,无,接收,Inspector-4
QC000259,PO000259,MAT025,SUP009,2022-02-24,37,37,0,0.0034,无,无,接收,Inspector-5
QC000260,PO000260,MAT034,SUP014,2022-02-28,200,43,0,0.0011,无,无,接收,Inspector-4
