po_id,material_id,supplier_id,order_date,quantity,expected_delivery_date,actual_delivery_date,actual_quantity,unit_price,total_amount,actual_amount,delivery_status,quantity_status,status
PO000014,MAT008,SUP010,2022-01-02,100,2022-01-14,2022-01-14,100.0,15.98,1598.0,1598.0,On Time,Complete,Completed
PO000015,MAT012,SUP004,2022-01-02,100,2022-01-13,2022-01-15,100.0,382.16,38216.0,38216.0,Delayed,Complete,Completed
PO000016,MAT014,SUP006,2022-01-02,60,2022-01-11,2022-01-11,60.0,11.41,684.6,684.6,On Time,Complete,Completed
PO000017,MAT018,SUP010,2022-01-02,220,2022-01-15,2022-01-15,220.0,9.73,2140.6,2140.6,On Time,Complete,Completed
PO000018,MAT025,SUP009,2022-01-02,20,2022-01-23,2022-01-29,18.0,37.49,749.8,674.82,Delayed,Incomplete,Completed
PO000019,MAT027,SUP005,2022-01-02,270,2022-01-19,2022-01-19,270.0,368.55,99508.5,99508.5,On Time,Complete,Completed
PO000020,MAT034,SUP014,2022-01-02,200,2022-01-31,2022-01-31,200.0,15.4,3080.0,3080.0,On Time,Complete,Completed
PO000021,MAT046,SUP005,2022-01-02,200,2022-01-17,2022-01-17,200.0,341.98,68396.0,68396.0,On Time,Complete,Completed
PO000022,MAT050,SUP009,2022-01-02,60,2022-01-21,2022-01-21,58.0,17.2,1032.0,997.6,On Time,Incomplete,Completed
PO000023,MAT001,SUP005,2022-01-03,200,2022-01-19,2022-01-19,200.0,201.65,40330.0,40330.0,On Time,Complete,Completed
PO000024,MAT003,SUP003,2022-01-03,120,2022-02-08,2022-02-08,108.0,883.34,106000.8,95400.72,On Time,Incomplete,Completed
PO000025,MAT014,SUP010,2022-01-03,200,2022-01-16,2022-01-16,200.0,9.99,1998.0,1998.0,On Time,Complete,Completed
PO000026,MAT017,SUP015,2022-01-03,205,2022-01-12,2022-01-12,195.0,69.41,14229.05,13534.95,On Time,Incomplete,Completed
PO000027,MAT023,SUP012,2022-01-03,180,2022-01-20,2022-01-20,180.0,457.2,82296.0,82296.0,On Time,Complete,Completed
PO000028,MAT024,SUP005,2022-01-03,200,2022-01-25,2022-01-25,200.0,445.61,89122.0,89122.0,On Time,Complete,Completed
PO000029,MAT030,SUP016,2022-01-03,108,2022-02-01,2022-02-01,108.0,28.17,3042.36,3042.36,On Time,Complete,Completed
PO000030,MAT038,SUP014,2022-01-03,100,2022-02-01,2022-02-01,100.0,26.23,2623.0,2623.0,On Time,Complete,Completed
PO000031,MAT041,SUP020,2022-01-03,190,2022-01-26,2022-01-26,190.0,28.45,5405.5,5405.5,On Time,Complete,Completed
PO000032,MAT044,SUP001,2022-01-03,100,2022-02-02,2022-02-02,98.0,11.37,1137.0,1114.26,On Time,Incomplete,Completed
PO000033,MAT045,SUP005,2022-01-03,200,2022-01-24,2022-01-24,200.0,138.06,27612.0,27612.0,On Time,Complete,Completed
PO000034,MAT008,SUP014,2022-01-04,250,2022-01-31,2022-01-31,250.0,16.38,4095.0,4095.0,On Time,Complete,Completed
PO000035,MAT016,SUP008,2022-01-04,220,2022-01-26,2022-01-26,220.0,113.0,24860.0,24860.0,On Time,Complete,Completed
PO000036,MAT025,SUP007,2022-01-04,40,2022-01-27,2022-01-27,40.0,33.33,1333.2,1333.2,On Time,Complete,Completed
PO000037,MAT031,SUP009,2022-01-04,100,2022-01-31,2022-01-31,100.0,23.5,2350.0,2350.0,On Time,Complete,Completed
PO000038,MAT046,SUP005,2022-01-04,130,2022-01-19,2022-01-19,130.0,341.98,44457.4,44457.4,On Time,Complete,Completed
PO000039,MAT047,SUP002,2022-01-04,50,2022-01-24,2022-01-27,50.0,157.29,7864.5,7864.5,Delayed,Complete,Completed
PO000040,MAT050,SUP009,2022-01-04,60,2022-01-25,2022-01-25,60.0,17.2,1032.0,1032.0,On Time,Complete,Completed
PO000041,MAT015,SUP005,2022-01-05,80,2022-01-20,2022-01-20,80.0,198.83,15906.4,15906.4,On Time,Complete,Completed
PO000042,MAT020,SUP003,2022-01-05,100,2022-02-04,2022-02-04,90.0,580.29,58029.0,52226.1,On Time,Incomplete,Completed
PO000043,MAT036,SUP006,2022-01-05,135,2022-01-15,2022-01-15,135.0,14.3,1930.5,1930.5,On Time,Complete,Completed
PO000044,MAT043,SUP005,2022-01-05,25,2022-01-20,2022-01-20,25.0,422.46,10561.5,10561.5,On Time,Complete,Completed
PO000045,MAT013,SUP020,2022-01-06,100,2022-01-26,2022-01-26,100.0,26.65,2665.0,2665.0,On Time,Complete,Completed
PO000046,MAT014,SUP010,2022-01-06,50,2022-01-19,2022-01-19,50.0,9.99,499.5,499.5,On Time,Complete,Completed
PO000047,MAT015,SUP005,2022-01-06,140,2022-01-22,2022-01-22,140.0,198.83,27836.2,27836.2,On Time,Complete,Completed
PO000048,MAT026,SUP006,2022-01-06,200,2022-01-17,2022-01-17,200.0,28.39,5678.0,5678.0,On Time,Complete,Completed
PO000049,MAT029,SUP001,2022-01-06,115,2022-02-04,2022-02-04,115.0,25.41,2922.15,2922.15,On Time,Complete,Completed
PO000050,MAT037,SUP006,2022-01-06,81,2022-01-17,2022-01-17,81.0,11.29,914.49,914.49,On Time,Complete,Completed
PO000051,MAT001,SUP005,2022-01-07,200,2022-01-20,2022-01-20,200.0,201.65,40330.0,40330.0,On Time,Complete,Completed
PO000052,MAT008,SUP010,2022-01-07,150,2022-01-20,2022-01-20,138.0,15.98,2397.0,2205.24,On Time,Incomplete,Completed
PO000053,MAT014,SUP010,2022-01-07,20,2022-01-19,2022-01-27,20.0,9.99,199.8,199.8,Delayed,Complete,Completed
PO000054,MAT019,SUP007,2022-01-07,150,2022-02-02,2022-02-02,150.0,51.01,7651.5,7651.5,On Time,Complete,Completed
PO000055,MAT021,SUP005,2022-01-07,120,2022-01-21,2022-01-21,120.0,380.35,45642.0,45642.0,On Time,Complete,Completed
PO000056,MAT036,SUP006,2022-01-07,100,2022-01-17,2022-01-17,100.0,14.3,1430.0,1430.0,On Time,Complete,Completed
PO000057,MAT044,SUP007,2022-01-07,100,2022-02-02,2022-02-02,100.0,10.64,1064.0,1064.0,On Time,Complete,Completed
PO000058,MAT045,SUP005,2022-01-07,100,2022-01-21,2022-01-21,100.0,138.06,13806.0,13806.0,On Time,Complete,Completed
PO000059,MAT050,SUP009,2022-01-07,180,2022-02-05,2022-02-05,175.0,17.2,3096.0,3010.0,On Time,Incomplete,Completed
PO000060,MAT027,SUP005,2022-01-08,100,2022-01-23,2022-01-23,100.0,368.55,36855.0,36855.0,On Time,Complete,Completed
PO000061,MAT034,SUP014,2022-01-08,100,2022-02-09,2022-02-09,100.0,15.4,1540.0,1540.0,On Time,Complete,Completed
PO000062,MAT043,SUP005,2022-01-08,20,2022-01-22,2022-01-22,20.0,422.46,8449.2,8449.2,On Time,Complete,Completed
PO000063,MAT046,SUP005,2022-01-08,300,2022-01-30,2022-01-30,300.0,341.98,102594.0,102594.0,On Time,Complete,Completed
PO000064,MAT002,SUP006,2022-01-09,300,2022-01-19,2022-01-19,279.0,21.54,6462.0,6009.66,On Time,Incomplete,Completed
PO000065,MAT011,SUP011,2022-01-09,60,2022-01-25,2022-01-25,60.0,337.07,20224.2,20224.2,On Time,Complete,Completed
PO000066,MAT022,SUP008,2022-01-09,41,2022-02-01,2022-02-09,41.0,91.34,3744.94,3744.94,Delayed,Complete,Completed
PO000067,MAT036,SUP006,2022-01-09,305,2022-01-18,2022-01-18,305.0,14.3,4361.5,4361.5,On Time,Complete,Completed
PO000068,MAT038,SUP010,2022-01-09,100,2022-01-22,2022-01-22,91.0,24.29,2429.0,2210.39,On Time,Incomplete,Completed
PO000069,MAT001,SUP005,2022-01-10,100,2022-01-30,2022-01-30,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000070,MAT015,SUP005,2022-01-10,120,2022-01-27,2022-01-27,120.0,198.83,23859.6,23859.6,On Time,Complete,Completed
PO000071,MAT018,SUP014,2022-01-10,80,2022-02-02,2022-02-02,80.0,9.63,770.4,770.4,On Time,Complete,Completed
PO000072,MAT019,SUP009,2022-01-10,400,2022-02-05,2022-02-12,400.0,52.43,20972.0,20972.0,Delayed,Complete,Completed
PO000073,MAT026,SUP016,2022-01-10,100,2022-02-05,2022-02-05,100.0,29.08,2908.0,2908.0,On Time,Complete,Completed
PO000074,MAT032,SUP002,2022-01-10,290,2022-02-01,2022-02-01,290.0,190.74,55314.6,55314.6,On Time,Complete,Completed
PO000075,MAT033,SUP011,2022-01-10,200,2022-01-29,2022-01-29,200.0,571.18,114236.0,114236.0,On Time,Complete,Completed
PO000076,MAT044,SUP007,2022-01-10,50,2022-02-04,2022-02-13,50.0,10.64,532.0,532.0,Delayed,Complete,Completed
PO000077,MAT045,SUP005,2022-01-10,200,2022-01-23,2022-01-23,200.0,138.06,27612.0,27612.0,On Time,Complete,Completed
PO000078,MAT014,SUP006,2022-01-11,70,2022-01-20,2022-01-20,70.0,11.41,798.7,798.7,On Time,Complete,Completed
PO000079,MAT027,SUP005,2022-01-11,190,2022-01-27,2022-01-27,190.0,368.55,70024.5,70024.5,On Time,Complete,Completed
PO000080,MAT034,SUP014,2022-01-11,200,2022-02-07,2022-02-07,200.0,15.4,3080.0,3080.0,On Time,Complete,Completed
PO000081,MAT001,SUP005,2022-01-12,100,2022-02-01,2022-02-01,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000082,MAT004,SUP005,2022-01-12,200,2022-01-31,2022-01-31,200.0,457.21,91442.0,91442.0,On Time,Complete,Completed
PO000083,MAT005,SUP005,2022-01-12,300,2022-01-30,2022-01-30,300.0,351.67,105501.0,105501.0,On Time,Complete,Completed
PO000084,MAT006,SUP016,2022-01-12,300,2022-02-09,2022-02-09,300.0,17.93,5379.0,5379.0,On Time,Complete,Completed
PO000085,MAT022,SUP008,2022-01-12,36,2022-02-04,2022-02-04,36.0,91.34,3288.24,3288.24,On Time,Complete,Completed
PO000086,MAT039,SUP020,2022-01-12,200,2022-02-03,2022-02-10,182.0,17.3,3460.0,3148.6,Delayed,Incomplete,Completed
PO000087,MAT044,SUP001,2022-01-12,50,2022-02-12,2022-02-12,50.0,11.37,568.5,568.5,On Time,Complete,Completed
PO000088,MAT007,SUP003,2022-01-13,100,2022-02-03,2022-02-03,100.0,400.86,40086.0,40086.0,On Time,Complete,Completed
PO000089,MAT008,SUP010,2022-01-13,200,2022-01-25,2022-01-30,200.0,15.98,3196.0,3196.0,Delayed,Complete,Completed
PO000090,MAT014,SUP006,2022-01-13,40,2022-01-22,2022-01-22,40.0,11.41,456.4,456.4,On Time,Complete,Completed
PO000091,MAT025,SUP001,2022-01-13,50,2022-02-11,2022-02-12,50.0,33.45,1672.5,1672.5,Delayed,Complete,Completed
PO000092,MAT026,SUP016,2022-01-13,100,2022-02-08,2022-02-08,95.0,29.08,2908.0,2762.6,On Time,Incomplete,Completed
PO000093,MAT034,SUP014,2022-01-13,300,2022-02-02,2022-02-02,300.0,15.4,4620.0,4620.0,On Time,Complete,Completed
PO000094,MAT049,SUP001,2022-01-13,50,2022-02-13,2022-02-13,50.0,33.03,1651.5,1651.5,On Time,Complete,Completed
PO000095,MAT001,SUP005,2022-01-14,100,2022-01-30,2022-01-30,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000096,MAT003,SUP018,2022-01-14,80,2022-01-25,2022-01-25,77.0,1001.11,80088.8,77085.47,On Time,Incomplete,Completed
PO000097,MAT009,SUP019,2022-01-14,250,2022-01-27,2022-01-28,250.0,117.41,29352.5,29352.5,Delayed,Complete,Completed
PO000098,MAT013,SUP016,2022-01-14,180,2022-02-12,2022-02-12,180.0,26.32,4737.6,4737.6,On Time,Complete,Completed
PO000099,MAT019,SUP001,2022-01-14,350,2022-02-09,2022-02-09,340.0,48.68,17038.0,16551.2,On Time,Incomplete,Completed
PO000100,MAT023,SUP012,2022-01-14,100,2022-01-30,2022-01-30,100.0,457.2,45720.0,45720.0,On Time,Complete,Completed
PO000101,MAT024,SUP005,2022-01-14,300,2022-01-31,2022-01-31,300.0,445.61,133683.0,133683.0,On Time,Complete,Completed
PO000102,MAT043,SUP005,2022-01-14,40,2022-01-28,2022-01-28,40.0,422.46,16898.4,16898.4,On Time,Complete,Completed
PO000103,MAT044,SUP007,2022-01-14,100,2022-02-07,2022-02-07,100.0,10.64,1064.0,1064.0,On Time,Complete,Completed
PO000104,MAT045,SUP005,2022-01-14,100,2022-01-29,2022-01-29,100.0,138.06,13806.0,13806.0,On Time,Complete,Completed
PO000105,MAT047,SUP015,2022-01-14,100,2022-01-22,2022-01-22,95.0,154.94,15494.0,14719.3,On Time,Incomplete,Completed
PO000106,MAT014,SUP006,2022-01-15,60,2022-01-26,2022-01-26,55.0,11.41,684.6,627.55,On Time,Incomplete,Completed
PO000107,MAT018,SUP010,2022-01-15,220,2022-01-28,2022-01-28,220.0,9.73,2140.6,2140.6,On Time,Complete,Completed
PO000108,MAT022,SUP008,2022-01-15,19,2022-02-08,2022-02-08,19.0,91.34,1735.46,1735.46,On Time,Complete,Completed
PO000109,MAT038,SUP006,2022-01-15,100,2022-01-24,2022-01-27,100.0,25.03,2503.0,2503.0,Delayed,Complete,Completed
PO000110,MAT045,SUP005,2022-01-15,100,2022-02-01,2022-02-01,100.0,138.06,13806.0,13806.0,On Time,Complete,Completed
PO000111,MAT046,SUP005,2022-01-15,270,2022-01-28,2022-01-28,270.0,341.98,92334.6,92334.6,On Time,Complete,Completed
PO000112,MAT048,SUP007,2022-01-15,220,2022-02-04,2022-02-04,220.0,35.28,7761.6,7761.6,On Time,Complete,Completed
PO000113,MAT001,SUP005,2022-01-16,100,2022-01-30,2022-01-30,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000114,MAT011,SUP011,2022-01-16,100,2022-02-01,2022-02-01,100.0,337.07,33707.0,33707.0,On Time,Complete,Completed
PO000115,MAT015,SUP005,2022-01-16,340,2022-02-05,2022-02-05,340.0,198.83,67602.2,67602.2,On Time,Complete,Completed
PO000116,MAT021,SUP005,2022-01-16,220,2022-02-06,2022-02-06,220.0,380.35,83677.0,83677.0,On Time,Complete,Completed
PO000117,MAT026,SUP016,2022-01-16,100,2022-02-11,2022-02-11,100.0,29.08,2908.0,2908.0,On Time,Complete,Completed
PO000118,MAT031,SUP001,2022-01-16,150,2022-02-17,2022-02-17,150.0,23.3,3495.0,3495.0,On Time,Complete,Completed
PO000119,MAT034,SUP014,2022-01-16,200,2022-02-06,2022-02-06,200.0,15.4,3080.0,3080.0,On Time,Complete,Completed
PO000120,MAT036,SUP006,2022-01-16,150,2022-01-26,2022-01-26,150.0,14.3,2145.0,2145.0,On Time,Complete,Completed
PO000121,MAT037,SUP006,2022-01-16,158,2022-01-25,2022-01-25,158.0,11.29,1783.82,1783.82,On Time,Complete,Completed
PO000122,MAT050,SUP009,2022-01-16,80,2022-02-11,2022-02-11,80.0,17.2,1376.0,1376.0,On Time,Complete,Completed
PO000123,MAT002,SUP010,2022-01-17,300,2022-01-29,2022-01-29,283.0,23.2,6960.0,6565.6,On Time,Incomplete,Completed
PO000124,MAT027,SUP005,2022-01-17,120,2022-02-01,2022-02-01,120.0,368.55,44226.0,44226.0,On Time,Complete,Completed
PO000125,MAT029,SUP001,2022-01-17,80,2022-02-15,2022-02-15,80.0,25.41,2032.8,2032.8,On Time,Complete,Completed
PO000126,MAT043,SUP005,2022-01-17,40,2022-01-30,2022-01-30,40.0,422.46,16898.4,16898.4,On Time,Complete,Completed
PO000127,MAT001,SUP005,2022-01-18,100,2022-02-02,2022-02-02,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000128,MAT010,SUP011,2022-01-18,140,2022-02-03,2022-02-03,140.0,423.13,59238.2,59238.2,On Time,Complete,Completed
PO000129,MAT013,SUP020,2022-01-18,160,2022-02-09,2022-02-09,160.0,26.65,4264.0,4264.0,On Time,Complete,Completed
PO000130,MAT022,SUP008,2022-01-18,51,2022-02-10,2022-02-10,51.0,91.34,4658.34,4658.34,On Time,Complete,Completed
PO000131,MAT030,SUP016,2022-01-18,107,2022-02-16,2022-02-16,107.0,28.17,3014.19,3014.19,On Time,Complete,Completed
PO000132,MAT007,SUP003,2022-01-19,100,2022-02-24,2022-02-24,100.0,400.86,40086.0,40086.0,On Time,Complete,Completed
PO000133,MAT022,SUP008,2022-01-19,13,2022-02-12,2022-02-12,13.0,91.34,1187.42,1187.42,On Time,Complete,Completed
PO000134,MAT036,SUP006,2022-01-19,315,2022-01-29,2022-01-29,315.0,14.3,4504.5,4504.5,On Time,Complete,Completed
PO000135,MAT044,SUP007,2022-01-19,50,2022-02-18,2022-02-18,46.0,10.64,532.0,489.44,On Time,Incomplete,Completed
PO000136,MAT050,SUP009,2022-01-19,60,2022-02-15,2022-02-17,56.0,17.2,1032.0,963.2,Delayed,Incomplete,Completed
PO000137,MAT005,SUP005,2022-01-20,60,2022-02-10,2022-02-10,60.0,351.67,21100.2,21100.2,On Time,Complete,Completed
PO000138,MAT008,SUP010,2022-01-20,200,2022-02-02,2022-02-02,193.0,15.98,3196.0,3084.14,On Time,Incomplete,Completed
PO000139,MAT021,SUP005,2022-01-20,140,2022-02-02,2022-02-02,140.0,380.35,53249.0,53249.0,On Time,Complete,Completed
PO000140,MAT022,SUP008,2022-01-20,12,2022-02-13,2022-02-13,12.0,91.34,1096.08,1096.08,On Time,Complete,Completed
PO000141,MAT027,SUP005,2022-01-20,290,2022-02-11,2022-02-11,290.0,368.55,106879.5,106879.5,On Time,Complete,Completed
PO000142,MAT028,SUP017,2022-01-20,200,2022-02-09,2022-02-09,191.0,156.62,31324.0,29914.42,On Time,Incomplete,Completed
PO000143,MAT032,SUP019,2022-01-20,300,2022-01-31,2022-01-31,278.0,180.92,54276.0,50295.76,On Time,Incomplete,Completed
PO000144,MAT033,SUP013,2022-01-20,320,2022-02-16,2022-02-16,320.0,498.23,159433.6,159433.6,On Time,Complete,Completed
PO000145,MAT034,SUP014,2022-01-20,200,2022-02-21,2022-02-21,200.0,15.4,3080.0,3080.0,On Time,Complete,Completed
PO000146,MAT044,SUP007,2022-01-20,100,2022-02-18,2022-02-18,100.0,10.64,1064.0,1064.0,On Time,Complete,Completed
PO000147,MAT049,SUP007,2022-01-20,90,2022-02-10,2022-02-10,90.0,37.0,3330.0,3330.0,On Time,Complete,Completed
PO000148,MAT050,SUP009,2022-01-20,60,2022-02-09,2022-02-12,55.0,17.2,1032.0,946.0,Delayed,Incomplete,Completed
PO000149,MAT001,SUP005,2022-01-21,100,2022-02-07,2022-02-07,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000150,MAT005,SUP005,2022-01-21,40,2022-02-10,2022-02-10,40.0,351.67,14066.8,14066.8,On Time,Complete,Completed
PO000151,MAT011,SUP011,2022-01-21,60,2022-02-06,2022-02-06,60.0,337.07,20224.2,20224.2,On Time,Complete,Completed
PO000152,MAT015,SUP005,2022-01-21,60,2022-02-10,2022-02-10,60.0,198.83,11929.8,11929.8,On Time,Complete,Completed
PO000153,MAT019,SUP009,2022-01-21,150,2022-02-12,2022-02-12,150.0,52.43,7864.5,7864.5,On Time,Complete,Completed
PO000154,MAT023,SUP012,2022-01-21,120,2022-02-07,2022-02-07,114.0,457.2,54864.0,52120.8,On Time,Incomplete,Completed
PO000155,MAT025,SUP001,2022-01-21,70,2022-02-22,2022-02-22,70.0,33.45,2341.5,2341.5,On Time,Complete,Completed
PO000156,MAT038,SUP006,2022-01-21,100,2022-01-30,2022-01-30,100.0,25.03,2503.0,2503.0,On Time,Complete,Completed
PO000157,MAT039,SUP016,2022-01-21,200,2022-02-17,2022-02-17,200.0,14.91,2982.0,2982.0,On Time,Complete,Completed
PO000158,MAT040,SUP002,2022-01-21,100,2022-02-12,2022-02-12,90.0,107.79,10779.0,9701.1,On Time,Incomplete,Completed
PO000159,MAT001,SUP005,2022-01-22,100,2022-02-06,2022-02-06,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000160,MAT011,SUP004,2022-01-22,120,2022-02-02,2022-02-04,109.0,360.06,43207.2,39246.54,Delayed,Incomplete,Completed
PO000161,MAT022,SUP008,2022-01-22,46,2022-02-13,2022-02-21,46.0,91.34,4201.64,4201.64,Delayed,Complete,Completed
PO000162,MAT045,SUP005,2022-01-22,200,2022-02-13,2022-02-13,200.0,138.06,27612.0,27612.0,On Time,Complete,Completed
PO000163,MAT046,SUP005,2022-01-22,260,2022-02-12,2022-02-12,260.0,341.98,88914.8,88914.8,On Time,Complete,Completed
PO000164,MAT003,SUP003,2022-01-23,40,2022-02-23,2022-02-23,36.0,883.34,35333.6,31800.24,On Time,Incomplete,Completed
PO000165,MAT007,SUP003,2022-01-23,200,2022-02-15,2022-02-15,191.0,400.86,80172.0,76564.26,On Time,Incomplete,Completed
PO000166,MAT013,SUP020,2022-01-23,160,2022-02-12,2022-02-12,160.0,26.65,4264.0,4264.0,On Time,Complete,Completed
PO000167,MAT024,SUP005,2022-01-23,200,2022-02-05,2022-02-05,200.0,445.61,89122.0,89122.0,On Time,Complete,Completed
PO000168,MAT044,SUP001,2022-01-23,300,2022-02-16,2022-02-25,271.0,11.37,3411.0,3081.27,Delayed,Incomplete,Completed
PO000169,MAT047,SUP015,2022-01-23,50,2022-01-31,2022-01-31,45.0,154.94,7747.0,6972.3,On Time,Incomplete,Completed
PO000170,MAT001,SUP005,2022-01-24,100,2022-02-12,2022-02-12,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000171,MAT014,SUP010,2022-01-24,60,2022-02-06,2022-02-06,60.0,9.99,599.4,599.4,On Time,Complete,Completed
PO000172,MAT019,SUP001,2022-01-24,250,2022-02-26,2022-02-26,237.0,48.68,12170.0,11537.16,On Time,Incomplete,Completed
PO000173,MAT034,SUP014,2022-01-24,100,2022-02-22,2022-02-22,100.0,15.4,1540.0,1540.0,On Time,Complete,Completed
PO000174,MAT036,SUP006,2022-01-24,190,2022-02-01,2022-02-01,190.0,14.3,2717.0,2717.0,On Time,Complete,Completed
PO000175,MAT050,SUP009,2022-01-24,60,2022-02-11,2022-02-14,60.0,17.2,1032.0,1032.0,Delayed,Complete,Completed
PO000176,MAT008,SUP014,2022-01-25,100,2022-02-15,2022-02-15,100.0,16.38,1638.0,1638.0,On Time,Complete,Completed
PO000177,MAT011,SUP004,2022-01-25,60,2022-02-06,2022-02-09,60.0,360.06,21603.6,21603.6,Delayed,Complete,Completed
PO000178,MAT012,SUP004,2022-01-25,50,2022-02-05,2022-02-05,50.0,382.16,19108.0,19108.0,On Time,Complete,Completed
PO000179,MAT014,SUP006,2022-01-25,70,2022-02-03,2022-02-03,63.0,11.41,798.7,718.83,On Time,Incomplete,Completed
PO000180,MAT015,SUP005,2022-01-25,160,2022-02-11,2022-02-11,160.0,198.83,31812.8,31812.8,On Time,Complete,Completed
PO000181,MAT026,SUP006,2022-01-25,300,2022-02-05,2022-02-05,300.0,28.39,8517.0,8517.0,On Time,Complete,Completed
PO000182,MAT042,SUP009,2022-01-25,120,2022-02-13,2022-02-13,120.0,34.48,4137.6,4137.6,On Time,Complete,Completed
PO000183,MAT001,SUP005,2022-01-26,100,2022-02-13,2022-02-13,100.0,201.65,20165.0,20165.0,On Time,Complete,Completed
PO000184,MAT009,SUP015,2022-01-26,100,2022-02-04,2022-02-04,100.0,103.21,10321.0,10321.0,On Time,Complete,Completed
PO000185,MAT034,SUP014,2022-01-26,100,2022-02-18,2022-02-18,100.0,15.4,1540.0,1540.0,On Time,Complete,Completed
PO000186,MAT044,SUP001,2022-01-26,100,2022-02-27,2022-03-06,100.0,11.37,1137.0,1137.0,Delayed,Complete,Completed
PO000187,MAT045,SUP005,2022-01-26,100,2022-02-14,2022-02-14,100.0,138.06,13806.0,13806.0,On Time,Complete,Completed
PO000188,MAT046,SUP005,2022-01-26,300,2022-02-12,2022-02-12,300.0,341.98,102594.0,102594.0,On Time,Complete,Completed
PO000189,MAT047,SUP019,2022-01-26,100,2022-02-09,2022-02-09,100.0,162.06,16206.0,16206.0,On Time,Complete,Completed
PO000190,MAT048,SUP007,2022-01-26,240,2022-02-21,2022-02-21,240.0,35.28,8467.2,8467.2,On Time,Complete,Completed
PO000191,MAT003,SUP012,2022-01-27,30,2022-02-16,2022-02-16,30.0,1040.54,31216.2,31216.2,On Time,Complete,Completed
PO000192,MAT005,SUP005,2022-01-27,100,2022-02-10,2022-02-10,100.0,351.67,35167.0,35167.0,On Time,Complete,Completed
PO000193,MAT018,SUP010,2022-01-27,100,2022-02-09,2022-02-09,100.0,9.73,973.0,973.0,On Time,Complete,Completed
PO000194,MAT021,SUP005,2022-01-27,120,2022-02-18,2022-02-18,120.0,380.35,45642.0,45642.0,On Time,Complete,Completed
PO000195,MAT027,SUP005,2022-01-27,100,2022-02-13,2022-02-13,100.0,368.55,36855.0,36855.0,On Time,Complete,Completed
PO000196,MAT046,SUP005,2022-01-27,230,2022-02-12,2022-02-12,230.0,341.98,78655.4,78655.4,On Time,Complete,Completed
PO000197,MAT050,SUP009,2022-01-27,180,2022-02-23,2022-02-23,180.0,17.2,3096.0,3096.0,On Time,Complete,Completed
PO000198,MAT001,SUP005,2022-01-28,200,2022-02-15,2022-02-15,200.0,201.65,40330.0,40330.0,On Time,Complete,Completed
PO000199,MAT002,SUP014,2022-01-28,300,2022-02-20,2022-02-20,300.0,21.12,6336.0,6336.0,On Time,Complete,Completed
PO000200,MAT008,SUP014,2022-01-28,200,2022-02-26,2022-02-26,196.0,16.38,3276.0,3210.48,On Time,Incomplete,Completed
PO000201,MAT013,SUP020,2022-01-28,80,2022-02-20,2022-02-20,80.0,26.65,2132.0,2132.0,On Time,Complete,Completed
PO000202,MAT014,SUP006,2022-01-28,90,2022-02-06,2022-02-06,90.0,11.41,1026.9,1026.9,On Time,Complete,Completed
