date,material_id,beginning_inventory,demand,replenishment,ending_inventory
2022-01-02,MAT044,59,30,0,29
2022-01-02,MAT045,43,0,0,43
2022-01-02,MAT046,171,118,200,253
2022-01-02,MAT047,36,0,0,36
2022-01-02,MAT048,215,16,0,199
2022-01-02,MAT049,53,0,0,53
2022-01-02,MAT050,71,25,60,106
2022-01-03,MAT001,43,55,200,188
2022-01-03,MAT002,370,41,0,329
2022-01-03,MAT003,58,80,120,98
2022-01-03,MAT004,210,0,0,210
2022-01-03,MAT005,97,28,0,69
2022-01-03,MAT006,157,0,0,157
2022-01-03,MAT007,149,15,0,134
2022-01-03,MAT008,146,29,0,117
2022-01-03,MAT009,192,0,0,192
2022-01-03,MAT010,141,15,0,126
2022-01-03,MAT011,85,0,0,85
2022-01-03,MAT012,114,0,0,114
2022-01-03,MAT013,106,14,0,92
2022-01-03,MAT014,43,200,200,43
2022-01-03,MAT015,84,16,0,68
2022-01-03,MAT016,75,0,0,75
2022-01-03,MAT017,45,67,205,183
2022-01-03,MAT018,288,41,0,247
2022-01-03,MAT019,314,47,0,267
2022-01-03,MAT020,53,15,0,38
2022-01-03,MAT021,104,0,0,104
2022-01-03,MAT022,44,0,0,44
2022-01-03,MAT023,176,100,180,256
2022-01-03,MAT024,168,102,200,266
2022-01-03,MAT025,34,12,0,22
2022-01-03,MAT026,80,37,0,43
2022-01-03,MAT027,332,84,0,248
2022-01-03,MAT028,168,0,0,168
2022-01-03,MAT029,55,9,0,46
2022-01-03,MAT030,65,44,108,129
2022-01-03,MAT031,35,0,0,35
2022-01-03,MAT032,184,31,0,153
2022-01-03,MAT033,217,20,0,197
2022-01-03,MAT034,217,33,0,184
2022-01-03,MAT035,68,0,0,68
2022-01-03,MAT036,162,38,0,124
2022-01-03,MAT037,97,25,0,72
2022-01-03,MAT038,83,40,100,143
2022-01-03,MAT039,214,20,0,194
2022-01-03,MAT040,134,0,0,134
2022-01-03,MAT041,75,23,190,242
2022-01-03,MAT042,65,0,0,65
2022-01-03,MAT043,25,0,0,25
2022-01-03,MAT044,29,23,100,106
2022-01-03,MAT045,43,89,200,154
2022-01-03,MAT046,253,111,0,142
2022-01-03,MAT047,36,0,0,36
2022-01-03,MAT048,199,20,0,179
2022-01-03,MAT049,53,0,0,53
2022-01-03,MAT050,106,32,0,74
2022-01-04,MAT001,188,62,0,126
2022-01-04,MAT002,329,0,0,329
2022-01-04,MAT003,98,9,0,89
2022-01-04,MAT004,210,0,0,210
2022-01-04,MAT005,69,0,0,69
2022-01-04,MAT006,157,41,0,116
2022-01-04,MAT007,134,20,0,114
2022-01-04,MAT008,117,216,250,151
2022-01-04,MAT009,192,0,0,192
2022-01-04,MAT010,126,12,0,114
2022-01-04,MAT011,85,0,0,85
2022-01-04,MAT012,114,12,0,102
2022-01-04,MAT013,92,0,0,92
2022-01-04,MAT014,43,0,0,43
2022-01-04,MAT015,68,0,0,68
2022-01-04,MAT016,75,14,220,281
2022-01-04,MAT017,183,0,0,183
2022-01-04,MAT018,247,56,0,191
2022-01-04,MAT019,267,51,0,216
2022-01-04,MAT020,38,0,0,38
2022-01-04,MAT021,104,0,0,104
2022-01-04,MAT022,44,13,0,31
2022-01-04,MAT023,256,0,0,256
2022-01-04,MAT024,266,29,0,237
2022-01-04,MAT025,22,11,40,51
2022-01-04,MAT026,43,0,0,43
2022-01-04,MAT027,248,69,0,179
2022-01-04,MAT028,168,0,0,168
2022-01-04,MAT029,46,1,0,45
2022-01-04,MAT030,129,0,0,129
2022-01-04,MAT031,35,30,100,105
2022-01-04,MAT032,153,0,0,153
2022-01-04,MAT033,197,6,0,191
2022-01-04,MAT034,184,0,0,184
2022-01-04,MAT035,68,0,0,68
2022-01-04,MAT036,124,0,0,124
2022-01-04,MAT037,72,0,0,72
2022-01-04,MAT038,143,35,0,108
2022-01-04,MAT039,194,20,0,174
2022-01-04,MAT040,134,0,0,134
2022-01-04,MAT041,242,0,0,242
2022-01-04,MAT042,65,0,0,65
2022-01-04,MAT043,25,0,0,25
2022-01-04,MAT044,106,26,0,80
2022-01-04,MAT045,154,90,0,64
2022-01-04,MAT046,142,98,130,174
2022-01-04,MAT047,36,25,50,61
2022-01-04,MAT048,179,11,0,168
2022-01-04,MAT049,53,4,0,49
2022-01-04,MAT050,74,25,60,109
2022-01-05,MAT001,126,49,0,77
2022-01-05,MAT002,329,54,0,275
2022-01-05,MAT003,89,10,0,79
2022-01-05,MAT004,210,0,0,210
2022-01-05,MAT005,69,0,0,69
2022-01-05,MAT006,116,0,0,116
2022-01-05,MAT007,114,0,0,114
2022-01-05,MAT008,151,29,0,122
2022-01-05,MAT009,192,0,0,192
2022-01-05,MAT010,114,5,0,109
2022-01-05,MAT011,85,50,0,35
2022-01-05,MAT012,102,10,0,92
2022-01-05,MAT013,92,40,0,52
2022-01-05,MAT014,43,0,0,43
2022-01-05,MAT015,68,73,80,75
2022-01-05,MAT016,281,0,0,281
2022-01-05,MAT017,183,0,0,183
2022-01-05,MAT018,191,29,0,162
2022-01-05,MAT019,216,32,0,184
2022-01-05,MAT020,38,9,100,129
2022-01-05,MAT021,104,0,0,104
2022-01-05,MAT022,31,3,0,28
2022-01-05,MAT023,256,0,0,256
2022-01-05,MAT024,237,22,0,215
2022-01-05,MAT025,51,1,0,50
2022-01-05,MAT026,43,0,0,43
2022-01-05,MAT027,179,36,0,143
2022-01-05,MAT028,168,0,0,168
2022-01-05,MAT029,45,1,0,44
2022-01-05,MAT030,129,0,0,129
2022-01-05,MAT031,105,19,0,86
2022-01-05,MAT032,153,0,0,153
2022-01-05,MAT033,191,22,0,169
2022-01-05,MAT034,184,33,0,151
2022-01-05,MAT035,68,0,0,68
2022-01-05,MAT036,124,71,135,188
2022-01-05,MAT037,72,0,0,72
2022-01-05,MAT038,108,0,0,108
2022-01-05,MAT039,174,13,0,161
2022-01-05,MAT040,134,0,0,134
2022-01-05,MAT041,242,0,0,242
2022-01-05,MAT042,65,0,0,65
2022-01-05,MAT043,25,18,25,32
2022-01-05,MAT044,80,32,0,48
2022-01-05,MAT045,64,0,0,64
2022-01-05,MAT046,174,0,0,174
2022-01-05,MAT047,61,0,0,61
2022-01-05,MAT048,168,0,0,168
2022-01-05,MAT049,49,0,0,49
2022-01-05,MAT050,109,32,0,77
2022-01-06,MAT001,77,50,0,27
2022-01-06,MAT002,275,43,0,232
2022-01-06,MAT003,79,11,0,68
2022-01-06,MAT004,210,20,0,190
2022-01-06,MAT005,69,31,0,38
2022-01-06,MAT006,116,0,0,116
2022-01-06,MAT007,114,18,0,96
2022-01-06,MAT008,122,32,0,90
2022-01-06,MAT009,192,38,0,154
2022-01-06,MAT010,109,7,0,102
2022-01-06,MAT011,35,0,0,35
2022-01-06,MAT012,92,0,0,92
2022-01-06,MAT013,52,32,100,120
2022-01-06,MAT014,43,36,50,57
2022-01-06,MAT015,75,65,140,150
2022-01-06,MAT016,281,8,0,273
2022-01-06,MAT017,183,0,0,183
2022-01-06,MAT018,162,18,0,144
2022-01-06,MAT019,184,63,0,121
2022-01-06,MAT020,129,0,0,129
2022-01-06,MAT021,104,0,0,104
2022-01-06,MAT022,28,17,0,11
2022-01-06,MAT023,256,0,0,256
2022-01-06,MAT024,215,15,0,200
2022-01-06,MAT025,50,8,0,42
2022-01-06,MAT026,43,53,200,190
2022-01-06,MAT027,143,0,0,143
2022-01-06,MAT028,168,0,0,168
2022-01-06,MAT029,44,7,115,152
2022-01-06,MAT030,129,18,0,111
2022-01-06,MAT031,86,0,0,86
2022-01-06,MAT032,153,0,0,153
2022-01-06,MAT033,169,16,0,153
2022-01-06,MAT034,151,42,0,109
2022-01-06,MAT035,68,0,0,68
2022-01-06,MAT036,188,47,0,141
2022-01-06,MAT037,72,17,81,136
2022-01-06,MAT038,108,13,0,95
2022-01-06,MAT039,161,16,0,145
2022-01-06,MAT040,134,16,0,118
2022-01-06,MAT041,242,0,0,242
2022-01-06,MAT042,65,0,0,65
2022-01-06,MAT043,32,0,0,32
2022-01-06,MAT044,48,29,0,19
2022-01-06,MAT045,64,0,0,64
2022-01-06,MAT046,174,23,0,151
2022-01-06,MAT047,61,0,0,61
2022-01-06,MAT048,168,14,0,154
2022-01-06,MAT049,49,0,0,49
2022-01-06,MAT050,77,24,0,53
2022-01-07,MAT001,27,65,200,162
2022-01-07,MAT002,232,39,0,193
2022-01-07,MAT003,68,0,0,68
2022-01-07,MAT004,190,0,0,190
2022-01-07,MAT005,38,0,0,38
2022-01-07,MAT006,116,0,0,116
2022-01-07,MAT007,96,0,0,96
2022-01-07,MAT008,90,36,150,204
2022-01-07,MAT009,154,0,0,154
2022-01-07,MAT010,102,5,0,97
2022-01-07,MAT011,35,0,0,35
2022-01-07,MAT012,92,0,0,92
2022-01-07,MAT013,120,0,0,120
2022-01-07,MAT014,57,50,20,27
2022-01-07,MAT015,150,25,0,125
2022-01-07,MAT016,273,2,0,271
2022-01-07,MAT017,183,0,0,183
2022-01-07,MAT018,144,15,0,129
2022-01-07,MAT019,121,61,150,210
2022-01-07,MAT020,129,0,0,129
2022-01-07,MAT021,104,36,120,188
2022-01-07,MAT022,11,0,0,11
2022-01-07,MAT023,256,0,0,256
2022-01-07,MAT024,200,0,0,200
2022-01-07,MAT025,42,0,0,42
2022-01-07,MAT026,190,41,0,149
2022-01-07,MAT027,143,36,0,107
2022-01-07,MAT028,168,0,0,168
2022-01-07,MAT029,152,1,0,151
2022-01-07,MAT030,111,0,0,111
2022-01-07,MAT031,86,0,0,86
2022-01-07,MAT032,153,0,0,153
2022-01-07,MAT033,153,18,0,135
2022-01-07,MAT034,109,43,0,66
2022-01-07,MAT035,68,0,0,68
2022-01-07,MAT036,141,52,100,189
2022-01-07,MAT037,136,0,0,136
2022-01-07,MAT038,95,22,0,73
2022-01-07,MAT039,145,21,0,124
2022-01-07,MAT040,118,13,0,105
2022-01-07,MAT041,242,25,0,217
2022-01-07,MAT042,65,0,0,65
2022-01-07,MAT043,32,0,0,32
2022-01-07,MAT044,19,28,100,91
2022-01-07,MAT045,64,68,100,96
2022-01-07,MAT046,151,66,0,85
2022-01-07,MAT047,61,0,0,61
2022-01-07,MAT048,154,11,0,143
2022-01-07,MAT049,49,0,0,49
2022-01-07,MAT050,53,12,180,221
2022-01-08,MAT001,162,59,0,103
2022-01-08,MAT002,193,55,0,138
2022-01-08,MAT003,68,0,0,68
2022-01-08,MAT004,190,0,0,190
2022-01-08,MAT005,38,0,0,38
2022-01-08,MAT006,116,0,0,116
2022-01-08,MAT007,96,13,0,83
2022-01-08,MAT008,204,28,0,176
2022-01-08,MAT009,154,36,0,118
2022-01-08,MAT010,97,0,0,97
2022-01-08,MAT011,35,0,0,35
2022-01-08,MAT012,92,0,0,92
2022-01-08,MAT013,120,0,0,120
2022-01-08,MAT014,27,0,0,27
2022-01-08,MAT015,125,45,0,80
2022-01-08,MAT016,271,9,0,262
2022-01-08,MAT017,183,0,0,183
2022-01-08,MAT018,129,20,0,109
2022-01-08,MAT019,210,0,0,210
2022-01-08,MAT020,129,0,0,129
2022-01-08,MAT021,188,0,0,188
2022-01-08,MAT022,11,0,0,11
2022-01-08,MAT023,256,40,0,216
2022-01-08,MAT024,200,12,0,188
2022-01-08,MAT025,42,7,0,35
2022-01-08,MAT026,149,44,0,105
2022-01-08,MAT027,107,39,100,168
2022-01-08,MAT028,168,0,0,168
2022-01-08,MAT029,151,0,0,151
2022-01-08,MAT030,111,0,0,111
2022-01-08,MAT031,86,0,0,86
2022-01-08,MAT032,153,34,0,119
2022-01-08,MAT033,135,14,0,121
2022-01-08,MAT034,66,50,100,116
2022-01-08,MAT035,68,0,0,68
2022-01-08,MAT036,189,67,0,122
2022-01-08,MAT037,136,0,0,136
2022-01-08,MAT038,73,0,0,73
2022-01-08,MAT039,124,0,0,124
2022-01-08,MAT040,105,0,0,105
2022-01-08,MAT041,217,0,0,217
2022-01-08,MAT042,65,0,0,65
2022-01-08,MAT043,32,20,20,32
2022-01-08,MAT044,91,30,0,61
2022-01-08,MAT045,96,52,0,44
2022-01-08,MAT046,85,44,300,341
2022-01-08,MAT047,61,0,0,61
2022-01-08,MAT048,143,7,0,136
2022-01-08,MAT049,49,0,0,49
2022-01-08,MAT050,221,5,0,216
2022-01-09,MAT001,103,49,0,54
2022-01-09,MAT002,138,69,300,369
2022-01-09,MAT003,68,9,0,59
2022-01-09,MAT004,190,20,0,170
2022-01-09,MAT005,38,0,0,38
2022-01-09,MAT006,116,0,0,116
2022-01-09,MAT007,83,0,0,83
2022-01-09,MAT008,176,25,0,151
2022-01-09,MAT009,118,0,0,118
2022-01-09,MAT010,97,6,0,91
2022-01-09,MAT011,35,27,60,68
2022-01-09,MAT012,92,11,0,81
2022-01-09,MAT013,120,45,0,75
2022-01-09,MAT014,27,0,0,27
2022-01-09,MAT015,80,29,0,51
2022-01-09,MAT016,262,9,0,253
2022-01-09,MAT017,183,0,0,183
2022-01-09,MAT018,109,28,0,81
2022-01-09,MAT019,210,32,0,178
2022-01-09,MAT020,129,0,0,129
2022-01-09,MAT021,188,0,0,188
2022-01-09,MAT022,11,30,41,22
2022-01-09,MAT023,216,0,0,216
2022-01-09,MAT024,188,0,0,188
2022-01-09,MAT025,35,6,0,29
2022-01-09,MAT026,105,48,0,57
2022-01-09,MAT027,168,42,0,126
2022-01-09,MAT028,168,0,0,168
2022-01-09,MAT029,151,8,0,143
2022-01-09,MAT030,111,0,0,111
2022-01-09,MAT031,86,29,0,57
2022-01-09,MAT032,119,0,0,119
2022-01-09,MAT033,121,8,0,113
2022-01-09,MAT034,116,42,0,74
2022-01-09,MAT035,68,0,0,68
2022-01-09,MAT036,122,52,305,375
2022-01-09,MAT037,136,0,0,136
2022-01-09,MAT038,73,13,100,160
2022-01-09,MAT039,124,19,0,105
2022-01-09,MAT040,105,0,0,105
2022-01-09,MAT041,217,0,0,217
2022-01-09,MAT042,65,0,0,65
2022-01-09,MAT043,32,0,0,32
2022-01-09,MAT044,61,30,0,31
2022-01-09,MAT045,44,0,0,44
2022-01-09,MAT046,341,0,0,341
2022-01-09,MAT047,61,0,0,61
2022-01-09,MAT048,136,6,0,130
2022-01-09,MAT049,49,0,0,49
2022-01-09,MAT050,216,19,0,197
2022-01-10,MAT001,54,58,100,96
2022-01-10,MAT002,369,56,0,313
2022-01-10,MAT003,59,0,0,59
2022-01-10,MAT004,170,0,0,170
2022-01-10,MAT005,38,0,0,38
2022-01-10,MAT006,116,0,0,116
2022-01-10,MAT007,83,24,0,59
2022-01-10,MAT008,151,34,0,117
2022-01-10,MAT009,118,40,0,78
2022-01-10,MAT010,91,0,0,91
2022-01-10,MAT011,68,0,0,68
2022-01-10,MAT012,81,0,0,81
2022-01-10,MAT013,75,0,0,75
2022-01-10,MAT014,27,0,0,27
2022-01-10,MAT015,51,23,120,148
2022-01-10,MAT016,253,45,0,208
2022-01-10,MAT017,183,0,0,183
2022-01-10,MAT018,81,18,80,143
2022-01-10,MAT019,178,360,400,218
2022-01-10,MAT020,129,0,0,129
2022-01-10,MAT021,188,0,0,188
2022-01-10,MAT022,22,0,0,22
2022-01-10,MAT023,216,74,0,142
2022-01-10,MAT024,188,35,0,153
2022-01-10,MAT025,29,0,0,29
2022-01-10,MAT026,57,48,100,109
2022-01-10,MAT027,126,27,0,99
2022-01-10,MAT028,168,0,0,168
2022-01-10,MAT029,143,56,0,87
2022-01-10,MAT030,111,0,0,111
2022-01-10,MAT031,57,0,0,57
2022-01-10,MAT032,119,44,290,365
2022-01-10,MAT033,113,24,200,289
2022-01-10,MAT034,74,32,0,42
2022-01-10,MAT035,68,14,0,54
2022-01-10,MAT036,375,50,0,325
2022-01-10,MAT037,136,0,0,136
2022-01-10,MAT038,160,25,0,135
2022-01-10,MAT039,105,20,0,85
2022-01-10,MAT040,105,0,0,105
2022-01-10,MAT041,217,0,0,217
2022-01-10,MAT042,65,0,0,65
2022-01-10,MAT043,32,0,0,32
2022-01-10,MAT044,31,32,50,49
2022-01-10,MAT045,44,75,200,169
2022-01-10,MAT046,341,18,0,323
2022-01-10,MAT047,61,28,0,33
2022-01-10,MAT048,130,0,0,130
2022-01-10,MAT049,49,0,0,49
2022-01-10,MAT050,197,11,0,186
2022-01-11,MAT001,96,51,0,45
2022-01-11,MAT002,313,0,0,313
2022-01-11,MAT003,59,12,0,47
2022-01-11,MAT004,170,99,0,71
2022-01-11,MAT005,38,0,0,38
2022-01-11,MAT006,116,0,0,116
2022-01-11,MAT007,59,0,0,59
2022-01-11,MAT008,117,26,0,91
2022-01-11,MAT009,78,0,0,78
2022-01-11,MAT010,91,0,0,91
2022-01-11,MAT011,68,0,0,68
2022-01-11,MAT012,81,12,0,69
2022-01-11,MAT013,75,37,0,38
2022-01-11,MAT014,27,42,70,55
2022-01-11,MAT015,148,0,0,148
2022-01-11,MAT016,208,0,0,208
2022-01-11,MAT017,183,0,0,183
2022-01-11,MAT018,143,13,0,130
2022-01-11,MAT019,218,0,0,218
2022-01-11,MAT020,129,0,0,129
2022-01-11,MAT021,188,0,0,188
2022-01-11,MAT022,22,0,0,22
2022-01-11,MAT023,142,0,0,142
2022-01-11,MAT024,153,32,0,121
2022-01-11,MAT025,29,6,0,23
2022-01-11,MAT026,109,0,0,109
2022-01-11,MAT027,99,45,190,244
2022-01-11,MAT028,168,0,0,168
2022-01-11,MAT029,87,8,0,79
2022-01-11,MAT030,111,0,0,111
2022-01-11,MAT031,57,0,0,57
2022-01-11,MAT032,365,0,0,365
2022-01-11,MAT033,289,24,0,265
2022-01-11,MAT034,42,41,200,201
2022-01-11,MAT035,54,0,0,54
2022-01-11,MAT036,325,42,0,283
2022-01-11,MAT037,136,28,0,108
2022-01-11,MAT038,135,15,0,120
2022-01-11,MAT039,85,32,0,53
2022-01-11,MAT040,105,8,0,97
2022-01-11,MAT041,217,0,0,217
2022-01-11,MAT042,65,0,0,65
2022-01-11,MAT043,32,0,0,32
2022-01-11,MAT044,49,25,0,24
2022-01-11,MAT045,169,32,0,137
2022-01-11,MAT046,323,82,0,241
2022-01-11,MAT047,33,0,0,33
2022-01-11,MAT048,130,0,0,130
2022-01-11,MAT049,49,0,0,49
2022-01-11,MAT050,186,22,0,164
2022-01-12,MAT001,45,51,100,94
2022-01-12,MAT002,313,90,0,223
2022-01-12,MAT003,47,10,0,37
2022-01-12,MAT004,71,35,200,236
2022-01-12,MAT005,38,270,300,68
2022-01-12,MAT006,116,49,300,367
2022-01-12,MAT007,59,0,0,59
2022-01-12,MAT008,91,30,0,61
2022-01-12,MAT009,78,0,0,78
2022-01-12,MAT010,91,6,0,85
2022-01-12,MAT011,68,0,0,68
2022-01-12,MAT012,69,0,0,69
2022-01-12,MAT013,38,0,0,38
2022-01-12,MAT014,55,0,0,55
2022-01-12,MAT015,148,0,0,148
2022-01-12,MAT016,208,0,0,208
2022-01-12,MAT017,183,0,0,183
2022-01-12,MAT018,130,9,0,121
2022-01-12,MAT019,218,58,0,160
2022-01-12,MAT020,129,4,0,125
2022-01-12,MAT021,188,47,0,141
2022-01-12,MAT022,22,25,36,33
2022-01-12,MAT023,142,0,0,142
2022-01-12,MAT024,121,16,0,105
2022-01-12,MAT025,23,7,0,16
2022-01-12,MAT026,109,43,0,66
2022-01-12,MAT027,244,48,0,196
2022-01-12,MAT028,168,0,0,168
2022-01-12,MAT029,79,8,0,71
2022-01-12,MAT030,111,0,0,111
2022-01-12,MAT031,57,0,0,57
2022-01-12,MAT032,365,30,0,335
2022-01-12,MAT033,265,16,0,249
2022-01-12,MAT034,201,0,0,201
2022-01-12,MAT035,54,0,0,54
2022-01-12,MAT036,283,42,0,241
2022-01-12,MAT037,108,0,0,108
2022-01-12,MAT038,120,0,0,120
2022-01-12,MAT039,53,21,200,232
2022-01-12,MAT040,97,0,0,97
2022-01-12,MAT041,217,0,0,217
2022-01-12,MAT042,65,0,0,65
2022-01-12,MAT043,32,15,0,17
2022-01-12,MAT044,24,26,50,48
2022-01-12,MAT045,137,42,0,95
2022-01-12,MAT046,241,51,0,190
2022-01-12,MAT047,33,0,0,33
2022-01-12,MAT048,130,0,0,130
2022-01-12,MAT049,49,0,0,49
2022-01-12,MAT050,164,16,0,148
2022-01-13,MAT001,94,57,0,37
2022-01-13,MAT002,223,24,0,199
2022-01-13,MAT003,37,11,0,26
2022-01-13,MAT004,236,0,0,236
2022-01-13,MAT005,68,29,0,39
2022-01-13,MAT006,367,63,0,304
2022-01-13,MAT007,59,23,100,136
2022-01-13,MAT008,61,31,200,230
2022-01-13,MAT009,78,0,0,78
2022-01-13,MAT010,85,5,0,80
2022-01-13,MAT011,68,0,0,68
2022-01-13,MAT012,69,10,0,59
2022-01-13,MAT013,38,0,0,38
2022-01-13,MAT014,55,45,40,50
2022-01-13,MAT015,148,22,0,126
2022-01-13,MAT016,208,0,0,208
2022-01-13,MAT017,183,63,0,120
2022-01-13,MAT018,121,11,0,110
2022-01-13,MAT019,160,22,0,138
2022-01-13,MAT020,125,0,0,125
2022-01-13,MAT021,141,0,0,141
2022-01-13,MAT022,33,0,0,33
2022-01-13,MAT023,142,0,0,142
2022-01-13,MAT024,105,17,0,88
2022-01-13,MAT025,16,4,50,62
2022-01-13,MAT026,66,55,100,111
2022-01-13,MAT027,196,40,0,156
2022-01-13,MAT028,168,0,0,168
2022-01-13,MAT029,71,6,0,65
2022-01-13,MAT030,111,0,0,111
2022-01-13,MAT031,57,0,0,57
2022-01-13,MAT032,335,22,0,313
2022-01-13,MAT033,249,22,0,227
2022-01-13,MAT034,201,370,300,131
2022-01-13,MAT035,54,0,0,54
2022-01-13,MAT036,241,110,0,131
2022-01-13,MAT037,108,0,0,108
2022-01-13,MAT038,120,25,0,95
2022-01-13,MAT039,232,22,0,210
2022-01-13,MAT040,97,0,0,97
2022-01-13,MAT041,217,5,0,212
2022-01-13,MAT042,65,0,0,65
2022-01-13,MAT043,17,0,0,17
2022-01-13,MAT044,48,24,0,24
2022-01-13,MAT045,95,67,0,28
2022-01-13,MAT046,190,61,0,129
2022-01-13,MAT047,33,0,0,33
2022-01-13,MAT048,130,1,0,129
2022-01-13,MAT049,49,12,50,87
2022-01-13,MAT050,148,31,0,117
2022-01-14,MAT001,37,41,100,96
2022-01-14,MAT002,199,38,0,161
2022-01-14,MAT003,26,11,80,95
2022-01-14,MAT004,236,0,0,236
2022-01-14,MAT005,39,0,0,39
2022-01-14,MAT006,304,0,0,304
2022-01-14,MAT007,136,0,0,136
2022-01-14,MAT008,230,0,0,230
2022-01-14,MAT009,78,40,250,288
2022-01-14,MAT010,80,4,0,76
2022-01-14,MAT011,68,0,0,68
2022-01-14,MAT012,59,0,0,59
2022-01-14,MAT013,38,61,180,157
2022-01-14,MAT014,50,0,0,50
2022-01-14,MAT015,126,0,0,126
2022-01-14,MAT016,208,9,0,199
2022-01-14,MAT017,120,0,0,120
2022-01-14,MAT018,110,25,0,85
2022-01-14,MAT019,138,90,350,398
2022-01-14,MAT020,125,0,0,125
2022-01-14,MAT021,141,0,0,141
2022-01-14,MAT022,33,0,0,33
2022-01-14,MAT023,142,77,100,165
2022-01-14,MAT024,88,11,300,377
2022-01-14,MAT025,62,7,0,55
2022-01-14,MAT026,111,44,0,67
2022-01-14,MAT027,156,31,0,125
2022-01-14,MAT028,168,0,0,168
2022-01-14,MAT029,65,4,0,61
2022-01-14,MAT030,111,14,0,97
2022-01-14,MAT031,57,0,0,57
2022-01-14,MAT032,313,0,0,313
2022-01-14,MAT033,227,17,0,210
2022-01-14,MAT034,131,48,0,83
2022-01-14,MAT035,54,0,0,54
2022-01-14,MAT036,131,0,0,131
2022-01-14,MAT037,108,22,0,86
2022-01-14,MAT038,95,24,0,71
2022-01-14,MAT039,210,22,0,188
2022-01-14,MAT040,97,10,0,87
2022-01-14,MAT041,212,0,0,212
2022-01-14,MAT042,65,0,0,65
2022-01-14,MAT043,17,24,40,33
2022-01-14,MAT044,24,27,100,97
2022-01-14,MAT045,28,50,100,78
2022-01-14,MAT046,129,41,0,88
2022-01-14,MAT047,33,34,100,99
