name,historical_period,building_type,administrative_region,latitude,longitude,protection_batch,construction_year,preservation_status,architectural_style,floor_area,height,description
杭州市东戏台,宋朝,戏台,浙江省杭州市,27.60184895005546,103.10159085102123,6,1071,一般,传统建筑风格,4685.936098432856,14.336910628208239,这是一座建于宋朝（公元1071年）的戏台，位于浙江省杭州市，建筑风格为传统建筑风格。建筑面积4685平方米，高14米，目前保存状况一般。
苏州市中庙宇,元朝,庙宇,江苏省苏州市,28.036806971205237,106.32186293968525,6,1285,较差,传统建筑风格,686.2095940958741,16.069987731210112,这是一座建于元朝（公元1285年）的庙宇，位于江苏省苏州市，建筑风格为传统建筑风格。建筑面积686平方米，高16米，目前保存状况较差。
绍兴市南官邸,宋朝,官邸,浙江省绍兴市,29.16580185893553,109.90318541529516,2,1098,较好,传统建筑风格,2252.578698859295,11.257507717014327,这是一座建于宋朝（公元1098年）的官邸，位于浙江省绍兴市，建筑风格为传统建筑风格。建筑面积2252平方米，高11米，目前保存状况较好。是第2批重点文物保护单位。
湖州市西民居,元朝,民居,浙江省湖州市,22.81583396203522,111.69954910376025,1,1333,完好,福建土楼风格,445.5516835987993,11.042406070931698,这是一座建于元朝（公元1333年）的民居，位于浙江省湖州市，建筑风格为福建土楼风格。建筑面积445平方米，高11米，目前保存状况完好。是第1批重点文物保护单位。
漳州市中桥梁,元朝,桥梁,福建省漳州市,21.128916292114685,102.07802364547159,1,1360,完好,传统建筑风格,3570.030551640139,16.812933531187724,这是一座建于元朝（公元1360年）的桥梁，位于福建省漳州市，建筑风格为传统建筑风格。建筑面积3570平方米，高16米，目前保存状况完好。是第1批重点文物保护单位。
西城区北古城墙,元朝,古城墙,北京市西城区,27.741315637495383,117.85689739495622,7,1301,一般,地方特色风格,3054.5035474657916,8.760624460681665,这是一座建于元朝（公元1301年）的古城墙，位于北京市西城区，建筑风格为地方特色风格。建筑面积3054平方米，高8米，目前保存状况一般。
西城区东官邸,元朝,官邸,北京市西城区,35.67294550975187,113.55106036944954,7,1283,一般,地方特色风格,3681.6740817833465,9.224435825307033,这是一座建于元朝（公元1283年）的官邸，位于北京市西城区，建筑风格为地方特色风格。建筑面积3681平方米，高9米，目前保存状况一般。
宁波市北书院,唐朝,书院,浙江省宁波市,30.708066569399378,117.83289765379085,4,669,完好,传统建筑风格,2593.373847875619,17.20156029642114,这是一座建于唐朝（公元669年）的书院，位于浙江省宁波市，建筑风格为传统建筑风格。建筑面积2593平方米，高17米，目前保存状况完好。是第4批重点文物保护单位。
汉中市东钟楼,元朝,钟楼,陕西省汉中市,32.199728176805,107.33378988951658,3,1294,完好,地方特色风格,4383.269143522799,12.255497583798984,这是一座建于元朝（公元1294年）的钟楼，位于陕西省汉中市，建筑风格为地方特色风格。建筑面积4383平方米，高12米，目前保存状况完好。是第3批重点文物保护单位。
海淀区东城门,明朝,城门,北京市海淀区,35.57457628640908,102.0822434802617,1,1447,较好,传统建筑风格,2178.4249591305534,8.757792998729602,这是一座建于明朝（公元1447年）的城门，位于北京市海淀区，建筑风格为传统建筑风格。建筑面积2178平方米，高8米，目前保存状况较好。是第1批重点文物保护单位。
杭州市东牌坊,宋朝,牌坊,浙江省杭州市,39.2038775141937,100.40855579305664,6,1168,一般,传统建筑风格,1242.5002506935257,9.33398863960645,这是一座建于宋朝（公元1168年）的牌坊，位于浙江省杭州市，建筑风格为传统建筑风格。建筑面积1242平方米，高9米，目前保存状况一般。
太原市北桥梁,明朝,桥梁,山西省太原市,34.812999895301814,111.44736956247313,7,1515,完好,地方特色风格,4108.5659019457935,17.392573308671302,这是一座建于明朝（公元1515年）的桥梁，位于山西省太原市，建筑风格为地方特色风格。建筑面积4108平方米，高17米，目前保存状况完好。
漳州市中祠堂,唐朝,祠堂,福建省漳州市,38.63653278969955,102.61954014529518,3,855,完好,岭南祠堂风格,1084.473229885958,6.59069903104646,这是一座建于唐朝（公元855年）的祠堂，位于福建省漳州市，建筑风格为岭南祠堂风格。建筑面积1084平方米，高6米，目前保存状况完好。是第3批重点文物保护单位。
南京市北鼓楼,唐朝,鼓楼,江苏省南京市,23.702614824566048,119.44484037192709,1,897,完好,地方特色风格,1570.297525421847,10.081390732713924,这是一座建于唐朝（公元897年）的鼓楼，位于江苏省南京市，建筑风格为地方特色风格。建筑面积1570平方米，高10米，目前保存状况完好。是第1批重点文物保护单位。
太原市西塔楼,宋朝,塔楼,山西省太原市,37.61975157895602,119.89062457607753,3,1173,完好,地方特色风格,4425.765748497346,8.460696870942263,这是一座建于宋朝（公元1173年）的塔楼，位于山西省太原市，建筑风格为地方特色风格。建筑面积4425平方米，高8米，目前保存状况完好。是第3批重点文物保护单位。
福州市南道观,清朝,道观,福建省福州市,26.325459248023254,115.58651164329322,7,1655,完好,传统建筑风格,3011.4472486151985,14.801335840810228,这是一座建于清朝（公元1655年）的道观，位于福建省福州市，建筑风格为传统建筑风格。建筑面积3011平方米，高14米，目前保存状况完好。
西安市东祠堂,明朝,祠堂,陕西省西安市,28.057066771545358,115.45049373020436,8,1607,较好,岭南祠堂风格,739.1464406377626,6.6717288837222455,这是一座建于明朝（公元1607年）的祠堂，位于陕西省西安市，建筑风格为岭南祠堂风格。建筑面积739平方米，高6米，目前保存状况较好。
绍兴市北宫殿,清朝,宫殿,浙江省绍兴市,26.948717924627545,111.36744005278632,6,1654,较好,重檐歇山顶风格,13110.318557060024,29.554408232750095,这是一座建于清朝（公元1654年）的宫殿，位于浙江省绍兴市，建筑风格为重檐歇山顶风格。建筑面积13110平方米，高29米，目前保存状况较好。
湖州市北官邸,宋朝,官邸,浙江省湖州市,27.608521015870455,115.54877508824414,2,964,完好,传统建筑风格,3389.3037553406143,18.2111568966461,这是一座建于宋朝（公元964年）的官邸，位于浙江省湖州市，建筑风格为传统建筑风格。建筑面积3389平方米，高18米，目前保存状况完好。是第2批重点文物保护单位。
泉州市西塔楼,明朝,塔楼,福建省泉州市,21.20266770525181,110.59410236755926,1,1480,较好,传统建筑风格,3220.938998064422,8.302248291881124,这是一座建于明朝（公元1480年）的塔楼，位于福建省泉州市，建筑风格为传统建筑风格。建筑面积3220平方米，高8米，目前保存状况较好。是第1批重点文物保护单位。
扬州市西牌坊,元朝,牌坊,江苏省扬州市,21.023847609975057,114.75659887885273,1,1351,较好,地方特色风格,3843.694017094912,19.615566207405116,这是一座建于元朝（公元1351年）的牌坊，位于江苏省扬州市，建筑风格为地方特色风格。建筑面积3843平方米，高19米，目前保存状况较好。是第1批重点文物保护单位。
厦门市西会馆,唐朝,会馆,福建省厦门市,25.188966495405765,101.63539243927792,2,831,较好,传统建筑风格,3535.2062308362097,13.2131425705393,这是一座建于唐朝（公元831年）的会馆，位于福建省厦门市，建筑风格为传统建筑风格。建筑面积3535平方米，高13米，目前保存状况较好。是第2批重点文物保护单位。
厦门市东寺庙,宋朝,寺庙,福建省厦门市,21.0012958988909,117.55356881052464,8,1181,较差,唐代佛寺风格,15346.570874613104,23.687290337291792,这是一座建于宋朝（公元1181年）的寺庙，位于福建省厦门市，建筑风格为唐代佛寺风格。建筑面积15346平方米，高23米，目前保存状况较差。
泉州市西庙宇,元朝,庙宇,福建省泉州市,38.43696555259648,114.51444556615891,2,1318,较好,地方特色风格,2982.6630661869467,15.318451451084362,这是一座建于元朝（公元1318年）的庙宇，位于福建省泉州市，建筑风格为地方特色风格。建筑面积2982平方米，高15米，目前保存状况较好。是第2批重点文物保护单位。
东城区南戏台,清朝,戏台,北京市东城区,33.41644533913831,106.20678075015715,7,1810,完好,地方特色风格,1597.9715582447616,15.622433547364189,这是一座建于清朝（公元1810年）的戏台，位于北京市东城区，建筑风格为地方特色风格。建筑面积1597平方米，高15米，目前保存状况完好。
延安市东宫殿,明朝,宫殿,陕西省延安市,29.151513882415614,116.09181085156959,6,1527,完好,宫廷建筑风格,22467.503669359747,23.304785411939832,这是一座建于明朝（公元1527年）的宫殿，位于陕西省延安市，建筑风格为宫廷建筑风格。建筑面积22467平方米，高23米，目前保存状况完好。
镇江市北古城墙,清朝,古城墙,江苏省镇江市,39.92779104819408,105.2866686774794,8,1763,完好,地方特色风格,3941.35748075289,8.434284997875885,这是一座建于清朝（公元1763年）的古城墙，位于江苏省镇江市，建筑风格为地方特色风格。建筑面积3941平方米，高8米，目前保存状况完好。
西城区南寺庙,明朝,寺庙,北京市西城区,39.47300302540744,110.56168144208576,2,1475,较好,藏传佛教风格,15663.217234129406,26.563104432265366,这是一座建于明朝（公元1475年）的寺庙，位于北京市西城区，建筑风格为藏传佛教风格。建筑面积15663平方米，高26米，目前保存状况较好。是第2批重点文物保护单位。
苏州市东钟楼,元朝,钟楼,江苏省苏州市,31.780429412637194,115.86708027680005,1,1290,较好,地方特色风格,4073.5899183104184,18.38225735697694,这是一座建于元朝（公元1290年）的钟楼，位于江苏省苏州市，建筑风格为地方特色风格。建筑面积4073平方米，高18米，目前保存状况较好。是第1批重点文物保护单位。
苏州市东鼓楼,明朝,鼓楼,江苏省苏州市,27.512375706975355,104.44331072969524,3,1497,较好,地方特色风格,4330.7192665147695,9.702430857610327,这是一座建于明朝（公元1497年）的鼓楼，位于江苏省苏州市，建筑风格为地方特色风格。建筑面积4330平方米，高9米，目前保存状况较好。是第3批重点文物保护单位。
漳州市北书院,唐朝,书院,福建省漳州市,36.023342881091395,114.07216056758551,4,832,较好,传统建筑风格,3569.2478685986375,18.300846126652402,这是一座建于唐朝（公元832年）的书院，位于福建省漳州市，建筑风格为传统建筑风格。建筑面积3569平方米，高18米，目前保存状况较好。是第4批重点文物保护单位。
朝阳区南塔楼,唐朝,塔楼,北京市朝阳区,36.08201771900024,117.57635467414768,1,669,完好,地方特色风格,1968.9636444072532,13.42728065237523,这是一座建于唐朝（公元669年）的塔楼，位于北京市朝阳区，建筑风格为地方特色风格。建筑面积1968平方米，高13米，目前保存状况完好。是第1批重点文物保护单位。
扬州市东塔楼,明朝,塔楼,江苏省扬州市,36.32103291325214,103.4953555710184,6,1594,较好,地方特色风格,3781.8130017430117,19.989361006579834,这是一座建于明朝（公元1594年）的塔楼，位于江苏省扬州市，建筑风格为地方特色风格。建筑面积3781平方米，高19米，目前保存状况较好。
太原市南民居,明朝,民居,山西省太原市,34.045748494195536,108.76301095891694,6,1547,较好,北方四合院风格,983.2513518910133,9.200624603426178,这是一座建于明朝（公元1547年）的民居，位于山西省太原市，建筑风格为北方四合院风格。建筑面积983平方米，高9米，目前保存状况较好。
西城区中书院,明朝,书院,北京市西城区,31.575851108459638,115.23029141989528,4,1409,完好,地方特色风格,4952.615080626018,12.082339386806002,这是一座建于明朝（公元1409年）的书院，位于北京市西城区，建筑风格为地方特色风格。建筑面积4952平方米，高12米，目前保存状况完好。是第4批重点文物保护单位。
晋中市中宫殿,明朝,宫殿,山西省晋中市,38.35558717497465,117.61358834759429,5,1505,较好,攒尖顶风格,42086.20217901394,18.913098931906042,这是一座建于明朝（公元1505年）的宫殿，位于山西省晋中市，建筑风格为攒尖顶风格。建筑面积42086平方米，高18米，目前保存状况较好。
宁波市南宫殿,元朝,宫殿,浙江省宁波市,33.00648687293773,109.1230805495282,1,1309,较好,重檐歇山顶风格,17638.018084556763,27.15068797240245,这是一座建于元朝（公元1309年）的宫殿，位于浙江省宁波市，建筑风格为重檐歇山顶风格。建筑面积17638平方米，高27米，目前保存状况较好。是第1批重点文物保护单位。
海淀区中塔楼,宋朝,塔楼,北京市海淀区,27.18632019403737,106.01988273454519,4,1176,较好,地方特色风格,898.8571066952179,10.824146412002182,这是一座建于宋朝（公元1176年）的塔楼，位于北京市海淀区，建筑风格为地方特色风格。建筑面积898平方米，高10米，目前保存状况较好。是第4批重点文物保护单位。
漳州市北佛塔,宋朝,佛塔,福建省漳州市,27.428314530049278,119.71930147694641,2,974,较好,地方特色风格,3308.9714712888576,13.689111591049802,这是一座建于宋朝（公元974年）的佛塔，位于福建省漳州市，建筑风格为地方特色风格。建筑面积3308平方米，高13米，目前保存状况较好。是第2批重点文物保护单位。
湖州市南民居,唐朝,民居,浙江省湖州市,20.187675965848292,105.75690468246776,3,873,完好,徽派民居风格,1788.0793629620916,7.414387181212939,这是一座建于唐朝（公元873年）的民居，位于浙江省湖州市，建筑风格为徽派民居风格。建筑面积1788平方米，高7米，目前保存状况完好。是第3批重点文物保护单位。
平遥县西道观,明朝,道观,山西省平遥县,25.29151733724288,111.14568909245145,5,1527,较差,地方特色风格,2990.5363513751167,14.804862211934523,这是一座建于明朝（公元1527年）的道观，位于山西省平遥县，建筑风格为地方特色风格。建筑面积2990平方米，高14米，目前保存状况较差。
苏州市北戏台,宋朝,戏台,江苏省苏州市,34.03863470645027,101.38500511024634,2,994,较好,传统建筑风格,3493.84412917976,9.25832901091367,这是一座建于宋朝（公元994年）的戏台，位于江苏省苏州市，建筑风格为传统建筑风格。建筑面积3493平方米，高9米，目前保存状况较好。是第2批重点文物保护单位。
厦门市西庙宇,唐朝,庙宇,福建省厦门市,39.856278366430296,117.55919121341374,2,712,完好,地方特色风格,3435.360790229858,16.02768807307021,这是一座建于唐朝（公元712年）的庙宇，位于福建省厦门市，建筑风格为地方特色风格。建筑面积3435平方米，高16米，目前保存状况完好。是第2批重点文物保护单位。
咸阳市西宫殿,唐朝,宫殿,陕西省咸阳市,21.041862353263415,108.91326409295856,5,639,较差,攒尖顶风格,34097.33387518766,22.922624163227827,这是一座建于唐朝（公元639年）的宫殿，位于陕西省咸阳市，建筑风格为攒尖顶风格。建筑面积34097平方米，高22米，目前保存状况较差。
扬州市北戏台,元朝,戏台,江苏省扬州市,25.109354159857617,117.40445853206056,5,1342,一般,传统建筑风格,1199.4582525690955,19.375374659797277,这是一座建于元朝（公元1342年）的戏台，位于江苏省扬州市，建筑风格为传统建筑风格。建筑面积1199平方米，高19米，目前保存状况一般。
湖州市北古城墙,元朝,古城墙,浙江省湖州市,20.680947502661063,119.49674869761355,7,1289,一般,地方特色风格,2372.4392839414604,19.393685686096102,这是一座建于元朝（公元1289年）的古城墙，位于浙江省湖州市，建筑风格为地方特色风格。建筑面积2372平方米，高19米，目前保存状况一般。
大同市北祠堂,元朝,祠堂,山西省大同市,29.194642207948725,108.97254947192503,2,1341,完好,岭南祠堂风格,752.6764935838144,11.47367092240516,这是一座建于元朝（公元1341年）的祠堂，位于山西省大同市，建筑风格为岭南祠堂风格。建筑面积752平方米，高11米，目前保存状况完好。是第2批重点文物保护单位。
朝阳区西书院,清朝,书院,北京市朝阳区,26.823526682784248,109.23207615915689,6,1875,一般,传统建筑风格,2601.3174080280937,17.062247075639412,这是一座建于清朝（公元1875年）的书院，位于北京市朝阳区，建筑风格为传统建筑风格。建筑面积2601平方米，高17米，目前保存状况一般。
海淀区西道观,元朝,道观,北京市海淀区,29.598255177831447,109.72994837527253,1,1292,完好,地方特色风格,1796.5711485012105,19.666377671847066,这是一座建于元朝（公元1292年）的道观，位于北京市海淀区，建筑风格为地方特色风格。建筑面积1796平方米，高19米，目前保存状况完好。是第1批重点文物保护单位。
汉中市南塔楼,宋朝,塔楼,陕西省汉中市,30.478123860536062,115.48928224796792,1,1185,完好,传统建筑风格,908.63353660815,10.148281248337973,这是一座建于宋朝（公元1185年）的塔楼，位于陕西省汉中市，建筑风格为传统建筑风格。建筑面积908平方米，高10米，目前保存状况完好。是第1批重点文物保护单位。
西城区东祠堂,明朝,祠堂,北京市西城区,34.76376224598917,102.97243993761738,7,1623,较好,徽派建筑风格,377.02206906684944,8.953457378830993,这是一座建于明朝（公元1623年）的祠堂，位于北京市西城区，建筑风格为徽派建筑风格。建筑面积377平方米，高8米，目前保存状况较好。
南京市南官邸,元朝,官邸,江苏省南京市,20.415886926863923,103.63232950394718,7,1281,一般,传统建筑风格,1131.7513013628804,19.20790441324184,这是一座建于元朝（公元1281年）的官邸，位于江苏省南京市，建筑风格为传统建筑风格。建筑面积1131平方米，高19米，目前保存状况一般。
泉州市西古城墙,清朝,古城墙,福建省泉州市,28.280372241767004,114.0373754218763,7,1861,较好,地方特色风格,4102.342466370165,8.469151967909939,这是一座建于清朝（公元1861年）的古城墙，位于福建省泉州市，建筑风格为地方特色风格。建筑面积4102平方米，高8米，目前保存状况较好。
平遥县西宫殿,清朝,宫殿,山西省平遥县,28.50656812363763,106.20595573243635,6,1883,较好,攒尖顶风格,9332.112153633792,19.25912694583301,这是一座建于清朝（公元1883年）的宫殿，位于山西省平遥县，建筑风格为攒尖顶风格。建筑面积9332平方米，高19米，目前保存状况较好。
西安市西钟楼,清朝,钟楼,陕西省西安市,26.224465285556654,103.80005677084085,7,1739,较好,传统建筑风格,1111.0812086113006,19.84547753098778,这是一座建于清朝（公元1739年）的钟楼，位于陕西省西安市，建筑风格为传统建筑风格。建筑面积1111平方米，高19米，目前保存状况较好。
厦门市北官邸,宋朝,官邸,福建省厦门市,39.55256027909789,117.81038936746022,6,1145,一般,地方特色风格,3736.187778641033,12.38713730044304,这是一座建于宋朝（公元1145年）的官邸，位于福建省厦门市，建筑风格为地方特色风格。建筑面积3736平方米，高12米，目前保存状况一般。
汉中市中庙宇,唐朝,庙宇,陕西省汉中市,25.772088012544877,100.20090717423086,2,732,较好,传统建筑风格,2892.9989961213882,9.55096265791221,这是一座建于唐朝（公元732年）的庙宇，位于陕西省汉中市，建筑风格为传统建筑风格。建筑面积2892平方米，高9米，目前保存状况较好。是第2批重点文物保护单位。
大同市南庙宇,明朝,庙宇,山西省大同市,24.252274484605344,103.00981918288403,7,1569,较好,传统建筑风格,2796.279651457032,16.601351576098494,这是一座建于明朝（公元1569年）的庙宇，位于山西省大同市，建筑风格为传统建筑风格。建筑面积2796平方米，高16米，目前保存状况较好。
苏州市中驿站,明朝,驿站,江苏省苏州市,29.99229826806242,103.4801525293875,7,1476,较差,传统建筑风格,2784.336814432554,8.183420359204865,这是一座建于明朝（公元1476年）的驿站，位于江苏省苏州市，建筑风格为传统建筑风格。建筑面积2784平方米，高8米，目前保存状况较差。
南京市西庙宇,宋朝,庙宇,江苏省南京市,27.732726144654293,109.62152242897508,3,1191,较好,传统建筑风格,4181.231748326651,10.711530827850726,这是一座建于宋朝（公元1191年）的庙宇，位于江苏省南京市，建筑风格为传统建筑风格。建筑面积4181平方米，高10米，目前保存状况较好。是第3批重点文物保护单位。
延安市西鼓楼,元朝,鼓楼,陕西省延安市,33.354257051265165,116.56732661994101,7,1355,较差,地方特色风格,3970.52953401919,10.62838405024656,这是一座建于元朝（公元1355年）的鼓楼，位于陕西省延安市，建筑风格为地方特色风格。建筑面积3970平方米，高10米，目前保存状况较差。
东城区北宫殿,宋朝,宫殿,北京市东城区,23.80900696467531,116.11065408746028,8,979,一般,重檐歇山顶风格,14045.873570506415,29.16768181379126,这是一座建于宋朝（公元979年）的宫殿，位于北京市东城区，建筑风格为重檐歇山顶风格。建筑面积14045平方米，高29米，目前保存状况一般。
镇江市南官邸,清朝,官邸,江苏省镇江市,32.811596152386336,118.67306231321842,8,1744,完好,传统建筑风格,4906.026733602482,15.983531344244343,这是一座建于清朝（公元1744年）的官邸，位于江苏省镇江市，建筑风格为传统建筑风格。建筑面积4906平方米，高15米，目前保存状况完好。
宁波市中宫殿,清朝,宫殿,浙江省宁波市,30.54582110787841,118.36394213810328,5,1828,一般,重檐歇山顶风格,44862.0261216354,23.600502979905485,这是一座建于清朝（公元1828年）的宫殿，位于浙江省宁波市，建筑风格为重檐歇山顶风格。建筑面积44862平方米，高23米，目前保存状况一般。
西城区南牌坊,清朝,牌坊,北京市西城区,30.67404069065844,106.48021967433867,7,1712,较好,传统建筑风格,4271.9705048287515,8.316075678418754,这是一座建于清朝（公元1712年）的牌坊，位于北京市西城区，建筑风格为传统建筑风格。建筑面积4271平方米，高8米，目前保存状况较好。
漳州市西戏台,元朝,戏台,福建省漳州市,26.428528581338487,118.22543340547284,1,1302,完好,地方特色风格,999.9020363578079,8.363966432512118,这是一座建于元朝（公元1302年）的戏台，位于福建省漳州市，建筑风格为地方特色风格。建筑面积999平方米，高8米，目前保存状况完好。是第1批重点文物保护单位。
漳州市南官邸,唐朝,官邸,福建省漳州市,22.64355542268101,107.9818455391588,4,824,完好,地方特色风格,3371.3842978992066,9.909789288970726,这是一座建于唐朝（公元824年）的官邸，位于福建省漳州市，建筑风格为地方特色风格。建筑面积3371平方米，高9米，目前保存状况完好。是第4批重点文物保护单位。
西城区北鼓楼,宋朝,鼓楼,北京市西城区,20.208189111792365,111.92645219517284,5,1144,一般,传统建筑风格,3369.9571978233585,11.321738555695738,这是一座建于宋朝（公元1144年）的鼓楼，位于北京市西城区，建筑风格为传统建筑风格。建筑面积3369平方米，高11米，目前保存状况一般。
平遥县南园林,清朝,园林,山西省平遥县,24.00399111920675,119.58647154253521,5,1744,较好,北方园林风格,2108.4688448645447,18.218051576483358,这是一座建于清朝（公元1744年）的园林，位于山西省平遥县，建筑风格为北方园林风格。建筑面积2108平方米，高18米，目前保存状况较好。
福州市西民居,清朝,民居,福建省福州市,20.318935211347547,103.92055732680686,8,1840,完好,北方四合院风格,587.2359095080861,7.785418135911684,这是一座建于清朝（公元1840年）的民居，位于福建省福州市，建筑风格为北方四合院风格。建筑面积587平方米，高7米，目前保存状况完好。
汉中市中牌坊,明朝,牌坊,陕西省汉中市,20.46685736515772,109.67799471081769,5,1523,较好,传统建筑风格,4007.608862559617,16.188310594547275,这是一座建于明朝（公元1523年）的牌坊，位于陕西省汉中市，建筑风格为传统建筑风格。建筑面积4007平方米，高16米，目前保存状况较好。
厦门市中祠堂,唐朝,祠堂,福建省厦门市,33.6292793374205,106.33943610293456,2,869,完好,江南祠堂风格,1509.093908212429,7.146746184719384,这是一座建于唐朝（公元869年）的祠堂，位于福建省厦门市，建筑风格为江南祠堂风格。建筑面积1509平方米，高7米，目前保存状况完好。是第2批重点文物保护单位。
朝阳区北佛塔,明朝,佛塔,北京市朝阳区,31.231226164945348,104.9990330589377,3,1448,较好,传统建筑风格,4460.595851450362,10.481794281923703,这是一座建于明朝（公元1448年）的佛塔，位于北京市朝阳区，建筑风格为传统建筑风格。建筑面积4460平方米，高10米，目前保存状况较好。是第3批重点文物保护单位。
平遥县南庙宇,清朝,庙宇,山西省平遥县,22.840765636606438,107.46917643483324,8,1724,一般,地方特色风格,3526.8245597248642,18.937526284391588,这是一座建于清朝（公元1724年）的庙宇，位于山西省平遥县，建筑风格为地方特色风格。建筑面积3526平方米，高18米，目前保存状况一般。
平遥县南戏台,元朝,戏台,山西省平遥县,35.794441799909684,103.0041280161171,7,1309,一般,地方特色风格,4349.235697292124,10.861073543789214,这是一座建于元朝（公元1309年）的戏台，位于山西省平遥县，建筑风格为地方特色风格。建筑面积4349平方米，高10米，目前保存状况一般。
太原市南塔楼,清朝,塔楼,山西省太原市,39.45925022513849,115.50374532284503,5,1660,较好,地方特色风格,3117.579085617601,9.254151121410366,这是一座建于清朝（公元1660年）的塔楼，位于山西省太原市，建筑风格为地方特色风格。建筑面积3117平方米，高9米，目前保存状况较好。
湖州市西庙宇,清朝,庙宇,浙江省湖州市,23.230666658961663,114.4853707401902,7,1783,一般,地方特色风格,1667.8262061110397,10.974697069448329,这是一座建于清朝（公元1783年）的庙宇，位于浙江省湖州市，建筑风格为地方特色风格。建筑面积1667平方米，高10米，目前保存状况一般。
